rule_class,rows,candidate_rows,verified_candidates,incorrect_candidates,abstain_rows,promotable_after_class_gate
symbolic_suffix_after_marker,83,0,0,0,83,False
symbolic_suffix_after_last_marker,83,0,0,0,83,False
symbolic_remove_first_marker,83,0,0,0,83,False
symbolic_prefix_until_marker,83,0,0,0,83,False
symbolic_prefix_before_last_marker,83,0,0,0,83,False
symbolic_keep_selected_chars,83,0,0,0,83,False
symbolic_char_transducer,83,0,0,0,83,False
numeric_same_operator_extended,16,0,0,0,16,False
symbolic_position_template,83,1,0,1,82,False
symbolic_operator_index_template,83,1,0,1,82,False
symbolic_delete_selected_chars,83,1,0,1,82,False
