id,family,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,policy,accepted,delta,solved_bits,proof
7e5b8c12,bit_manipulation,10110000,10110000,True,10110000,True,accept_exact_global,True,0,8,Global unary: output = ROL6(input)
c7077b21,bit_manipulation,00010110,00010110,True,00010110,True,accept_exact_global,True,0,8,"Global binary: output = AND_NOT(ROL4(input), SHL5(input))"
fb5a7b9e,bit_manipulation,11111010,11111010,True,11111010,True,accept_exact_global,True,0,8,"Global binary: output = XOR(SHL5(input), SHR1(input))"
839e7350,bit_manipulation,00111011,00111011,True,00111011,True,accept_exact_global,True,0,8,"Global binary: output = XNOR(SHL2(input), SHL5(input))"
a365e304,bit_manipulation,11011011,11011011,True,11011011,True,accept_exact_global,True,0,8,"Global binary: output = XOR(ROL5(input), SHR5(input))"
f3971b9a,bit_manipulation,00011001,00011001,True,00011001,True,accept_exact_global,True,0,8,"Global binary: output = AND_NOT(ROL2(input), SHL4(input))"
ab71eaa0,bit_manipulation,00010010,00010010,True,00010010,True,accept_exact_global,True,0,8,"Global binary: output = XOR(SHL1(input), SHR3(input))"
bfee75d5,bit_manipulation,01000010,01000010,True,01000010,True,accept_exact_global,True,0,8,Global unary: output = ROL6(input)
bc7618a7,bit_manipulation,00001100,00001100,True,00001100,True,accept_exact_global,True,0,8,"Global binary: output = OR(SHL5(input), SHR4(input))"
892d73b5,bit_manipulation,00010101,00010101,True,00010101,True,accept_exact_global,True,0,8,Global unary: output = ROL5(input)
a1d2bb0c,bit_manipulation,00100010,00100010,True,00100010,True,accept_exact_global,True,0,8,"Global binary: output = XOR(SHL1(input), SHR5(input))"
4e4fb429,bit_manipulation,10111110,10111110,True,10111110,True,accept_exact_global,True,0,8,"Global binary: output = OR(ROL4(input), SHL2(input))"
ed24e7af,bit_manipulation,00001001,00001001,True,00001001,True,accept_exact_global,True,0,8,"Global binary: output = OR(SHL7(input), SHR3(input))"
3cd80c64,bit_manipulation,01100100,01100100,True,01100100,True,accept_exact_global,True,0,8,Global unary: output = SHR1(input)
