name,decision,bytes,github_blob_sha,sha256,code_lines,markdown_lines,has_v194_zip_sha,has_v194_adapter_sha,has_no_submit_claim,has_kaggle_submit_code,has_drive_dependency,has_hf_dependency,has_solve_rate_gate,has_loss_gate,risks,value,html_url
KG1_V103_PRODUCTION_READY.ipynb,manual_review_only,122671,4363451a010dcd04ef522c489e13f5872eb565dc,52e0f79ade8cb16de89fb1cdb9beb245224acabe13ea4ddc8ae4d7e10c82359f,1899,180,False,False,False,True,True,True,False,True,contains_kaggle_submit_code_requires_manual_review;requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing;legacy_notebook_pre_v194_context,drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V103_PRODUCTION_READY.ipynb
KG1_V105_PRODUCTION_FINAL.ipynb,manual_review_only,499671,226e4134fefdc5044815afa39595f435e5c56b4f,eaa4425115c7071d76678505a1a805e01b188ad6d03f925a93619508ac902ed8,2176,212,False,False,False,True,True,True,False,True,contains_kaggle_submit_code_requires_manual_review;requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing;legacy_notebook_pre_v194_context,drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V105_PRODUCTION_FINAL.ipynb
KG1_v18_PERFECT_COLAB.ipynb,reference_only,231282,4c4b49901e5701b58a0cc297dab7ddf19706c004,9e8aa327bf8262f9f8e2e1568ab1580366b0927b367bffd2ba971ac65b5f8196,1015,147,False,False,False,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing,drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_v18_PERFECT_COLAB.ipynb
KG1_V199B_H100_BASELINE_GATED_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,42598,7f40d4f5ed2f3b33b9cb6c16618af9ab4e8cf6b2,d3d5df05e94a39c8bdacc84433d7ca89ffac59b4bf40493e71359e181ca330e4,589,10,True,True,False,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing;references_v198_known_public_regression;references_svd_or_v191_known_regression_mode,enforces_exact_v194_lineage;drive_artifact_workflow;uses_huggingface_assets;latest_equal_score_candidate_context,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V199B_H100_BASELINE_GATED_COLAB_PRO.ipynb
KG1_V201A_H100_SOLVER_VERIFIED_MICRO_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,60078,a217b55c1a98fac90283701ecb8489353aec5574,a29b6cace350f4a457fca06b31711b7b23fd8e741fcf01e325099e332a370f7d,554,6,True,True,True,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing;references_v198_known_public_regression;references_svd_or_v191_known_regression_mode,enforces_exact_v194_lineage;no_submit_notebook;drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V201A_H100_SOLVER_VERIFIED_MICRO_COLAB_PRO.ipynb
KG1_V202_H100_A100_LONG_CONTEXT_EVAL_GATE_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,42920,b593e8216b0872642cce3ec1f67a84bbb0fcf343,ee98038fe23cb285475ef83b4796bbc14743cf7ccc7b7ecb72905d3ca6e710fc,350,16,True,True,True,False,True,False,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing,enforces_exact_v194_lineage;no_submit_notebook;drive_artifact_workflow,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V202_H100_A100_LONG_CONTEXT_EVAL_GATE_COLAB_PRO.ipynb
KG1_V202B_H100_A100_LONG_CONTEXT_PRETOKENIZED_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,62200,2dd68d4d973d10f5f34c5ffbb6f15b17cc75d265,288d53d9dbd39fd28bfe35559b56d0e6b1b8c98702fd372152bd49ab026b5d57,562,17,True,True,True,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing,enforces_exact_v194_lineage;no_submit_notebook;drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V202B_H100_A100_LONG_CONTEXT_PRETOKENIZED_COLAB_PRO.ipynb
KG1_V202C_H100_A100_LONG_CONTEXT_CANDIDATE_SWEEP_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,106651,578fe87b2dae735c7513a76a32d98f3a01d3ed5b,1dce1b5721dd72dcd62167f42e23d686a5938621ab52ecd0230151d4ee94f60d,607,8,True,True,True,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing,enforces_exact_v194_lineage;no_submit_notebook;drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V202C_H100_A100_LONG_CONTEXT_CANDIDATE_SWEEP_COLAB_PRO.ipynb
KG1_V202D_H100_A100_STRICT_PROMOTION_GATE_COLAB_PRO.ipynb,usable_with_solve_rate_gate_added,343471,b149237b2247a2f574a5a607e402e5693fb16257,0c5444efaa65715c8761306874f64a13ff49f55640bd6059da9e6ae7e735ed43,1656,10,True,True,True,False,True,True,False,True,requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing;references_v198_known_public_regression,enforces_exact_v194_lineage;no_submit_notebook;drive_artifact_workflow;uses_huggingface_assets;strict_promotion_gate_notebook,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V202D_H100_A100_STRICT_PROMOTION_GATE_COLAB_PRO.ipynb
KG1_V203_PUBLIC_INTEL_AND_ADAPTER_TRIAGE_COLAB.ipynb,reference_only,51163,1d0453771b47eebfb9e108343f04cc6d21781a9c,8be3bab2f56c560c78559e9a62ab7df85cf3ee98012dc0c05a1039e72c316a15,461,28,False,True,True,False,True,True,False,True,mentions_v194_without_full_sha_guard;requires_google_drive_artifacts;promotion_gate_loss_only_not_score_facing,no_submit_notebook;drive_artifact_workflow;uses_huggingface_assets,https://github.com/FELIPEACASTRO/KG1-NVIDIA/blob/master/competent-shamir/notebooks/KG1_V203_PUBLIC_INTEL_AND_ADAPTER_TRIAGE_COLAB.ipynb
