id,answer,baseline_prediction,answer_class,prompt_hint,audit_status,audit_reason,candidate_prediction
09d5ee68,!?'!,|:>>,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
00457d26,@&,\boxed[[!'},punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
518deb39,$,{}>{,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
82109e34,-@>,'^^^',punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
e1728524,1089,0,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
e3bf0c2c,"""`",@`',punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
fdbdf50c,"-\""",|?|,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
47c1d8f5,]%],/`%`,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
f9a33aa1,/((`,@($/,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
f9799a68,&:/?,:^?\,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
c24074a8,&/,]]]%,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
893ffb06,-@',@``:,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
cf4c04c0,-[,@|#|,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
8e411cc7,]]],$&&,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
48c25e0e,53,32,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
a98d4d53,-),!$$[,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
59733f94,/,$/>/,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
9dae880f,))[,:<`\,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
ae6be599,#`,$?]$,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
8494aad3,"""`#&","])<""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
e3890bf7,{@%],(^@{,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
d29e19a4,?|,|''>,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
b06625c4,^&/,"""$ $]""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
52be4988,'!,&&&`,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
2d3547af,))^),\${,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
28b0ff48,'],|^^^,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
61557701,|&,'{),punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
02902eb3,>/,!!$>,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
0d90736f,:,::)[,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
294453b5,&(,##!),punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
386b6d03,671,18,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
57f6878e,%{{,|@(!,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
a361a1b7,:46,46,mixed_symbolic,numeric_operator_prompt,abstain,no_consistent_vsa_program,
d911e8e1,:\:,@}<',punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
5f9f0ed7,}/!},|!@[,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
c43b5a13,)|,$):$,punct_only,symbolic_punctuation_prompt,abstain,ambiguous_near_top_vsa_predictions,
b0206bb7,]$!,$){,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
638f93ca,@,$]<$,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
4bfd095a,{<<<,@/[@,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
7a422e17,%'!,"#`""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
5b2523e6,&&,><\$,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
0fe53bac,"(""",^?(|,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
03a3437f,-!,'}>/,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
30ac5c8e,)#?,@\}?,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
ff121f08,#<,!%<<,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
ec8b4875,"|""]",|@<!,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
e3fbc768,'(^),{%??,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
6cc5dafb,)(,^&>),punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
d5a03a2e,>>,""")&&",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
d129b085,##$,!>``,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
e582df31,}@,"""']@",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
