id,family,v350_prediction,v350_correct_bool,v352_correct_bool,v352_vs_v350_delta,v350_source_rule
e518256e,equation_transform,84,True,True,0,
09d5ee68,equation_transform,|:>>,False,False,0,
7e5b8c12,bit_manipulation,10110000,True,True,0,
00457d26,equation_transform,\boxed[[!'},False,False,0,
518deb39,equation_transform,{}>{,False,False,0,
78616706,bit_manipulation,00000111,True,True,0,
82109e34,equation_transform,'^^^',False,False,0,
5e67b1a1,equation_transform,63,True,True,0,
c7077b21,bit_manipulation,00010110,True,True,0,
fb5a7b9e,bit_manipulation,11111010,True,True,0,
e1728524,equation_transform,0,False,False,0,
839e7350,bit_manipulation,00111011,True,True,0,
a365e304,bit_manipulation,11011011,True,True,0,
e3bf0c2c,equation_transform,@`',False,False,0,
fdbdf50c,equation_transform,|?|,False,False,0,
f3971b9a,bit_manipulation,00011001,True,True,0,
ab71eaa0,bit_manipulation,00010010,True,True,0,
47c1d8f5,equation_transform,/`%`,False,False,0,
bfee75d5,bit_manipulation,01000010,True,True,0,
f9a33aa1,equation_transform,@($/,False,False,0,
1abaffca,bit_manipulation,01011000,False,False,0,
9f2fae58,equation_transform,7272,True,True,0,
f9799a68,equation_transform,:^?\,False,False,0,
c24074a8,equation_transform,]]]%,False,False,0,
bc7618a7,bit_manipulation,00001100,True,True,0,
893ffb06,equation_transform,@``:,False,False,0,
cf4c04c0,equation_transform,@|#|,False,False,0,
8e411cc7,equation_transform,$&&,False,False,0,
892d73b5,bit_manipulation,00010101,True,True,0,
41e6cbfc,equation_transform,9318,True,True,0,
dea42835,equation_transform,['[/,True,True,0,
48c25e0e,equation_transform,32,False,False,0,
e6d2a064,bit_manipulation,11100010,False,False,0,
a1d2bb0c,bit_manipulation,00100010,True,True,0,
4e4fb429,bit_manipulation,10111110,True,True,0,
7ef4d5d6,equation_transform,>42,True,True,0,
3ee36e0a,equation_transform,-51,True,True,0,
39c237c7,equation_transform,{]``,True,True,0,
963e85bb,equation_transform,76,True,True,0,
a98d4d53,equation_transform,!$$[,False,False,0,
0e70c867,bit_manipulation,01001100,False,False,0,
59733f94,equation_transform,$/>/,False,False,0,
b1bc3731,equation_transform,63,True,True,0,
54b895c1,bit_manipulation,10111011,True,True,0,
ed24e7af,bit_manipulation,00001001,True,True,0,
3cd80c64,bit_manipulation,01100100,True,True,0,
a1523a63,equation_transform,87,True,True,0,
f2b23d11,bit_manipulation,10000000,True,True,0,
5cbe919f,bit_manipulation,00000000,True,True,0,
3383d4ec,equation_transform,66,True,True,0,
9dae880f,equation_transform,:<`\,False,False,0,
b43d9cd5,bit_manipulation,11100100,True,True,0,
64890e18,bit_manipulation,00001100,True,True,0,
d6187157,bit_manipulation,01001000,True,True,0,
de91def4,bit_manipulation,10000111,True,True,0,
2af7134e,equation_transform,20,True,True,0,
ae6be599,equation_transform,$?]$,False,False,0,
b26d8818,equation_transform,5983,True,True,0,
8494aad3,equation_transform,"])<""",False,False,0,
8df3daad,equation_transform,34,True,True,0,
791056ce,equation_transform,4922,True,True,0,
29e458d6,bit_manipulation,00010010,True,True,0,
3c12aeb9,equation_transform,321,True,True,0,
69aa57b3,equation_transform,4472,True,True,0,
e3890bf7,equation_transform,(^@{,False,False,0,
d204b9cc,equation_transform,231,True,True,0,
7a79ac09,bit_manipulation,11111111,True,True,0,
d29e19a4,equation_transform,|''>,False,False,0,
b06625c4,equation_transform,"""$ $]""",False,False,0,
84030b0b,equation_transform,24,True,True,0,
3a67aa26,bit_manipulation,00101110,True,True,0,
710cf035,bit_manipulation,10000011,True,True,0,
52be4988,equation_transform,&&&`,False,False,0,
b8722d19,bit_manipulation,11110100,False,False,0,
99d6a3b5,equation_transform,?()<,True,False,-1,
2d3547af,equation_transform,\${,False,False,0,
8c9fcc6b,bit_manipulation,11110111,True,True,0,
28b0ff48,equation_transform,|^^^,False,False,0,
3fa49035,equation_transform,696,True,True,0,
61557701,equation_transform,'{),False,False,0,
8c0f9291,bit_manipulation,00001111,True,True,0,
d6e6f8b5,bit_manipulation,11100001,True,True,0,
3a90fdf6,bit_manipulation,10100000,True,True,0,
56343b77,equation_transform,711,True,True,0,
08df5363,bit_manipulation,01011100,True,True,0,
d50746e7,bit_manipulation,01000010,True,True,0,
2facfaa4,bit_manipulation,00111110,True,True,0,
7ac90433,equation_transform,-23,True,True,0,
8abcff0f,bit_manipulation,11110111,True,True,0,
02902eb3,equation_transform,!!$>,False,False,0,
ddc5aefe,bit_manipulation,00000001,True,True,0,
0d90736f,equation_transform,::)[,False,False,0,
294453b5,equation_transform,##!),False,False,0,
75ecd32c,bit_manipulation,11100011,True,True,0,
12e0ac8c,bit_manipulation,10101001,True,True,0,
386b6d03,equation_transform,18,False,False,0,
2ead53dc,bit_manipulation,00000101,True,True,0,
57f6878e,equation_transform,|@(!,False,False,0,
05ca617c,bit_manipulation,01011011,False,False,0,
6890870d,bit_manipulation,01110000,True,True,0,
1c566511,bit_manipulation,01010010,True,True,0,
bc83b0a1,equation_transform,(/&{,True,True,0,
a361a1b7,equation_transform,46,False,False,0,
d911e8e1,equation_transform,@}<',False,False,0,
4353cd0b,bit_manipulation,00100001,True,True,0,
7688e06e,equation_transform,-55,True,False,-1,
30ba0cf4,bit_manipulation,01101101,True,True,0,
dbd0e3c9,equation_transform,5631,True,True,0,
8fbd2477,bit_manipulation,01011010,True,True,0,
ba61b815,bit_manipulation,00001101,True,True,0,
2e2d60b2,equation_transform,07,True,True,0,
5f9f0ed7,equation_transform,|!@[,False,False,0,
333d93ec,equation_transform,7,True,True,0,
74fff108,equation_transform,49,True,True,0,
c43b5a13,equation_transform,$):$,False,False,0,
b0206bb7,equation_transform,$){,False,False,0,
638f93ca,equation_transform,$]<$,False,False,0,
5b9964c7,bit_manipulation,00011011,True,True,0,
a6f7139f,bit_manipulation,11000000,True,True,0,
b2fb65cf,bit_manipulation,11000011,True,True,0,
4bfd095a,equation_transform,@/[@,False,False,0,
7a422e17,equation_transform,"#`""",False,False,0,
7192535b,bit_manipulation,00001010,False,False,0,
5b2523e6,equation_transform,><\$,False,False,0,
dbb611da,bit_manipulation,00000001,True,True,0,
0fe53bac,equation_transform,^?(|,False,False,0,
07ceed47,bit_manipulation,10000101,True,True,0,
274def88,equation_transform,92,True,False,-1,
7aa4fdf0,bit_manipulation,00000001,True,True,0,
03a3437f,equation_transform,'}>/,False,False,0,
f2014638,bit_manipulation,10011010,True,True,0,
a8ea0e29,bit_manipulation,00000000,True,True,0,
30ac5c8e,equation_transform,@\}?,False,False,0,
3cfc5f9c,bit_manipulation,01110111,True,True,0,
08d8d7e1,equation_transform,88,True,True,0,
ff121f08,equation_transform,!%<<,False,False,0,
114a7439,bit_manipulation,01110001,True,True,0,
343095d3,bit_manipulation,01010100,True,True,0,
a4dd4cce,bit_manipulation,10110010,True,True,0,
6b11c05f,bit_manipulation,00100010,True,True,0,
42cb233d,equation_transform,881,True,True,0,
ec8b4875,equation_transform,|@<!,False,False,0,
e3fbc768,equation_transform,{%??,False,False,0,
6cc5dafb,equation_transform,^&>),False,False,0,
d5a03a2e,equation_transform,""")&&",False,False,0,
eea91b82,bit_manipulation,00101111,True,True,0,
4736daab,bit_manipulation,01000111,True,True,0,
8bebef83,equation_transform,3388,True,True,0,
efc2b69d,bit_manipulation,10111100,True,True,0,
a794d193,bit_manipulation,01011101,True,True,0,
0f7ddd75,bit_manipulation,11110110,True,True,0,
27cec7a9,equation_transform,3341,True,True,0,
a6704625,bit_manipulation,00011111,False,False,0,
d117113e,bit_manipulation,00000000,True,True,0,
4aeed935,equation_transform,1455,True,True,0,
6f7a9048,bit_manipulation,00101000,True,True,0,
8740ed31,bit_manipulation,01101000,True,False,-1,
fb623471,equation_transform,-21,True,False,-1,
88b43464,equation_transform,5311,True,True,0,
209c43f0,equation_transform,101,True,True,0,
8ac52d78,bit_manipulation,00010000,True,True,0,
f507b7f1,bit_manipulation,11011100,False,False,0,
d129b085,equation_transform,!>``,False,False,0,
368f20dd,bit_manipulation,10000101,True,True,0,
e582df31,equation_transform,"""']@",False,False,0,
a77be9fa,equation_transform,{>$[,False,False,0,
5a19f71a,bit_manipulation,11100010,True,True,0,
78d02fc5,bit_manipulation,11001011,False,False,0,
4166067c,bit_manipulation,01110110,True,True,0,
49fb46e8,bit_manipulation,01001110,True,True,0,
779bb1f3,bit_manipulation,10000001,True,True,0,
e2b02e13,bit_manipulation,01111110,True,True,0,
f8d6abd1,equation_transform,5543,True,True,0,
21245d76,bit_manipulation,01111111,True,True,0,
4ed6b56f,equation_transform,!:`(,False,False,0,
e0eba119,bit_manipulation,00010010,True,True,0,
55014a7a,bit_manipulation,01010000,True,True,0,
0fe06e8c,bit_manipulation,10010010,True,True,0,
f8fc43d2,bit_manipulation,11100100,True,True,0,
208d7838,equation_transform,[&<>,False,False,0,
58c099d2,equation_transform,^!#\,False,False,0,
d40ce15d,bit_manipulation,00010000,True,True,0,
3cb3fd89,equation_transform,]$$),False,False,0,
c711f9dd,bit_manipulation,11000000,True,True,0,
a26065d4,equation_transform,<&<#,False,False,0,
55d834d1,bit_manipulation,10111111,False,False,0,
194695e8,equation_transform,!\{<,False,False,0,
4ef88f92,bit_manipulation,01010011,False,False,0,
5d77eff6,bit_manipulation,00011100,True,True,0,
1a7c8520,bit_manipulation,01100110,False,False,0,
1c671acc,bit_manipulation,11111101,True,True,0,
528ec0d8,equation_transform,-39,True,False,-1,
4bb8c6cd,equation_transform,]}\!,True,True,0,
57712d01,equation_transform,$/'{,False,False,0,
d98d85c0,equation_transform,(@@?,False,False,0,
b62f2e75,bit_manipulation,00111111,True,True,0,
7ed40e8a,equation_transform,180,True,True,0,
491b8ea5,equation_transform,@|]!,False,False,0,
eb1a62f7,equation_transform,){>),False,False,0,
0bb591e6,equation_transform,"""$%%""",False,False,0,
c869b4f6,bit_manipulation,10010001,True,True,0,
3c424916,equation_transform,9351,True,True,0,
575f9709,bit_manipulation,01111111,True,True,0,
691608b9,bit_manipulation,00101000,True,True,0,
72336119,equation_transform,3316,True,True,0,
202af98d,bit_manipulation,11111111,False,False,0,
3ace787f,bit_manipulation,11111111,False,False,0,
9a19fc2d,equation_transform,!&)#,False,False,0,
dc7f150a,bit_manipulation,11001011,True,True,0,
12e947ca,bit_manipulation,00111110,True,True,0,
2a5d4790,bit_manipulation,11111111,True,True,0,
59bee375,bit_manipulation,10010101,True,True,0,
528b694b,equation_transform,>]],False,False,0,
d3b20e29,equation_transform,3922,True,True,0,
d1bd7478,equation_transform,30,True,False,-1,
21519be7,equation_transform,35,True,True,0,
fe6d3aa3,bit_manipulation,10100010,True,True,0,
01248b76,bit_manipulation,11000101,True,True,0,
0dfd7674,bit_manipulation,01001110,True,True,0,
7306613b,equation_transform,251,True,True,0,
8243c91e,bit_manipulation,01000101,True,True,0,
fba40625,equation_transform,{>?#,False,False,0,
9aa8dc92,equation_transform,/#</,True,True,0,
ef2fe526,bit_manipulation,01011010,True,True,0,
c5b058d6,equation_transform,134,True,False,-1,
b4342b90,equation_transform,66,True,True,0,
837a6ae7,equation_transform,"<:{""",False,False,0,
9d3e7f1a,bit_manipulation,01101010,True,True,0,
00fdc0be,bit_manipulation,11111111,True,True,0,
3a7dd604,bit_manipulation,01001011,False,False,0,
d0e1010b,equation_transform,|&$|,False,False,0,
3feeabea,bit_manipulation,10010010,True,True,0,
34c563c5,equation_transform,04`,True,True,0,
5a0d5d2a,equation_transform,55,False,False,0,
5a9fcf68,equation_transform,4,False,False,0,
6e56b39a,equation_transform,&#!,False,False,0,
4ada9150,bit_manipulation,01111011,True,False,-1,bit_exact_global_binary_OR
a5f1991c,equation_transform,!&&&,False,False,0,
455b6b61,bit_manipulation,00111011,True,True,0,
1d08947a,bit_manipulation,10010100,True,True,0,
d26f22c3,bit_manipulation,11101100,True,True,0,
c7aae192,equation_transform,"\""]",False,False,0,
a6192d29,bit_manipulation,01111110,False,False,0,
e4cc7639,equation_transform,16,False,False,0,
eeb60061,bit_manipulation,00000101,True,True,0,
844f826c,equation_transform,`@>``,False,False,0,
048cc279,bit_manipulation,01111000,False,False,0,
20052c2f,bit_manipulation,01100110,True,True,0,
89dfa4c2,bit_manipulation,00111010,True,True,0,
53329505,bit_manipulation,11011111,True,True,0,
ced947c8,bit_manipulation,01001011,True,True,0,
0440e6ab,bit_manipulation,01100000,True,True,0,
e641791f,bit_manipulation,00010001,True,True,0,
bcdf9198,bit_manipulation,11111111,True,True,0,
b69391b8,equation_transform,66,True,True,0,
8193e7e0,equation_transform,#?&`,False,False,0,
20cdbdb1,bit_manipulation,11100001,True,True,0,
48ae04f6,bit_manipulation,00000010,True,True,0,
3595c82c,bit_manipulation,10011011,True,True,0,
5bcb572e,equation_transform,"""{!""",False,False,0,
8c1529e1,equation_transform,-52,True,True,0,
cdec898a,equation_transform,>}][?,False,False,0,
bca238ee,bit_manipulation,00000000,True,True,0,
5dffe751,bit_manipulation,01100000,True,True,0,
44398869,equation_transform,5913,True,True,0,
06120e47,bit_manipulation,11111110,False,False,0,
1f7407ed,bit_manipulation,00101101,True,True,0,
46dd0f22,bit_manipulation,01010000,True,True,0,
edf364da,equation_transform,::{[,False,False,0,
d6e5cd59,bit_manipulation,01101111,True,True,0,
339149c9,equation_transform,3,True,True,0,
e1f3ffbb,bit_manipulation,11111011,False,False,0,
4c327b55,bit_manipulation,11011100,True,False,-1,bit_exact_global_binary_XOR
0f2dec86,bit_manipulation,10111000,True,True,0,
e36a0065,bit_manipulation,01110110,True,True,0,
c7844441,equation_transform,:/$^,True,True,0,
21261dc6,equation_transform,-25,True,True,0,
70bc42af,bit_manipulation,10101010,True,True,0,
4dbec546,equation_transform,611,True,True,0,
0c2407ef,bit_manipulation,11000011,True,True,0,
939273d7,bit_manipulation,11100110,True,True,0,
8082a958,bit_manipulation,00000000,True,True,0,
fd48ee2f,bit_manipulation,10110100,True,True,0,
4eb990f6,bit_manipulation,00000001,True,True,0,
85af23eb,bit_manipulation,00001111,True,True,0,
0e009c6d,equation_transform,@?`?,False,False,0,
d2ac699b,bit_manipulation,10001011,True,True,0,
b4b73143,equation_transform,>!!/,False,False,0,
3a148f6a,bit_manipulation,00100111,True,True,0,
861cb154,equation_transform,10,False,False,0,
90feb0c5,equation_transform,?>>>,False,False,0,
c541eb82,equation_transform,-01,True,True,0,
b9f1d959,equation_transform,"$""\[""",False,False,0,
5374b4ba,bit_manipulation,10101100,True,True,0,
ca5db1c0,equation_transform,"\boxed({""'|})",False,False,0,
16e73f0e,bit_manipulation,00000001,True,True,0,
87007054,bit_manipulation,10111111,True,True,0,
b8aa3072,bit_manipulation,00000111,False,False,0,
9f1ff166,equation_transform,"""]'/",False,False,0,
82ae858c,bit_manipulation,11111101,False,False,0,
1282c5c5,bit_manipulation,00001110,True,True,0,
432b1110,equation_transform,\{<?,False,False,0,
f333b67f,equation_transform,100,True,True,0,
f7d26b8d,equation_transform,[}}\,False,False,0,
5ba26f21,bit_manipulation,01111110,False,False,0,
a00fe76a,bit_manipulation,10111011,True,True,0,
8e56a42e,equation_transform,%/<>,True,True,0,
0e3962f6,bit_manipulation,11111110,True,True,0,
20f0fac9,equation_transform,65,False,False,0,
26e48e98,equation_transform,"""%]%{""",False,False,0,
0290f51a,bit_manipulation,10101111,True,True,0,
c30a782a,bit_manipulation,01000110,True,True,0,
3d24aef4,bit_manipulation,10100101,True,True,0,
5501c054,equation_transform,!##^,False,False,0,
ea6d926a,equation_transform,37,False,False,0,
