id,answer,baseline_prediction,tong_prediction,baseline_correct,tong_correct,tong_gain_vs_baseline,tong_loss_vs_baseline,parse_status,tong_status,query,trace_sha256,trace_chars,prompt_sha256
e518256e,84,84,84,True,True,False,False,ok,ok,"94""10",cadf4bfc6ff4d45ebcb610415a2a3c5e472e72b01e4b56a90884025ac2bf5a3e,10422,a58e7204da008f8649f5340cac4d5d1007ad2fcbb28fff96d2b2000bc46a991c
09d5ee68,!?'!,|:>>,,False,False,False,False,ok,no_trace,|:*>>,,0,aa6de5695f6998461aa6d06a400b13fbb90edd2c64ceeeeccd54b43d273a0b12
00457d26,@&,[[!',,False,False,False,False,ok,no_trace,[[-!',,0,631ebac9f923b881d7825e6498ed83a6f660bdd378e13a8e674acd56181f5196
518deb39,$,{}$>,,False,False,False,False,ok,no_trace,$$-<>,,0,1d587d0f2ac8c8f1aac76a308cd398f4219d9f494934bd2095544d332802dad7
82109e34,-@>,'^^^',,False,False,False,False,ok,no_trace,'^-^^,,0,b5dadfd35408ebcf8a8bb790634a513409b26f16cd31adcf814395a63b978047
5e67b1a1,63,63,63,True,True,False,False,ok,ok,32{31,ee0ac79d94d9085c0f89100ba40f705c93af59cee087f375aa6249fadcb53920,10610,267bbf4bacd9a27fe428fa70a2c304dcd88cba2a62e7a482a2cc61af3b210e45
e1728524,1089,0,0,False,False,False,False,ok,ok,99/99,73870758ebec2770d6fbbc97c2bb93b70c0db06ace6499405017b9af427cb5e2,11395,cb30776efbb6af739810edf50db088cf11a86938a9c6e6b5ec699a9d99f3fd1a
e3bf0c2c,"""`",@`',,False,False,False,False,ok,no_trace,@`}'',,0,dd5cc612e3fe77cf9aa69c72b35d8f09fdef5fd78ef0146605ac5af61af73411
fdbdf50c,"-\""",|?|,,False,False,False,False,ok,no_trace,|\-?|,,0,c17e128485220813fc95b081dabe9e181a7eb3d46e913d11a563a7633afc627e
47c1d8f5,]%],/`%`,,False,False,False,False,ok,no_trace,/`#%`,,0,51f99248d9761ca1448afcfb8440dc339310072a49dec2668017318af232df2a
f9a33aa1,/((`,@($/,,False,False,False,False,ok,no_trace,@(\$/,,0,3e25d871a982e587a74fe73ded0d8de77b563f5a87b7e7e58ce66773a776f9a8
9f2fae58,7272,7272,7272,True,True,False,False,ok,ok,88$13,2a2a5e1cba19de684f01ad42a2c8b767fd95e6e25302017383d7bf42cdb70dae,10592,b5ee510049d2c7d2228848737c8d580883f075835207bb5b2dde8c8cc72792ad
f9799a68,&:/?,:^?\,,False,False,False,False,ok,no_trace,:^*?\,,0,0e821406c2498e1d0e596f0a7b8f147ba1f441b03ca9612ee1657aedf2c872f0
c24074a8,&/,]]]%,,False,False,False,False,ok,no_trace,]]`]%,,0,434cdb87c919610449b2ce527f52740a91396ba9a22cf8c9aa77c34cc3f72019
893ffb06,-@',@``:,,False,False,False,False,ok,no_trace,@`-`:,,0,c3aa9c831d5fde4d6b7f1e727d6287494968bfd12226e2661ef52c73cdcb9991
cf4c04c0,-[,@|#|,,False,False,False,False,ok,no_trace,@|-#|,,0,3988e464dcf1660b4789e8e42dffda56532594af48c38fa81b4a6cc5984bc344
8e411cc7,]]],$&&,,False,False,False,False,ok,no_trace,$&!&},,0,d7065c2d803ba016315a33a4413eb4166584638b4e99a97eb69edf0be0aef2fb
41e6cbfc,9318,9318,9318,True,True,False,False,ok,ok,18+93,7a138529f57c8fc2a7aa9b7fb6586e186f08e784fdd7bdc1aaffd4ad83f5d854,10821,74c83b875be713f9676c02159f8a633eeb4aea7eada204de1c9e9105fe7faae0
dea42835,['[/,['[/,,True,False,False,False,ok,no_trace,[/*[',,0,04914091d4d1547d1595df7689a36faf2701622abe119a8fecf7fca575f016b3
48c25e0e,53,32,32,False,False,False,False,ok,ok,43&11,0a48a50addbe4d1e8d69a67c4899afb178cce42e6aa951f0f7fd7c5199dfc8ac,10738,25ac5d77ec403134ea50be7803efa48565d1ad210a0e5a1f720b0d2727e7a695
7ef4d5d6,>42,>42,>42,True,True,False,False,ok,ok,66>24,cdd998ffa82a8d364b0a392328fcd0816a742d2016c7c43409a1b31366c52e91,10766,4fea48cdfbf7fa394a9d604f78604e68ba9acc65ed9f43d1c45c768046d1db0e
3ee36e0a,-51,-51,-51,True,True,False,False,ok,ok,48-99,9216a52855851f58c9124b7380e73ee5b200fe44cee9f7158e5f46176830b351,10465,76e3f6548fc288bd0bc2bca7217245bb2ee99979867d95945e2fbaf629b67489
39c237c7,{]``,{]``,,True,False,False,False,ok,no_trace,{]+``,,0,de0cda2476b723286b8e8431a6c564b79421f7af1c84735a7889323adaef4098
963e85bb,76,76,76,True,True,False,False,ok,ok,52$24,df12c40a72acb448e48b796916bb3ba83ad2f60a45d774d277ff2c5bd68928c3,10067,f554f1bb0bd148fbfce80591b6c391eb599ab6c0a223b79edd1f94bde50e57c5
a98d4d53,-),!$$[,,False,False,False,False,ok,no_trace,!$-$[,,0,50fe9477c541521ff5356e5162ba384d7a62647b679cb8030ebe9f222609b42c
59733f94,/,$/>/,,False,False,False,False,ok,no_trace,$/->/,,0,57f1b6c2aa01e4e8d5144ac3c0726578311ef0ee25d5b842bf25d023654440f8
b1bc3731,63,63,63,True,True,False,False,ok,ok,"07""43",c625363dd766fcbb27ea846ef19f2a3f3b64ef09e6509da95b0507c3df4c7581,10583,cd4dfd433a6838968e37fc22f780f6e713f0dff930ef40f56bac7d3c50f7c8ed
a1523a63,87,87,87,True,True,False,False,ok,ok,66%31,b4d164862cd8b3509204b53c0e0945da7984233f29b68c3d7f76418f977ec35c,10280,e8f733675114a477a7c6dac018b9343527f180cd7bc7c11ca7980b70ed4da6b5
3383d4ec,66,66,66,True,True,False,False,ok,ok,39-72,cceee56b7831463475f1d982a85368c344f76cbec9f403a464330476e3bd24b1,10305,058bec9aeadd15a5531501e5959f5fb37a23397ee33140dcebc73aedadd9343d
9dae880f,))[,:<`\,,False,False,False,False,ok,no_trace,:<}`\,,0,e94be0a0dd0f52830b4d2a7c63b9e646c20dbc4e1a0205842461c1380548a5c0
2af7134e,20,20,20,True,True,False,False,ok,ok,61+41,9dbe6384cefc8a926f1507eea1d917d4e5f71291496555f84e8cbca0bb28a5d1,11054,04585e65f544277fc686e3d389ff6073829e46751b9789cdf18832575e68fa46
ae6be599,#`,$?]$,,False,False,False,False,ok,no_trace,$?+]$,,0,aa08959c8fd4d91956b5c9bc94d15ae1cbb4d87f2603869add49435751102c8a
b26d8818,5983,5983,5983,True,True,False,False,ok,ok,68]88,2e50502cf53c82bc572aa546958f8990a4375b7e4e1f77b214a3f789a96867c0,10590,9d347ab431b1e300a5a56726653b596b3fb1573c15da620a0544a70f5007c27e
8494aad3,"""`#&","])<""",,False,False,False,False,ok,no_trace,"])*<""",,0,b870d995913265f90a15fa8fa5f6866f2221e31915b3db788a3c513d2035ce3b
8df3daad,34,34,34,True,True,False,False,ok,ok,45|11,9af03a1326719676a76b90669fd76fa28d0ab8b10b7a69fd1fcf158dbd2f28f5,10693,3a07555d29c1138cb5b7c1ecc578a537e3debe5c02099dbcfce34415a99e8331
791056ce,4922,4922,4922,True,True,False,False,ok,ok,58{72,b49ad6dd6cb04c1d7cdea123158e0a5bb6a79d54b950f6f33f33037655b0ea4d,10342,a8567ebff7288045b28cc219a75592917671ddbd60dbfa40abc55ee8658a10ca
3c12aeb9,321,321,321,True,True,False,False,ok,ok,27$15,4ffa5d075641267dea3209a1f9c10a67a869891c4152afd9f568d30fe523ad65,10759,a343b330bfd0682e7580615555d20c3af0432927bd25827e9dcf6629e4ef7059
