id,family,answer,baseline_prediction,v341_prediction,v336_prediction,baseline_correct,v341_correct,v336_integrated_correct,baseline_truncated,v341_truncated,v341_delta_vs_baseline,v336_delta_vs_baseline,bucket,v336_rule_class,v336_candidate_count,v336_conflict_count,v336_reason
e518256e,equation_transform,84,84,84,84,True,True,True,False,False,0,0,neutral,,,,
09d5ee68,equation_transform,!?'!,|:>>,|:>>,|:>>,False,False,False,False,False,0,0,neutral,,,,
7e5b8c12,bit_manipulation,10110000,10110000,10110000,10110000,True,True,True,False,False,0,0,neutral,,,,
00457d26,equation_transform,@&,\boxed[[!'},\boxed[[!'},[[!',False,False,False,False,False,0,0,neutral,,,,
518deb39,equation_transform,$,{}>{,$}{>,{}$>,False,False,False,False,False,0,0,neutral,,,,
78616706,bit_manipulation,00000111,00000111,00000111,00000111,True,True,True,False,False,0,0,neutral,,,,
82109e34,equation_transform,-@>,'^^^','^^^','^^^',False,False,False,False,False,0,0,neutral,,,,
5e67b1a1,equation_transform,63,63,63,63,True,True,True,False,False,0,0,neutral,,,,
c7077b21,bit_manipulation,00010110,00010110,00010110,00010110,True,True,True,False,False,0,0,neutral,,,,
fb5a7b9e,bit_manipulation,11111010,11111010,11111010,11111010,True,True,True,False,False,0,0,neutral,,,,
e1728524,equation_transform,1089,0,0,0,False,False,False,False,False,0,0,neutral,,,,
839e7350,bit_manipulation,00111011,00111011,00111011,00111011,True,True,True,False,False,0,0,neutral,,,,
a365e304,bit_manipulation,11011011,11011011,11011011,11011011,True,True,True,False,False,0,0,neutral,,,,
e3bf0c2c,equation_transform,"""`",@`',@`',@`',False,False,False,False,False,0,0,neutral,,,,
fdbdf50c,equation_transform,"-\""",|?|,|?|,|?|,False,False,False,False,False,0,0,neutral,,,,
f3971b9a,bit_manipulation,00011001,00011001,00011001,00011001,True,True,True,False,False,0,0,neutral,,,,
ab71eaa0,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,0,0,neutral,,,,
47c1d8f5,equation_transform,]%],/`%`,/`%`,/`%`,False,False,False,False,False,0,0,neutral,,,,
bfee75d5,bit_manipulation,01000010,01000010,01000010,01000010,True,True,True,False,False,0,0,neutral,,,,
f9a33aa1,equation_transform,/((`,@($/,@($/,@($/,False,False,False,False,False,0,0,neutral,,,,
1abaffca,bit_manipulation,01000000,01011000,01011000,01011000,False,False,False,False,False,0,0,neutral,,,,
9f2fae58,equation_transform,7272,7272,7272,7272,True,True,True,False,False,0,0,neutral,,,,
f9799a68,equation_transform,&:/?,:^?\,:^?\,:^?\,False,False,False,False,False,0,0,neutral,,,,
c24074a8,equation_transform,&/,]]]%,]]]%,]]]%,False,False,False,False,False,0,0,neutral,,,,
bc7618a7,bit_manipulation,00001100,00001100,00001100,00001100,True,True,True,False,False,0,0,neutral,,,,
893ffb06,equation_transform,-@',@``:,@``:,@``:,False,False,False,False,False,0,0,neutral,,,,
cf4c04c0,equation_transform,-[,@|#|,@|#|,@|#|,False,False,False,False,False,0,0,neutral,,,,
8e411cc7,equation_transform,]]],$&&,$&&,$&&,False,False,False,False,False,0,0,neutral,,,,
892d73b5,bit_manipulation,00010101,00010101,00010101,00010101,True,True,True,False,False,0,0,neutral,,,,
41e6cbfc,equation_transform,9318,9318,9318,9318,True,True,True,False,False,0,0,neutral,,,,
dea42835,equation_transform,['[/,['[/,['[/,['[/,True,True,True,False,False,0,0,neutral,,,,
48c25e0e,equation_transform,53,32,32,32,False,False,False,False,False,0,0,neutral,,,,
e6d2a064,bit_manipulation,11100011,11100010,11100010,11100010,False,False,False,False,False,0,0,neutral,,,,
a1d2bb0c,bit_manipulation,00100010,00100010,00100010,00100010,True,True,True,False,False,0,0,neutral,,,,
4e4fb429,bit_manipulation,10111110,10111110,10111110,10111110,True,True,True,False,False,0,0,neutral,,,,
7ef4d5d6,equation_transform,>42,>42,>42,>42,True,True,True,False,False,0,0,neutral,,,,
3ee36e0a,equation_transform,-51,-51,-51,-51,True,True,True,False,False,0,0,neutral,,,,
39c237c7,equation_transform,{]``,{]``,{]``,{]``,True,True,True,False,False,0,0,neutral,,,,
963e85bb,equation_transform,76,76,76,76,True,True,True,False,False,0,0,neutral,,,,
a98d4d53,equation_transform,-),!$$[,!$$[,!$$[,False,False,False,False,False,0,0,neutral,,,,
0e70c867,bit_manipulation,01000000,01001100,01001100,01001100,False,False,False,False,False,0,0,neutral,,,,
59733f94,equation_transform,/,$/>/,$/>/,$/>/,False,False,False,False,False,0,0,neutral,,,,
b1bc3731,equation_transform,63,63,63,63,True,True,True,False,False,0,0,neutral,,,,
54b895c1,bit_manipulation,10111011,10111011,10111011,10111011,True,True,True,False,False,0,0,neutral,,,,
ed24e7af,bit_manipulation,00001001,00001001,00001001,00001001,True,True,True,False,False,0,0,neutral,,,,
3cd80c64,bit_manipulation,01100100,01100100,01100100,01100100,True,True,True,False,False,0,0,neutral,,,,
a1523a63,equation_transform,87,87,87,87,True,True,True,False,False,0,0,neutral,,,,
f2b23d11,bit_manipulation,10000000,10000000,10000000,10000000,True,True,True,False,False,0,0,neutral,,,,
5cbe919f,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,0,0,neutral,,,,
3383d4ec,equation_transform,66,66,66,66,True,True,True,False,False,0,0,neutral,,,,
9dae880f,equation_transform,))[,:<`\,:<`\,:<`\,False,False,False,False,False,0,0,neutral,,,,
b43d9cd5,bit_manipulation,11100100,11100100,11100100,11100100,True,True,True,False,False,0,0,neutral,,,,
64890e18,bit_manipulation,00001100,00001100,00001100,00001100,True,True,True,False,False,0,0,neutral,,,,
d6187157,bit_manipulation,01001000,01001000,01001000,01001000,True,True,True,False,False,0,0,neutral,,,,
de91def4,bit_manipulation,10000111,10000111,10000111,10000111,True,True,True,False,False,0,0,neutral,,,,
2af7134e,equation_transform,20,20,20,20,True,True,True,False,False,0,0,neutral,,,,
ae6be599,equation_transform,#`,$?]$,$?]$,$?]$,False,False,False,False,False,0,0,neutral,,,,
b26d8818,equation_transform,5983,5983,5983,5983,True,True,True,False,False,0,0,neutral,,,,
8494aad3,equation_transform,"""`#&","])<""","])<""","])<""",False,False,False,False,False,0,0,neutral,,,,
8df3daad,equation_transform,34,34,34,34,True,True,True,False,False,0,0,neutral,,,,
791056ce,equation_transform,4922,4922,4922,4922,True,True,True,False,False,0,0,neutral,,,,
29e458d6,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,0,0,neutral,,,,
3c12aeb9,equation_transform,321,321,321,321,True,True,True,False,False,0,0,neutral,,,,
