ref,title,author,last_run_time,total_votes,pull_status,high_value_score,keyword_counts_json,snippet_hits_json,data_sources_json,pull_tail
kienngx/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,Ngô Xuân Kiên,2026-04-17 03:42:03.243000,576,ok,8,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 8, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""* target_modules=[\""q_proj\"", \""k_proj\"", \""v_proj\"", \""o_proj\"", \""gate_proj\"", \""up_proj\"", \""down_proj\""]"", ""* target_modules=\""all-linear\"""", ""* target_modules=[\""in_proj\"", \""x_proj\"", \""dt_proj\"", \""out_proj\""]""]","[""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\001_kienngx__nvidia-nemotron-trained-models-submission
"
rohanrk1813/nvidia-comp,NVIDIA_COMP,Rohanrk1813,2026-05-06 08:53:38.767000,80,ok,0,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""mayukh18/nemotron-packages\"""", ""\""konbu17/nemotron-sft-lora-cot-selection\"""", ""\""dennisfong/nvidia-nemotron-offline-packages\"""", ""\""rubyducklove/nvidia-cutlass\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-32/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\"""", ""\""andreasbis/aimo-3-utils\"""", ""\""huikang/nvidia-nemotron-all-linear\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\002_rohanrk1813__nvidia-comp
"
asalhi/tinker-adapter-to-ready-to-submit-adapter,Tinker Adapter to Ready To Submit Adapter,Ali,2026-04-15 06:46:31.057000,488,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 2, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""target_modules,"", ""A._add_peft_weight(peft_target_key, merged_lora_A, merged_lora_B, peft_weights, target_modules)""]","[""\""huikang/nemotron-adapter/Transformers/default/20\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\003_asalhi__tinker-adapter-to-ready-to-submit-adapter
"
mirzayasirabdullah07/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Mirza Yasir Abdullah Baig,2026-05-12 20:10:29.707000,86,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 3, ""lm_head"": 1, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 1, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""cfg[\""target_modules\""] = ["", ""\""up_proj\"", \""v_proj\"", \""down_proj\"", \""out_proj\"", \""lm_head\"",""]","[""\""\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\004_mirzayasirabdullah07__nvidia-nemotron-model-notebook
"
hammadfarooq470/think-twice-self-correcting-reasoning,Think Twice: Self-Correcting Reasoning,Hammad Farooq,2026-05-06 09:47:43.647000,58,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 2, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""target_modules,"", ""A._add_peft_weight(peft_target_key, merged_lora_A, merged_lora_B, peft_weights, target_modules)""]","[""\""huikang/nemotron-adapter/Transformers/default/20\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\005_hammadfarooq470__think-twice-self-correcting-reasoning
"
johnjanson/agi-for-medal-0-87-is-possible,"💗AGI FOR MEDAL, 0.87 IS POSSIBLE? 💨",bogdan janson,2026-04-15 17:21:25.837000,18,ok,0,"{""0.85"": 1, ""0.86"": 0, ""0.87"": 1, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 4, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""huikang/nvidia-nemotron-all-linear\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\006_johnjanson__agi-for-medal-0-87-is-possible
"
teasue05/tinker-submission-notebook,Tinker submission notebook,BNBU_23DS_SuHongSheng,2026-05-10 04:33:35.993000,37,ok,7,"{""0.85"": 2, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 1, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 2, ""equation_numeric"": 2, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 5, ""lm_head"": 3, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 1, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""trained_adapter_config[\""target_modules\""] = ["", ""\""lm_head\"","", ""# # Skip lm_head (not in reference adapter)"", ""# if \"".lm_head\"" in base:"", ""# bit_manipulation"", ""# equation_numeric_deduce"", ""# equation_numeric_guess""]","[""\""\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""metric/nvidia-metric-utility-script\"""", ""\""huikang/nvidia-nemotron-all-linear\"""", ""\""ryanholbrook/nvidia-utility-script\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\007_teasue05__tinker-submission-notebook
"
michaelkong537/tinker-adapter-solved-some-internet-issues,Tinker Adapter (Solved Some Internet issues),Michael Kong,2026-04-28 06:48:23.290000,113,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 2, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""target_modules,"", ""A._add_peft_weight(peft_target_key, merged_lora_A, merged_lora_B, peft_weights, target_modules)""]","[""\""michaelkong537/wheel-linux\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\008_michaelkong537__tinker-adapter-solved-some-internet-issues
"
raunakdey07/nemotron-tinker-adapter,Nemotron Tinker Adapter,Raunak Dey,2026-05-02 11:37:23.533000,2,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 2, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""target_modules,"", ""A._add_peft_weight(peft_target_key, merged_lora_A, merged_lora_B, peft_weights, target_modules)""]","[""\""michaelkong537/wheel-linux\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\009_raunakdey07__nemotron-tinker-adapter
"
drchenb/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,kara,2026-05-02 16:28:20.437000,12,ok,8,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 8, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""* target_modules=[\""q_proj\"", \""k_proj\"", \""v_proj\"", \""o_proj\"", \""gate_proj\"", \""up_proj\"", \""down_proj\""]"", ""* target_modules=\""all-linear\"""", ""* target_modules=[\""in_proj\"", \""x_proj\"", \""dt_proj\"", \""out_proj\""]""]","[""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\010_drchenb__nvidia-nemotron-trained-models-submission
"
