id,prompt,answer,family
e518256e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
60[58 = 3480
89""28 = 61
36%68 = 105
Now, determine the result for: 94""10",84,equation_transform
09d5ee68,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
<:+|& = <:|&
'&+>? = '&>?
$!*!| = !!:&
|:-?' = -&$
Now, determine the result for: |:*>>",!?'!,equation_transform
b39c8082,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
diq vdkjroq lfkp pfvyhcqkv -> the strange bird discovers
jufyq pkjav diq vqykqd ykxvdju -> alice draws the secret crystal
lfkp kqjpv diq lkfoid lhhb -> bird reads the bright book
Now, decrypt the following text: gkfryqvv kqjpv dkqjvekq",princess reads treasure,text_encryption
4a085720,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
49.31 m becomes 42.59
27.9 m becomes 24.10
25.55 m becomes 22.07
Now, convert the following measurement: 46.46 m",40.13,unit_conversion
a4df85b7,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
nuk chkqkg wygp rvimp -> the clever bird found
dyma jkkj nuk pfgd jkcgkn -> king sees the dark secret
jnipkmn bgynkj jkcgkn -> student writes secret
Now, decrypt the following text: pgfavm ytfaymkj nuk cvhvgrih cgzjnfh",dragon imagines the colorful crystal,text_encryption
d70beb33,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ajh uokrhp lkcfh xhlry -> the golden alice reads
fla rxlqy phlx ofhlp -> cat draws near ocean
epcuja fjlyhy vprhx movpalcp -> knight chases under mountain
Now, decrypt the following text: nxcpfhyy cmlucphy roox",princess imagines door,text_encryption
b9a748ac,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ain hscvia kxa teoql -> the bright cat found
ycqv faolcnf ain icllnq jcsses -> king studies the hidden mirror
ycqv teuuegf ain fasxqvn jcsses -> king follows the strange mirror
xuckn lcfkemnsf ain keuestou lees -> alice discovers the colorful door
anxkins gscanf zeaceq -> teacher writes potion
Now, decrypt the following text: ain fasxqvn yqcvia teuuegf",the strange knight follows,text_encryption
70c29179,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
36 -> XXXVI
69 -> LXIX
52 -> LII
Now, write the number 83 in the Wonderland numeral system.",LXXXIII,numeral_system
7e5b8c12,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01011001 -> 01010110
00011101 -> 01000111
11110111 -> 11111101
00100100 -> 00001001
00010100 -> 00000101
10000001 -> 01100000
01001011 -> 11010010
10110100 -> 00101101

Now, determine the output for: 11000010",10110000,bit_manipulation
a261169e,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
tqo mdxnqt gtlsoct sdoufg -> the bright student dreams
jxauds iqugog tqdblnq fblctuxc -> wizard chases through mountain
dummxt sxgibwodg movbcs ybdogt -> rabbit discovers beyond forest
gtlsoct sdoufg fogguno -> student dreams message
Now, decrypt the following text: gtlsoct xfunxcog tqo gxewod fogguno",student imagines the silver message,text_encryption
a027a729,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
45.28 m becomes 55.91
29.49 m becomes 36.42
34.61 m becomes 42.74
41.06 m becomes 50.70
15.36 m becomes 18.97
Now, convert the following measurement: 5.92 m",7.31,unit_conversion
00457d26,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`!*[{ = '""[`
\'*'> = ![@
\'-!` = \\
`!*\& = '@'{
Now, determine the result for: [[-!'",@&,equation_transform
9f657a70,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
35 -> XXXV
21 -> XXI
62 -> LXII
38 -> XXXVIII
27 -> XXVII
Now, write the number 11 in the Wonderland numeral system.",XI,numeral_system
518deb39,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
<'+<"" = (>
""'-$< = '<
(""*(< = <<!!
!$*<> = !^\
Now, determine the result for: $$-<>",$,equation_transform
