id,family,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,policy,accepted,delta,solved_bits,proof
e518256e,equation_transform,84,84,True,,False,reject_equation_v2_abstain,False,0,,Could not solve
09d5ee68,equation_transform,!?'!,|:>>,False,,False,reject_equation_v2_abstain,False,0,,Could not solve
7e5b8c12,bit_manipulation,10110000,10110000,True,10110000,True,accept_exact_global,True,0,8,Global unary: output = ROL6(input)
00457d26,equation_transform,@&,\boxed[[!'},False,,False,reject_equation_v2_abstain,False,0,,Could not solve
518deb39,equation_transform,$,{}>{,False,,False,reject_equation_v2_abstain,False,0,,Could not solve
78616706,bit_manipulation,00000111,00000111,True,00000111,True,reject_consensus,False,0,8,Per-bit analysis for 00111001:
82109e34,equation_transform,-@>,'^^^',False,,False,reject_equation_v2_abstain,False,0,,Could not solve
5e67b1a1,equation_transform,63,63,True,,False,reject_equation_v2_abstain,False,0,,Could not solve
c7077b21,bit_manipulation,00010110,00010110,True,00010110,True,accept_exact_global,True,0,8,"Global binary: output = AND_NOT(ROL4(input), SHL5(input))"
fb5a7b9e,bit_manipulation,11111010,11111010,True,11111010,True,accept_exact_global,True,0,8,"Global binary: output = XOR(SHL5(input), SHR1(input))"
e1728524,equation_transform,1089,0,False,,False,reject_equation_v2_abstain,False,0,,Could not solve
839e7350,bit_manipulation,00111011,00111011,True,00111011,True,accept_exact_global,True,0,8,"Global binary: output = XNOR(SHL2(input), SHL5(input))"
a365e304,bit_manipulation,11011011,11011011,True,11011011,True,accept_exact_global,True,0,8,"Global binary: output = XOR(ROL5(input), SHR5(input))"
e3bf0c2c,equation_transform,"""`",@`',False,,False,reject_equation_v2_abstain,False,0,,Could not solve
fdbdf50c,equation_transform,"-\""",|?|,False,,False,reject_equation_v2_abstain,False,0,,Could not solve
f3971b9a,bit_manipulation,00011001,00011001,True,00011001,True,accept_exact_global,True,0,8,"Global binary: output = AND_NOT(ROL2(input), SHL4(input))"
ab71eaa0,bit_manipulation,00010010,00010010,True,00010010,True,accept_exact_global,True,0,8,"Global binary: output = XOR(SHL1(input), SHR3(input))"
47c1d8f5,equation_transform,]%],/`%`,False,,False,reject_equation_v2_abstain,False,0,,Could not solve
