uuid,source_dataset,kg1_relevance,status,expected,prediction,proof,question_sha256
32ba2ade-51c9-488f-9165-8a12ba7323d8,cryptarithm,equation_transform,verified_match,"D=8,H=4,J=0,K=1,U=2,W=5","D=8,H=4,J=0,K=1,U=2,W=5",provided mapping verifier,bb8fe90b182a71acd5b2c6db5eb509427923d69f1cd728b07e0c896995abc455
af9b6b9d-358b-4612-aa86-021965e281ae,simple_equations,equation_transform,verified_match,79,79,linear equation by finite difference,4b84c45d07b8834a958a05ee0381ac5004b635c129f939e13c4a05c530c987e3
2aadd183-20a7-4cd4-83eb-f4d5b3ece36d,base_conversion,numeral_or_bit_support,verified_match,12132,12132,base conversion parser,0a0a86a958223db18b6bec67ed89202db37bb42e5a2dd81e11991b86f974a49f
8403c47c-22b6-4bc1-a746-108eb3ec1cd5,bitwise_arithmetic,bit_manipulation,verified_match,0x1a65a,0x1a65a,safe integer AST,c7866def751c5fa043c54b2bea4735de95b9345ba67de2a2ecd23b95d82ddcda
7745ce18-1190-42a7-9247-8c702c78eb1f,number_format,numeral_or_bit_support,verified_match,832967009.73,832967009.73,numeric candidate comparison,67e3d19cebbe1fc8831f5da05ef207b3057ec36118620b35d8e7f7dfd4eb9d7f
c2e64f46-83f6-4c21-b33c-c03015176f89,base_conversion,numeral_or_bit_support,verified_match,491,491,base conversion parser,6ce0b011222df40d6db465e1389a603cd730b96b7f2a34dfa4fc7bb39c12df94
d13ee939-cd85-431c-8821-3736bf3e95a3,bitwise_arithmetic,bit_manipulation,verified_match,0x33f9784e,0x33f9784e,safe integer AST,575c6a72781642acd72fc346540c0b8955ef1855f0bed89493b0a1d8115ad360
b24722fb-2b43-4d79-acc2-0af6178d1526,cryptarithm,equation_transform,verified_match,"B=9,F=1,I=2,J=6,M=8,N=4,O=5,T=3,U=0","B=9,F=1,I=2,J=6,M=8,N=4,O=5,T=3,U=0",provided mapping verifier,e3011dea1126bff832b1bf79b942b460ac68e861ac34d1a8f889f08354fcc4dc
e55dd82e-0dc9-45bf-8f62-91f8fc069ec7,simple_equations,equation_transform,verified_match,80,80,linear equation by finite difference,e97df6a10bbccebefa847d12ddeb374b882c73d6c2ed91753f0cea191cfc2924
6bb90d72-ee97-41b4-a41e-c604318d59c0,simple_equations,equation_transform,verified_match,87,87,linear equation by finite difference,cd18a1e11b62cda16f8a4ec81259e49c01902f0fd984acdc67a16c50ff789021
55f82de9-b8d3-4565-905c-70c28413c537,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,8311526201ca599c57074c87f09a5bdd7edfffed8641576fbbfd9c5cdf69adbc
a525b642-ab9c-42a5-8c92-52cc6f72589d,cryptarithm,equation_transform,verified_match,"A=0,B=6,C=3,E=9,G=8,K=5,L=1,U=4,Z=7","A=0,B=6,C=3,E=9,G=8,K=5,L=1,U=4,Z=7",provided mapping verifier,e850fc74f78ff00ad56254fcb1c6a15d3bc483cb50e797448b82909b2e678568
ff31553d-e4c9-4473-aad1-e18687335ca0,bitwise_arithmetic,bit_manipulation,verified_match,0x1b780,0x1b780,safe integer AST,acb64020a62e39d2bd9fe4a68cf39ec25343d41cfb20754449d44b5fd675a3a2
4a23d749-2faf-407f-b5a4-665988d85174,number_format,numeral_or_bit_support,verified_match,55554691.917,55554691.917000,numeric candidate comparison,9281d3192c17e1d5aba2eceee7ccef6ca4f229fb5c1c70509a48fd26212e779d
49a499c7-c34a-41fe-8687-631975d71194,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,01942c25ebf6fec3ec740f5b753f7f360a7a891bb032ec5291193d723ff201b7
45c884e8-cfed-45a5-858f-187ea9c32bc8,binary_alternation,bit_manipulation,verified_match,2,2,binary alternation swaps,35e8b5550fffa770b1b49f1467b1fc0428b5454373715e146baa2a850e412db4
ade8649e-983c-4b15-8eb6-e432f7e7a7a1,base_conversion,numeral_or_bit_support,verified_match,31223,31223,base conversion parser,4049593befa964335c32b653bc775844daa2c3455d60b4391aa9257e008abe77
fb46f298-db9d-4540-bb6c-4ce5d1c92f16,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,ef671b341f337d4648f4d733df2aed73c82366ae9bec2cc63216aef684dfc2d5
629b85b6-e039-40a5-8273-a482afe06053,binary_alternation,bit_manipulation,verified_match,3,3,binary alternation swaps,ddb6f8835dc792ca1bea1882e3523aba1ad5e7804d4557304b52deffa0004fde
66761cf5-85bd-4747-98ad-7de09fb0c974,simple_equations,equation_transform,verified_match,22,22,linear equation by finite difference,fe637fb215a02e280f0eb77142dc3dfecafbd4f248106405d5e661683d9af710
67cd12df-61e9-4f51-ae0c-34c5edf7951b,binary_alternation,bit_manipulation,verified_match,5,5,binary alternation swaps,8f001722531dd5c1f32d338c4e69545abbd7dba43f528ac69e1ac422c6704924
155721df-d5bf-494e-8007-6110a0ea488c,base_conversion,numeral_or_bit_support,verified_match,200010,200010,base conversion parser,b35fd4e32a91c34f771d7cef1587ab58e40ae981252c4c322dd2589db654833b
07687cbe-d014-4894-9085-c0365be4bcfa,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,d358139b9ea8e3ea0f706aa255c997b05ff885ee616be5a387e83b20208e6dff
1154b581-69ac-4a5b-a9ca-28772e879345,number_format,numeral_or_bit_support,verified_match,939864044.511,939864044.511,numeric candidate comparison,47346ae60837c1ba788fb3542bd8de1ffdd45a8601cf5f70fee7397c31bd3244
0198f47e-5b8f-4fb3-87c9-4667c2d1573b,bitwise_arithmetic,bit_manipulation,verified_match,0x41f5c9000,0x41f5c9000,safe integer AST,7d66f717b39f17d83131c8be19dba03981b0a16f3a699459e3a90930a724f52f
