split,path,line,id,family,subcategory,answer,assistant_words,assistant_chars,first_box_word_idx,boxed_count,starts_boxed,target_suffix_ok,exact_box_present,label_free_prediction,label_free_correct,expected_aware_prediction,expected_aware_correct,assistant_non_ascii,prompt_non_ascii,assistant_controls,prompt_controls,loss_weight,issue_codes
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,1,v673_train_eq_00439_919a9d6a6e,equation_transform,equation_numeric_minus_signed,37,54,262,53,1,False,True,True,37,True,37,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,2,v673_train_eq_00219_b7b661f65d,equation_transform,equation_numeric_colon_trailing_zero,10,51,260,50,1,False,True,True,10,True,10,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,3,v673_train_bit_00191_25f7476770,bit_manipulation,bit_exact_global_ternary_replay,10111011,26,233,25,1,False,True,True,10111011,True,10111011,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,4,v673_train_eq_00308_d857c0db41,equation_transform,equation_numeric_minus_signed,-5,54,266,53,1,False,True,True,-5,True,-5,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,5,v673_train_bit_00230_7d58372d81,bit_manipulation,bit_exact_global_ternary_replay,00000111,26,228,25,1,False,True,True,00000111,True,00000111,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,6,v673_train_eq_00326_be2addb861,equation_transform,equation_numeric_minus_signed,-45,54,269,53,1,False,True,True,-45,True,-45,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,7,v673_train_eq_00392_f538958be3,equation_transform,equation_numeric_minus_signed,-10,54,267,53,1,False,True,True,-10,True,-10,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,8,v673_train_eq_00444_301d1d6c11,equation_transform,equation_numeric_minus_signed,-6,54,266,53,1,False,True,True,-6,True,-6,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,9,v673_train_bit_00016_8f366afd6b,bit_manipulation,bit_exact_global_binary_replay,10100001,26,201,25,1,False,True,True,10100001,True,10100001,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,10,v673_train_eq_00070_42e0a23002,equation_transform,equation_numeric_add_direct,147,46,238,45,1,False,True,True,147,True,147,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,11,v673_train_eq_00348_14206f3ed1,equation_transform,equation_numeric_minus_signed,-55,54,267,53,1,False,True,True,-55,True,-55,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,12,v673_train_bit_00149_73095f9abd,bit_manipulation,bit_exact_global_ternary_replay,00011101,26,231,25,1,False,True,True,00011101,True,00011101,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,13,v673_train_bit_00116_501c07f5f7,bit_manipulation,bit_exact_global_ternary_replay,01111001,26,228,25,1,False,True,True,01111001,True,01111001,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,14,v673_train_eq_00067_0073f56827,equation_transform,equation_numeric_add_direct,85,46,235,45,1,False,True,True,85,True,85,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,15,v673_train_eq_00186_9d9cc94929,equation_transform,equation_numeric_colon_trailing_zero,30,51,259,50,1,False,True,True,30,True,30,True,0,0,0,0,1.0,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,16,v673_train_bit_00039_97f7ad2448,bit_manipulation,bit_exact_global_binary_replay,11010011,26,201,25,1,False,True,True,11010011,True,11010011,True,0,0,0,0,0.35,
train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v673_guarded_equation_bit_transfer_dataset\20260519T190246Z\v673_guarded_equation_bit_transfer_train.jsonl,17,v673_train_eq_00436_5199970ec2,equation_transform,equation_numeric_minus_signed,-8,54,265,53,1,False,True,True,-8,True,-8,True,0,0,0,0,1.0,
