id,family,source_role,answer,baseline_public_final,baseline_strict_final_boxed,baseline_public_correct,baseline_strict_correct,candidate_public_final,candidate_strict_final_boxed,candidate_public_correct,candidate_strict_correct,improved,regressed,candidate_exact_one_closed_boxed,candidate_no_box,candidate_multi_box,candidate_malformed_boxed,candidate_public_metric_only_false_gain,candidate_strict_metric_only_false_positive,candidate_truncated,candidate_finish_reason,candidate_completion_tokens,candidate_error_tags
full_bit_000,bit_manipulation,,100000,100000,100000,True,True,100000,100000,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_001,bit_manipulation,,100001,100001,100001,True,True,100001,100001,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_002,bit_manipulation,,100002,100002,100002,True,True,100002,100002,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_003,bit_manipulation,,100003,100003,100003,True,True,100003,100003,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_004,bit_manipulation,,100004,100004,100004,True,True,100004,100004,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_005,bit_manipulation,,100005,100005,100005,True,True,100005,100005,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_006,bit_manipulation,,100006,100006,100006,True,True,100006,100006,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_007,bit_manipulation,,100007,100007,100007,True,True,100007,100007,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_008,bit_manipulation,,100008,100008,100008,True,True,100008,100008,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_009,bit_manipulation,,100009,100009,100009,True,True,100009,100009,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_010,bit_manipulation,,100010,100010,100010,True,True,100010,100010,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_011,bit_manipulation,,100011,100011,100011,True,True,100011,100011,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_012,bit_manipulation,,100012,100012,100012,True,True,100012,100012,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_013,bit_manipulation,,100013,100013,100013,True,True,100013,100013,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_014,bit_manipulation,,100014,100014,100014,True,True,100014,100014,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_015,bit_manipulation,,100015,100015,100015,True,True,100015,100015,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_016,bit_manipulation,,100016,100016,100016,True,True,100016,100016,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_017,bit_manipulation,,100017,100017,100017,True,True,100017,100017,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_018,bit_manipulation,,100018,100018,100018,True,True,100018,100018,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_019,bit_manipulation,,100019,100019,100019,True,True,100019,100019,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_020,bit_manipulation,,100020,100020,100020,True,True,100020,100020,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_021,bit_manipulation,,100021,100021,100021,True,True,100021,100021,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_022,bit_manipulation,,100022,100022,100022,True,True,100022,100022,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_023,bit_manipulation,,100023,100023,100023,True,True,100023,100023,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_024,bit_manipulation,,100024,100024,100024,True,True,100024,100024,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_025,bit_manipulation,,100025,100025,100025,True,True,100025,100025,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_026,bit_manipulation,,100026,100026,100026,True,True,100026,100026,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_027,bit_manipulation,,100027,100027,100027,True,True,100027,100027,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_028,bit_manipulation,,100028,100028,100028,True,True,100028,100028,True,True,False,False,True,False,False,False,False,False,False,stop,8,
full_bit_029,bit_manipulation,,100029,100029,100029,True,True,100029,100029,True,True,False,False,True,False,False,False,False,False,False,stop,8,
