id,family,baseline_prediction,postprocessed_prediction,applied,rule,proof,baseline_correct,postprocessed_correct,gain,loss
e518256e,equation_transform,84,84,False,not_attempted,non-bit row,True,True,False,False
09d5ee68,equation_transform,|:>>,|:>>,False,not_attempted,non-bit row,False,False,False,False
7e5b8c12,bit_manipulation,10110000,10110000,False,already_matches_fullbyte,ROL6,True,True,False,False
00457d26,equation_transform,[[!',[[!',False,not_attempted,non-bit row,False,False,False,False
518deb39,equation_transform,{}$>,{}$>,False,not_attempted,non-bit row,False,False,False,False
78616706,bit_manipulation,00000111,00000111,False,already_matches_fullbyte,"MAJ3(ROL5,SHL7,SHR3)",True,True,False,False
82109e34,equation_transform,'^^^','^^^',False,not_attempted,non-bit row,False,False,False,False
5e67b1a1,equation_transform,63,63,False,not_attempted,non-bit row,True,True,False,False
c7077b21,bit_manipulation,00010110,00010110,False,already_matches_fullbyte,"AND_NOT(ROL4,SHL5)",True,True,False,False
fb5a7b9e,bit_manipulation,11111010,11111010,False,already_matches_fullbyte,"XOR(SHL5,SHR1)",True,True,False,False
e1728524,equation_transform,0,0,False,not_attempted,non-bit row,False,False,False,False
839e7350,bit_manipulation,00111011,00111011,False,already_matches_fullbyte,"XNOR(SHL2,SHL5)",True,True,False,False
a365e304,bit_manipulation,11011011,11011011,False,already_matches_fullbyte,"XOR(ROL5,SHR5)",True,True,False,False
e3bf0c2c,equation_transform,@`',@`',False,not_attempted,non-bit row,False,False,False,False
fdbdf50c,equation_transform,|?|,|?|,False,not_attempted,non-bit row,False,False,False,False
f3971b9a,bit_manipulation,00011001,00011001,False,already_matches_fullbyte,"AND_NOT(ROL2,SHL4)",True,True,False,False
ab71eaa0,bit_manipulation,00010010,00010010,False,already_matches_fullbyte,"XOR(SHL1,SHR3)",True,True,False,False
47c1d8f5,equation_transform,/`%`,/`%`,False,not_attempted,non-bit row,False,False,False,False
bfee75d5,bit_manipulation,01000010,01000010,False,already_matches_fullbyte,ROL6,True,True,False,False
