id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
f9a33aa1,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,@($/,}#$#,/((`,False,False,False,reject_rule_class_has_losses,16,0,"same_operator_examples=2; choice_sources=0:R0,R0R0;1:R0,R0R0;2:R0,R0R0;3:R0,R0R0"
39c237c7,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,{]``,]&/`,{]``,True,False,False,reject_rule_class_has_losses,16,0,"same_operator_examples=2; choice_sources=0:R1,R1R1;1:R1,R1R1;2:R1,R1R1;3:R1,R1R1"
59733f94,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_3,$/>/,->#,/,False,False,False,reject_rule_class_no_gain,8,0,"same_operator_examples=3; choice_sources=0:L0,L0L0;1:L0,L0L0;2:L0,L0L0"
57f6878e,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_2,|@(!,(),%{{,False,False,False,reject_rule_class_no_gain,4,0,"same_operator_examples=2; choice_sources=0:R0,R0R0;1:R0,R0R0"
5f9f0ed7,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,|!@[,}`@],}/!},False,False,False,reject_rule_class_has_losses,1296,0,"same_operator_examples=3; choice_sources=0:L1,R0,L1L1,L1R0,R0L1,R0R0;1:L1,R0,L1L1,L1R0,R0L1,R0R0;2:L1,R0,L1L1,L1R0,R0L1,R0R0;3:L1,R0,L1L1,L1R0,R0L1,R0R0"
c43b5a13,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_2,$):$,|{,)|,False,False,False,reject_rule_class_no_gain,4,0,"same_operator_examples=2; choice_sources=0:L0,L0L0;1:L0,L0L0"
b0206bb7,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,$){,&#{#,]$!,False,False,False,reject_rule_class_has_losses,1296,0,"same_operator_examples=2; choice_sources=0:R0,R1,R0R0,R0R1,R1R0,R1R1;1:R0,R1,R0R0,R0R1,R1R0,R1R1;2:R0,R1,R0R0,R0R1,R1R0,R1R1;3:R0,R1,R0R0,R0R1,R1R0,R1R1"
ec8b4875,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,|@<!,<]]?,"|""]",False,False,False,reject_rule_class_has_losses,16,0,"same_operator_examples=2; choice_sources=0:R0,R0R0;1:R0,R0R0;2:R0,R0R0;3:R0,R0R0"
4ed6b56f,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,!:`(,"!""(/","(""/""",False,False,False,reject_rule_class_has_losses,16,0,"same_operator_examples=2; choice_sources=0:L1,L1L1;1:L1,L1L1;2:L1,L1L1;3:L1,L1L1"
3cb3fd89,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,]$$),[|{\,[[&],False,False,False,reject_rule_class_has_losses,256,0,"same_operator_examples=2; choice_sources=0:L1,L1L1,L1R0,R0L1;1:L1,L1L1,L1R0,R0L1;2:L1,L1L1,L1R0,R0L1;3:L1,L1L1,L1R0,R0L1"
9aa8dc92,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_4,/#</,\|<#,/#</,True,False,False,reject_rule_class_has_losses,16,0,"same_operator_examples=2; choice_sources=0:R0,R0R0;1:R0,R0R0;2:R0,R0R0;3:R0,R0R0"
6e56b39a,equation_transform,v364_symbolic_pair_table,symbolic_pair_table_len_3,&#!,-#/,-/#,False,False,False,reject_rule_class_no_gain,8,0,"same_operator_examples=4; choice_sources=0:R1,R1R1;1:R1,R1R1;2:R1,R1R1"
