id,expected,reference_answer,current_answer,reference_correct,current_correct,type
7e5b8c12,10110000,10110000,10110000,True,True,bit_manipulation
78616706,00000111,00000111,00000111,True,True,bit_manipulation
c7077b21,00010110,00010110,00010110,True,True,bit_manipulation
fb5a7b9e,11111010,11111010,11111010,True,True,bit_manipulation
839e7350,00111011,00111011,00111011,True,True,bit_manipulation
a365e304,11011011,11011011,11011011,True,True,bit_manipulation
f3971b9a,00011001,00011001,00011001,True,True,bit_manipulation
ab71eaa0,00010010,00010010,00010010,True,True,bit_manipulation
bfee75d5,01000010,01000010,01000010,True,True,bit_manipulation
1abaffca,01000000,01011000,00000000,False,False,bit_manipulation
bc7618a7,00001100,00001100,00001100,True,True,bit_manipulation
892d73b5,00010101,00010101,00010101,True,True,bit_manipulation
e6d2a064,11100011,11100010,11100010,False,False,bit_manipulation
a1d2bb0c,00100010,00100010,00100010,True,True,bit_manipulation
4e4fb429,10111110,10111110,10111110,True,True,bit_manipulation
0e70c867,01000000,01001000,00100100,False,False,bit_manipulation
54b895c1,10111011,10111011,10011001,True,False,bit_manipulation
ed24e7af,00001001,00001001,00001001,True,True,bit_manipulation
3cd80c64,01100100,01100100,01100100,True,True,bit_manipulation
f2b23d11,10000000,10000000,10000000,True,True,bit_manipulation
5cbe919f,00000000,00000000,00000000,True,True,bit_manipulation
b43d9cd5,11100100,11100100,11100100,True,True,bit_manipulation
64890e18,00001100,00001100,00001100,True,True,bit_manipulation
d6187157,01001000,01001000,00001000,True,False,bit_manipulation
de91def4,10000111,10000111,10000111,True,True,bit_manipulation
29e458d6,00010010,00010010,00010010,True,True,bit_manipulation
7a79ac09,11111111,11111111,11111111,True,True,bit_manipulation
3a67aa26,00101110,00101110,00101110,True,True,bit_manipulation
710cf035,10000011,10000011,10000011,True,True,bit_manipulation
b8722d19,00100100,11110100,11000000,False,False,bit_manipulation
8c9fcc6b,11110111,11110111,11110111,True,True,bit_manipulation
8c0f9291,00001111,00001111,00000111,True,False,bit_manipulation
d6e6f8b5,11100001,11100001,11100001,True,True,bit_manipulation
3a90fdf6,10100000,10100000,10100000,True,True,bit_manipulation
08df5363,01011100,01011100,01011100,True,True,bit_manipulation
d50746e7,01000010,01000010,01000010,True,True,bit_manipulation
2facfaa4,00111110,00111110,00111110,True,True,bit_manipulation
8abcff0f,11110111,11110111,11110111,True,True,bit_manipulation
ddc5aefe,00000001,00000001,00000001,True,True,bit_manipulation
75ecd32c,11100011,11100011,11100011,True,True,bit_manipulation
12e0ac8c,10101001,10101001,10101000,True,False,bit_manipulation
2ead53dc,00000101,00000101,00000101,True,True,bit_manipulation
05ca617c,11011011,01011011,01011011,False,False,bit_manipulation
6890870d,01110000,01110000,01110000,True,True,bit_manipulation
1c566511,01010010,01010010,01010010,True,True,bit_manipulation
4353cd0b,00100001,00100001,00100001,True,True,bit_manipulation
30ba0cf4,01101101,01101101,01101101,True,True,bit_manipulation
8fbd2477,01011010,01011010,01011010,True,True,bit_manipulation
ba61b815,00001101,00001101,00001101,True,True,bit_manipulation
5b9964c7,00011011,00011011,00011011,True,True,bit_manipulation
a6f7139f,11000000,11000000,11000000,True,True,bit_manipulation
b2fb65cf,11000011,11000011,11000011,True,True,bit_manipulation
7192535b,00000010,00001010,00001010,False,False,bit_manipulation
dbb611da,00000001,00000001,00000001,True,True,bit_manipulation
07ceed47,10000101,10000101,10000101,True,True,bit_manipulation
7aa4fdf0,00000001,00000001,00000001,True,True,bit_manipulation
f2014638,10011010,10011010,10011010,True,True,bit_manipulation
a8ea0e29,00000000,00000000,00000000,True,True,bit_manipulation
3cfc5f9c,01110111,01110111,01110111,True,True,bit_manipulation
114a7439,01110001,01110001,01110001,True,True,bit_manipulation
343095d3,01010100,01010100,01010100,True,True,bit_manipulation
a4dd4cce,10110010,10110010,10110010,True,True,bit_manipulation
6b11c05f,00100010,00100010,00100010,True,True,bit_manipulation
eea91b82,00101111,00101111,00101110,True,False,bit_manipulation
4736daab,01000111,01000111,01000111,True,True,bit_manipulation
efc2b69d,10111100,10111100,10111100,True,True,bit_manipulation
a794d193,01011101,01011101,01011101,True,True,bit_manipulation
0f7ddd75,11110110,11110110,11110110,True,True,bit_manipulation
a6704625,00001101,00011111,00001111,False,False,bit_manipulation
d117113e,00000000,00000000,00000000,True,True,bit_manipulation
6f7a9048,00101000,00101000,00101000,True,True,bit_manipulation
8740ed31,01101000,01101000,00001010,True,False,bit_manipulation
8ac52d78,00010000,00010000,00010000,True,True,bit_manipulation
f507b7f1,11001100,11011100,11011100,False,False,bit_manipulation
368f20dd,10000101,10000101,10000101,True,True,bit_manipulation
5a19f71a,11100010,11100010,11100010,True,True,bit_manipulation
78d02fc5,11001001,11001011,11001000,False,False,bit_manipulation
4166067c,01110110,01110110,01110110,True,True,bit_manipulation
49fb46e8,01001110,01001110,01001110,True,True,bit_manipulation
779bb1f3,10000001,10000001,10000001,True,True,bit_manipulation
e2b02e13,01111110,01111110,01111110,True,True,bit_manipulation
