key,count,answer_count,family_count,subcategory_count,answers_preview,families,subcategories,ids_preview,template_preview
2842c74f4296f1a0d92c50ccfd1faa8b95c8e17f52fdaad16ee142ffd2e7f485,100,72,1,1,-10|-12|-14|-15|-16|-17|-18|-19|-2|-20,equation_transform,equation_numeric_minus_signed,v536_train_v523_equation_00241_bf0fbdff56|v536_train_v523_equation_00242_0f186543e5|v536_train_v523_equation_00243_78fd670e3a|v536_train_v523_equation_00244_34ac16ac8d|v536_train_v523_equation_00245_4bf809005d|v536_train_v523_equation_00246_8860251e02|v536_train_v523_equation_00247_20c3e21fea|v536_train_v523_equation_00248_360fe15e32|v536_train_v523_equation_00249_d374a7018e|v536_train_v523_equation_00250_e3b397cee5,"rule: for this '-' operator, compute left minus right and preserve the sign. check the examples that use this operator: - <num><num> -> <num> - <num><num> -> <num> - <num><num> -> <num> - <num><num> -> <num> - <num><num>"
739dfbe065a78b99108a41f3cf221d9160db5fda3b40d4387b2eb707ba2ab8a2,100,9,1,1,10|20|30|40|50|60|70|80|90,equation_transform,equation_numeric_colon_trailing_zero,v536_train_v523_equation_00161_3b92f0d206|v536_train_v523_equation_00162_3c69ce11ab|v536_train_v523_equation_00163_4eadb257bd|v536_train_v523_equation_00164_50989a8305|v536_train_v523_equation_00165_1251cd99cd|v536_train_v523_equation_00166_4c91cbbdf2|v536_train_v523_equation_00167_2ca1560fe1|v536_train_v523_equation_00168_e207c51926|v536_train_v523_equation_00169_4ad81fd2aa|v536_train_v523_equation_00170_9a6f297fd3,"rule: for this ':' operator, compute the absolute difference and keep any trailing zero. check the examples that use this operator: - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num> -> <n"
9d5cde5f562127a6df308fba2efcbd23f430d39072ba98aab54e92ded9e2c43b,100,60,1,1,1|10|12|14|15|17|18|19|2|20,equation_transform,equation_numeric_colon_absdiff,v536_train_v523_equation_00081_adcde6e399|v536_train_v523_equation_00082_9aa497dc2f|v536_train_v523_equation_00083_3b0ac57959|v536_train_v523_equation_00084_481d9f6ccd|v536_train_v523_equation_00085_2dd839df8c|v536_train_v523_equation_00086_bc48622938|v536_train_v523_equation_00087_1c9313182a|v536_train_v523_equation_00088_cf4c16b802|v536_train_v523_equation_00089_55e7b3f2c1|v536_train_v523_equation_00090_6034763b87,"rule: for this ':' operator, compute the absolute difference and keep the natural digit order. check the examples that use this operator: - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num>"
dac4deb74869e448ffde3aa4c225e6190abfbe9078c2d7e682367272080071c6,55,47,1,1,10|100|102|108|109|110|111|114|117|121,equation_transform,equation_numeric_add_direct,v536_train_v523_equation_00003_be240cb11d|v536_train_v523_equation_00005_3d5eeeec8e|v536_train_v523_equation_00006_514ad01e11|v536_train_v523_equation_00007_3d30c07121|v536_train_v523_equation_00009_cd17e4e49b|v536_train_v523_equation_00011_8a0d7dab18|v536_train_v523_equation_00013_fe4463a6a0|v536_train_v523_equation_00015_3622036ff3|v536_train_v523_equation_00017_4c605bb178|v536_train_v523_equation_00019_5ce4060798,"rule: for this additive operator, compute the direct sum of the two numbers. check the examples that use this operator: - <num>+<num> -> <num> - <num>+<num> -> <num> - <num>+<num> -> <num> apply the same rule to the quer"
c9bd83267a6d62076f66f7e0bc2f1747b3ff6fdfbc33f415c4e443d867d20f30,45,40,1,1,102|108|109|110|111|114|122|123|127|128,equation_transform,equation_numeric_add_direct,v536_train_v523_equation_00001_2d76861e38|v536_train_v523_equation_00002_d37f2caf2c|v536_train_v523_equation_00004_574ae39146|v536_train_v523_equation_00008_297e832545|v536_train_v523_equation_00010_79dadb9ece|v536_train_v523_equation_00012_76dbfd04c0|v536_train_v523_equation_00014_817c069535|v536_train_v523_equation_00016_4ea79a08be|v536_train_v523_equation_00018_130b1fc150|v536_train_v523_equation_00023_8539ce236d,"rule: for this additive operator, compute the direct sum of the two numbers. check the examples that use this operator: - <num>)<num> -> <num> - <num>)<num> -> <num> - <num>)<num> -> <num> apply the same rule to the quer"
969cbe8f1897c941e8eada8f58b3cf9a0befa4b3ce6552e4078364be68f96341,22,22,1,1,00001011|00011101|00011110|00101011|01000101|01000110|01011100|01011110|01100100|01100110,bit_manipulation,bit_konbu_high_confidence_trace,v536_train_v534_bit_00472_0d77b420b9|v536_train_v534_bit_00482_237e47d023|v536_train_v534_bit_00496_38d1ab84c7|v536_train_v534_bit_00501_aba745d732|v536_train_v534_bit_00531_1303f463dd|v536_train_v534_bit_00538_3a5c83dc8b|v536_train_v534_bit_00557_2cf4827da5|v536_train_v534_bit_00563_0fd3c96c52|v536_train_v534_bit_00573_7e24d3b1ec|v536_train_v534_bit_00577_60de333b3c,"trace summary: infer the <num>-bit transformation from examples, then test candidate bit relations. source solver method=w_mix, confidence=high, ambiguous_bits=<num>. rule vocabulary: bit rot shl shr xor and or not strid"
a35e6c14bbf137aa750e90944a8a7b594f1543ec6d7eaac1069238053b052648,22,19,1,1,00000011|00001011|00010000|00010110|00100000|00100111|00101100|00110011|00110110|01010000,bit_manipulation,bit_konbu_high_confidence_trace,v536_train_v534_bit_00474_6b3580282d|v536_train_v534_bit_00489_f6cc550bbb|v536_train_v534_bit_00497_49bc8c66a2|v536_train_v534_bit_00500_36f1b917e8|v536_train_v534_bit_00504_061a1d6d96|v536_train_v534_bit_00534_c8dd6520cd|v536_train_v534_bit_00550_28f37bde37|v536_train_v534_bit_00570_68adae45a0|v536_train_v534_bit_00589_534b3589c3|v536_train_v534_bit_00597_ae37d42eca,"trace summary: infer the <num>-bit transformation from examples, then test candidate bit relations. source solver method=w_mix, confidence=high, ambiguous_bits=<num>. rule vocabulary: bit rot shl shr xor and or not strid"
7988c53570b735340fb4827de207d35c84aaabf7abe7ad565d957861fdece6c0,14,14,1,1,00010100|00011111|00101110|00111110|01001110|01011001|01011111|01101001|10001100|10111011,bit_manipulation,bit_konbu_high_confidence_trace,v536_train_v534_bit_00479_714708df5d|v536_train_v534_bit_00507_afaef62684|v536_train_v534_bit_00509_3daf0634f6|v536_train_v534_bit_00516_6f50c34052|v536_train_v534_bit_00567_9ab4d9fe25|v536_train_v534_bit_00568_8715fb65be|v536_train_v534_bit_00601_4f27ccdd78|v536_train_v534_bit_00656_6250b44882|v536_train_v534_bit_00673_8f4176b8bd|v536_train_v534_bit_00689_22c00d98f0,"trace summary: infer the <num>-bit transformation from examples, then test candidate bit relations. source solver method=w_mix, confidence=high, ambiguous_bits=<num>. rule vocabulary: bit rot shl shr xor and or not strid"
95fa70228b1eb768996dc0ecd30296c3b51a1fe1c94653e220f05482da591b80,13,13,1,1,00010001|00010010|00101000|00111010|01100101|01110010|10010001|10011110|10111010|11000111,bit_manipulation,bit_konbu_high_confidence_trace,v536_train_v534_bit_00476_ee1a5a81c5|v536_train_v534_bit_00485_811876a1d3|v536_train_v534_bit_00559_bd7d65cdb8|v536_train_v534_bit_00576_88bbfe9b1e|v536_train_v534_bit_00583_77bab36383|v536_train_v534_bit_00591_86cb4154b9|v536_train_v534_bit_00619_43024904c0|v536_train_v534_bit_00644_1c04d68927|v536_train_v534_bit_00679_6b0fd44976|v536_train_v534_bit_00685_2ce0e8db82,"trace summary: infer the <num>-bit transformation from examples, then test candidate bit relations. source solver method=w_rot, confidence=high, ambiguous_bits=<num>. rule vocabulary: bit rot shl shr xor and or not strid"
d576b146325ed999d3ddd1a120de2d521ef5a12ac30259d0ce28d746194efcae,13,12,1,1,00000111|01100100|10000011|10101010|10111000|10111011|11000101|11011000|11100001|11100101,bit_manipulation,bit_konbu_high_confidence_trace,v536_train_v534_bit_00483_340b5f1a15|v536_train_v534_bit_00486_f72c447841|v536_train_v534_bit_00499_d2cec5fb25|v536_train_v534_bit_00528_8333c38834|v536_train_v534_bit_00542_6b651fce5c|v536_train_v534_bit_00554_f27fba754a|v536_train_v534_bit_00555_09e3b28dd7|v536_train_v534_bit_00584_28fe83de82|v536_train_v534_bit_00588_8e8f4e77b4|v536_train_v534_bit_00659_3bd4abfd87,"trace summary: infer the <num>-bit transformation from examples, then test candidate bit relations. source solver method=w_mix, confidence=high, ambiguous_bits=<num>. rule vocabulary: bit rot shl shr xor and or not strid"
