id,family,answer,baseline_prediction,tong_prediction,current_solver_prediction,baseline_correct,tong_correct,current_solver_correct,tong_gain_vs_baseline,tong_loss_vs_baseline,current_solver_gain_vs_baseline,current_solver_loss_vs_baseline,tong_trace_sha256,tong_trace_chars,tong_status,current_solver_status,prompt_sha256
7e5b8c12,bit_manipulation,10110000,10110000,10110000,10110000,True,True,True,False,False,False,False,e9e30cd03b8d09cc591a60aead4aae2bd42fc0024420edb60dc45657f464286e,8161,ok,ok,ffe1d6e6bb53323e581167dd148a2dfa29113088dbb693fbe4e2d9939a7bf8c6
78616706,bit_manipulation,00000111,00000111,00000111,00000111,True,True,True,False,False,False,False,ac22a52cd88f95136d48b54ae6f22c69f253b729f6410b07302b914fe21195b4,8563,ok,ok,0f9a183610b1a6734ca0c332eeca9ed22d4fca661cb0d664b7fac60c75c535c3
c7077b21,bit_manipulation,00010110,00010110,00010110,00010110,True,True,True,False,False,False,False,874a84d5906644f22bb654c28eb366918d801d87f9dcd1c8f4ed7fee584e72f2,8962,ok,ok,cb1a4382add5416dc3eb49f4a1c640ad6f297bb98a333554849f2b019aeb4ba2
fb5a7b9e,bit_manipulation,11111010,11111010,11111010,11111010,True,True,True,False,False,False,False,48d8ac347a04793676e89ed3faf448eb81681a51ec7e1a68b07a34f74566ea63,9018,ok,ok,baa24a4b779b66269525b707151458c2dbb3bb02bb202a569142d969c541da1c
839e7350,bit_manipulation,00111011,00111011,00111011,00111011,True,True,True,False,False,False,False,66798f0f69535892a9b40c9b47ffee4265796febbef23add37908670e0e043e7,9053,ok,ok,540e11777499e905c1097532d4cfe09ea72fc91754ac758320a83a819e7c6981
a365e304,bit_manipulation,11011011,11011011,11011011,11011011,True,True,True,False,False,False,False,37a7aa974da93ccb933592c5c978f861bbe4d352085b2f3859402a8e2b901c47,7845,ok,ok,565b75b70f2bbae437f064cbad711a1855a707ee515453e68899ae5a6442264b
f3971b9a,bit_manipulation,00011001,00011001,00011001,00011001,True,True,True,False,False,False,False,ac919ced41bf599b4a4c283116a46a1f015ef7368678d71ce8d9f8df3f80c7ed,9076,ok,ok,db1c5e1da907fb64f3039bb5135d56b1dc96a048aa20face39c596e02f5b9f5d
ab71eaa0,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,False,False,bcda6ac2e0e09287436c03f2a3626c5d12b028eb5b2cfdd50102874f018c037f,8661,ok,ok,dbd977bd5e51bd28a4f8c44eba97d534ca920a71cbef1fdf6ea798714d13f795
bfee75d5,bit_manipulation,01000010,01000010,01000010,01000010,True,True,True,False,False,False,False,2406e57a49be2d7d65c7c530579266984e482d9a955f1654e2b39b9cbc0dc74c,8977,ok,ok,72929b8b7c5fb8131e651f39a8e796c87466de0a7c95b09b6daa119935e4945e
1abaffca,bit_manipulation,01000000,01000000,01011000,00000000,True,False,False,False,True,False,True,a7735560bbfc415650d2c37b4342bc09038112d1bd53c8703bc196b9c4f11815,8453,ok,ok,5714398b60f709207c6f4447e282a555c519ccdd02d0e9310cb1c286c831650f
bc7618a7,bit_manipulation,00001100,00001100,00001100,00001100,True,True,True,False,False,False,False,5815f418ddbbf0e39c482f4185f872b5f15cd5e3818c7003fddb37b6ff598ef8,8018,ok,ok,970eed351e0a884dd758778bbf617366e775334122c945244379781d65dcf19e
892d73b5,bit_manipulation,00010101,00010101,00010101,00010101,True,True,True,False,False,False,False,a108d16d5f29d6cad95a0d70bc30ce558c3fe31af34c5d15fa4d5ddab3814f71,8576,ok,ok,7c485791cffa5db4cf5403ed8eab6f1607144d6c8bce56c2b94e1c7552f15c31
e6d2a064,bit_manipulation,11100011,11100011,11100010,11100010,True,False,False,False,True,False,True,58b090cb98c96ad671019afe2c632f375bd896bef03fab0c77ec89267c25c2fc,8802,ok,ok,6a777515e48da63596108f281536fce164d2ec053ea8918c985ac10fed5a43e3
a1d2bb0c,bit_manipulation,00100010,00100010,00100010,00100010,True,True,True,False,False,False,False,f3193297f7e6ede1a09ac6d8c3ef922223f064a0ef56bf3979adef5776fbffb6,8483,ok,ok,a71b8ba8a8950e01e95925f57c5c83ac8f3286a4d3418630b70da407da9069f6
4e4fb429,bit_manipulation,10111110,10111110,10111110,10111110,True,True,True,False,False,False,False,dd52e2f682f1afcdba289baa7cd9d1d9ef2090c284637e2ac88d5f3ce6e750dc,8468,ok,ok,dd76994570501de54c518563df7cfdfc02bb2e638ebf19de2720e4a0590264c5
