adapter_prediction,answer,examples,family,id,reason,source_id,source_rule_class,split,status
00011111,01000011,0,bit_manipulation,v439_v435e_hard_negative_000b53cf,not_equation,000b53cf,bit_adapter_exact_wrong,train,abstain
01111100,01110000,0,bit_manipulation,v439_v435e_hard_negative_00890aff,not_equation,00890aff,bit_adapter_exact_wrong,train,abstain
01000100,10000100,0,bit_manipulation,v439_v435e_hard_negative_012fb81b,not_equation,012fb81b,bit_adapter_exact_wrong,train,abstain
00011001,00001001,0,bit_manipulation,v439_v435e_hard_negative_0245b9bb,not_equation,0245b9bb,bit_adapter_exact_wrong,train,abstain
00001100,00000100,0,bit_manipulation,v439_v435e_hard_negative_0311b798,not_equation,0311b798,bit_adapter_exact_wrong,train,abstain
00000000,10000000,0,bit_manipulation,v439_v435e_hard_negative_04d8c3e6,not_equation,04d8c3e6,bit_adapter_exact_wrong,train,abstain
11011111,11111111,0,bit_manipulation,v439_v435e_hard_negative_053f87d3,not_equation,053f87d3,bit_adapter_exact_wrong,train,abstain
01111100,11111100,0,bit_manipulation,v439_v435e_hard_negative_06881e47,not_equation,06881e47,bit_adapter_exact_wrong,train,abstain
00111010,00011010,0,bit_manipulation,v439_v435e_hard_negative_06b5da9f,not_equation,06b5da9f,bit_adapter_exact_wrong,train,abstain
10011110,10010110,0,bit_manipulation,v439_v435e_hard_negative_07e8cf66,not_equation,07e8cf66,bit_adapter_exact_wrong,train,abstain
01100000,01110000,0,bit_manipulation,v439_v435e_hard_negative_0b16458a,not_equation,0b16458a,bit_adapter_exact_wrong,train,abstain
))\ ),\^?,4,equation_transform,v439_v435e_hard_negative_00c032a8,no_unique_certified_rule,00c032a8,equation_symbolic_sequence,train,abstain
"#!""^",\:,3,equation_transform,v439_v435e_hard_negative_017a871e,no_unique_certified_rule,017a871e,equation_symbolic_short,train,abstain
|}@,+},4,equation_transform,v439_v435e_hard_negative_01b2aa67,no_unique_certified_rule,01b2aa67,equation_symbolic_short,train,abstain
''`!,[](,5,equation_transform,v439_v435e_hard_negative_01ef1e3e,no_unique_certified_rule,01ef1e3e,equation_symbolic_sequence,train,abstain
!}(!,:}',3,equation_transform,v439_v435e_hard_negative_02664ad5,no_unique_certified_rule,02664ad5,equation_symbolic_sequence,train,abstain
>']',(,4,equation_transform,v439_v435e_hard_negative_02c15453,no_unique_certified_rule,02c15453,equation_symbolic_short,train,abstain
]\]#,$',4,equation_transform,v439_v435e_hard_negative_02e871e4,no_unique_certified_rule,02e871e4,equation_symbolic_short,train,abstain
?<'#,??,5,equation_transform,v439_v435e_hard_negative_035c4c40,no_unique_certified_rule,035c4c40,equation_symbolic_short,train,abstain
&&&?,-},4,equation_transform,v439_v435e_hard_negative_042f1e53,no_unique_certified_rule,042f1e53,equation_symbolic_short,train,abstain
(}||,%}|,4,equation_transform,v439_v435e_hard_negative_0454705a,no_unique_certified_rule,0454705a,equation_symbolic_sequence,train,abstain
\(|/,`>%/,3,equation_transform,v439_v435e_hard_negative_05109055,no_unique_certified_rule,05109055,equation_symbolic_sequence,train,abstain
71,731,4,equation_transform,v439_v435e_hard_negative_053f4545,no_unique_certified_rule,053f4545,equation_numeric_operator_to_number,train,abstain
///$,',5,equation_transform,v439_v435e_hard_negative_055a8b01,no_unique_certified_rule,055a8b01,equation_symbolic_short,train,abstain
>\!:,:::,3,equation_transform,v439_v435e_hard_negative_06083e68,no_unique_certified_rule,06083e68,equation_symbolic_sequence,train,abstain
53,*53,3,equation_transform,v439_v435e_hard_negative_065f9dea,no_unique_certified_rule,065f9dea,equation_numeric_operator_to_symbolic,train,abstain
54,1031,3,equation_transform,v439_v435e_hard_negative_078df00e,no_unique_certified_rule,078df00e,equation_numeric_operator_to_number,train,abstain
62,-62,3,equation_transform,v439_v435e_hard_negative_07aef27f,no_unique_certified_rule,07aef27f,equation_numeric_operator_to_number,train,abstain
^?],")""",4,equation_transform,v439_v435e_hard_negative_08111d57,no_unique_certified_rule,08111d57,equation_symbolic_short,train,abstain
<&:/,<#):,4,equation_transform,v439_v435e_hard_negative_083ed8fe,no_unique_certified_rule,083ed8fe,equation_symbolic_sequence,train,abstain
"}\%]""",\@)],4,equation_transform,v439_v435e_hard_negative_0a3ee7c7,no_unique_certified_rule,0a3ee7c7,equation_symbolic_sequence,train,abstain
]@],@}`@,3,equation_transform,v439_v435e_hard_negative_0a94b2de,no_unique_certified_rule,0a94b2de,equation_symbolic_sequence,train,abstain
'/%),"""""",4,equation_transform,v439_v435e_hard_negative_0b0a3643,no_unique_certified_rule,0b0a3643,equation_symbolic_short,train,abstain
((\!,"?""""",4,equation_transform,v439_v435e_hard_negative_0babcba2,no_unique_certified_rule,0babcba2,equation_symbolic_sequence,train,abstain
1,10,4,equation_transform,v439_v435e_hard_negative_0bcffccd,no_unique_certified_rule,0bcffccd,equation_numeric_operator_to_number,train,abstain
20,138,5,equation_transform,v439_v435e_hard_negative_0c0683c3,no_unique_certified_rule,0c0683c3,equation_numeric_operator_to_number,train,abstain
>!|{,""":!|",5,equation_transform,v439_v435e_hard_negative_0c0c6320,no_unique_certified_rule,0c0c6320,equation_symbolic_sequence,train,abstain
^]^^,-],4,equation_transform,v439_v435e_hard_negative_0c30f561,no_unique_certified_rule,0c30f561,equation_symbolic_short,train,abstain
82,{17,4,equation_transform,v439_v435e_hard_negative_0c8a8a16,no_unique_certified_rule,0c8a8a16,equation_numeric_operator_to_symbolic,train,abstain
:(/$,:::,5,equation_transform,v439_v435e_hard_negative_0cdb0aae,no_unique_certified_rule,0cdb0aae,equation_symbolic_sequence,train,abstain
:#)<,{<,4,equation_transform,v439_v435e_hard_negative_0cf301cf,no_unique_certified_rule,0cf301cf,equation_symbolic_short,train,abstain
^&%@,}}^,5,equation_transform,v439_v435e_hard_negative_0d2e94ff,no_unique_certified_rule,0d2e94ff,equation_symbolic_sequence,train,abstain
< /&{,}<,3,equation_transform,v439_v435e_hard_negative_0d542478,no_unique_certified_rule,0d542478,equation_symbolic_short,train,abstain
)!#>,-@/,3,equation_transform,v439_v435e_hard_negative_0dce4039,no_unique_certified_rule,0dce4039,equation_symbolic_sequence,train,abstain
/}#`,"""!!",5,equation_transform,v439_v435e_hard_negative_0df82d52,no_unique_certified_rule,0df82d52,equation_symbolic_sequence,train,abstain
!)'!,|)],4,equation_transform,v439_v435e_hard_negative_0e2d6796,no_unique_certified_rule,0e2d6796,equation_symbolic_sequence,train,abstain
$/{|,:$,3,equation_transform,v439_v435e_hard_negative_0e3307ba,no_unique_certified_rule,0e3307ba,equation_symbolic_short,train,abstain
}$/@,}/@,4,equation_transform,v439_v435e_hard_negative_0e375364,no_unique_certified_rule,0e375364,equation_symbolic_sequence,train,abstain
'>>$',$?,4,equation_transform,v439_v435e_hard_negative_0f6436da,no_unique_certified_rule,0f6436da,equation_symbolic_short,train,abstain
22,159,3,equation_transform,v439_v435e_hard_negative_0f8452df,no_unique_certified_rule,0f8452df,equation_numeric_operator_to_number,train,abstain
(?:(,?',4,equation_transform,v439_v435e_hard_negative_10552d46,no_unique_certified_rule,10552d46,equation_symbolic_short,train,abstain
""">)\","""""\}",4,equation_transform,v439_v435e_hard_negative_10a94678,no_unique_certified_rule,10a94678,equation_symbolic_sequence,train,abstain
]?>?,#}:,4,equation_transform,v439_v435e_hard_negative_10b71e8a,no_unique_certified_rule,10b71e8a,equation_symbolic_sequence,train,abstain
