id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
5e67b1a1,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_123_concat_ab,63,3231,63,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""concat_ab"", ""operator"": ""{"", ""precision"": 0.25, ""support"": 4, ""total"": 16}"
3383d4ec,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,66,-33,66,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
b26d8818,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_93_abs_diff,5983,20,5983,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""abs_diff"", ""operator"": ""]"", ""precision"": 0.35714285714285715, ""support"": 5, ""total"": 14}"
791056ce,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_123_concat_ab,4922,5872,4922,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""concat_ab"", ""operator"": ""{"", ""precision"": 0.25, ""support"": 4, ""total"": 16}"
7ac90433,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,-23,23,-23,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
7688e06e,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,-55,44,-55,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
333d93ec,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,7,-29,7,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
274def88,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,92,-7,92,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
8bebef83,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_123_concat_ab,3388,4477,3388,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""concat_ab"", ""operator"": ""{"", ""precision"": 0.25, ""support"": 4, ""total"": 16}"
b4342b90,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_92_abs_diff,66,15,66,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""abs_diff"", ""operator"": ""\\"", ""precision"": 0.25, ""support"": 3, ""total"": 12}"
8c1529e1,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,-52,47,-52,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
339149c9,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,3,-30,3,True,False,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
c541eb82,equation_transform,v363_public_train_exweak_numeric_prior,numeric_operator_prior_45_sub_ab,-01,-1,-01,True,True,False,reject_rule_class_has_losses,1,0,"{""function"": ""sub_ab"", ""operator"": ""-"", ""precision"": 0.27522935779816515, ""support"": 30, ""total"": 109}"
