answer,baseline_correct,baseline_prediction,candidate_correct,checked_loo,condition,example_count,id,prediction,program_kind,proof,query,reason,source_name,source_positions,status
84,True,84,False,,,3,e518256e,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}","94""10",no_conditioned_symbolic_program,,"""""",abstain
!?'!,False,|:>>,False,2,left1_eq_right0,4,09d5ee68,|:>>,direct_selection,"{""checked_loo"": 2, ""condition"": ""left1_eq_right0"", ""output_len"": 4, ""program_kind"": ""direct_selection"", ""reason"": ""unique_conditioned_symbolic_program"", ""source_name"": ""operands4"", ""source_positions"": [0, 1, 3, 4], ""status"": ""candidate"", ""top_count"": 1}",|:*>>,unique_conditioned_symbolic_program,operands4,"[0, 1, 3, 4]",candidate
@&,False,\boxed[[!'},False,,,4,00457d26,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",[[-!',no_conditioned_symbolic_program,,"""""",abstain
$,False,{}>{,False,,,4,518deb39,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",$$-<>,no_conditioned_symbolic_program,,"""""",abstain
-@>,False,'^^^',False,,,4,82109e34,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",'^-^^,no_conditioned_symbolic_program,,"""""",abstain
63,True,63,False,,,4,5e67b1a1,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",32{31,no_conditioned_symbolic_program,,"""""",abstain
1089,False,0,False,,,5,e1728524,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",99/99,no_conditioned_symbolic_program,,"""""",abstain
"""`",False,@`',False,,,5,e3bf0c2c,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",@`}'',no_conditioned_symbolic_program,,"""""",abstain
"-\""",False,|?|,False,,,5,fdbdf50c,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",|\-?|,no_conditioned_symbolic_program,,"""""",abstain
]%],False,/`%`,False,,,4,47c1d8f5,,,"{""reason"": ""no_conditioned_symbolic_program"", ""status"": ""abstain""}",/`#%`,no_conditioned_symbolic_program,,"""""",abstain
