source_dataset,kg1_relevance,scanned_rows,selected_rows
ab,other,161,0
acre,other,144,0
advanced_geometry,other,127,0
aiw,other,178,0
arc_1d,other,137,0
arc_agi,other,149,0
base_conversion,numeral_or_bit_support,133,133
basic_arithmetic,other,163,0
bf,other,148,0
binary_alternation,bit_manipulation,154,154
binary_matrix,other,129,0
bitwise_arithmetic,bit_manipulation,143,143
boxnet,other,141,0
caesar_cipher,other,138,0
calendar_arithmetic,other,152,0
chain_sum,other,125,0
circuit_logic,bit_manipulation,141,141
codeio,other,153,0
coin_flip,other,131,0
color_cube_rotation,other,132,0
complex_arithmetic,other,129,0
count_bits,bit_manipulation,150,150
count_primes,other,140,0
countdown,other,127,0
course_schedule,other,160,0
cryptarithm,equation_transform,145,145
decimal_arithmetic,other,126,0
decimal_chain_sum,other,152,0
dice,other,146,0
emoji_mystery,other,142,0
family_relationships,other,148,0
figlet_font,other,155,0
fraction_simplification,other,141,0
futoshiki,other,125,0
game_of_life,other,144,0
game_of_life_halting,other,157,0
gcd,other,149,0
graph_color,other,150,0
group_anagrams,other,139,0
gsm_symbolic,other,145,0
intermediate_integration,other,129,0
isomorphic_strings,other,137,0
jugs,other,139,0
kakurasu,other,140,0
knight_swap,other,161,0
knights_knaves,other,131,0
largest_island,other,136,0
lcm,other,141,0
leg_counting,other,164,0
letter_counting,other,148,0
letter_jumble,other,152,0
list_functions,other,131,0
mahjong_puzzle,other,147,0
manipulate_matrix,other,151,0
maze,other,137,0
mini_sudoku,other,148,0
modulo_grid,other,152,0
n_queens,other,133,0
needle_haystack,other,147,0
number_filtering,other,155,0
number_format,numeral_or_bit_support,161,161
number_sequence,other,144,0
number_sorting,other,146,0
palindrome_generation,other,143,0
palindrome_partitioning,other,138,0
polynomial_equations,other,132,0
polynomial_multiplication,equation_transform,152,152
pool_matrix,other,145,0
power_function,other,130,0
prime_factorization,other,165,0
products,other,129,0
propositional_logic,other,151,0
puzzle24,other,130,0
quantum_lock,other,122,0
ransom_note,other,151,0
rearc,other,133,0
rectangle_count,other,136,0
rotate_matrix,other,134,0
rotten_oranges,other,149,0
rubiks_cube,other,152,0
rush_hour,other,145,0
self_reference,other,151,0
sentence_reordering,other,137,0
shortest_path,other,136,0
simple_equations,equation_transform,147,147
simple_geometry,other,150,0
simple_integration,other,147,0
sokoban,other,139,0
spell_backward,other,142,0
spiral_matrix,other,156,0
string_insertion,other,147,0
string_manipulation,other,161,0
string_splitting,other,134,0
string_synthesis,other,156,0
sudoku,other,129,0
survo,other,148,0
syllogism,other,158,0
time_intervals,other,146,0
tower_of_hanoi,other,103,0
tsumego,other,175,0
word_ladder,other,140,0
word_sequence_reversal,other,156,0
word_sorting,other,148,0
zebra_puzzles,other,178,0
