id,family,answer,baseline_prediction,teacher_prediction,rule,prompt_sha256
1abaffca,bit_manipulation,01000000,01011000,01000000,bit_fullbyte_ternary_op_CHO,5714398b60f709207c6f4447e282a555c519ccdd02d0e9310cb1c286c831650f
e6d2a064,bit_manipulation,11100011,11100010,11100011,bit_exact_global_ternary_unique_prediction,6a777515e48da63596108f281536fce164d2ec053ea8918c985ac10fed5a43e3
0e70c867,bit_manipulation,01000000,01001100,01000000,bit_exact_global_ternary_unique_prediction,a33ee5403185c935c98a3b1741646304c47186ae51f71744a49ac2e5f6daf5b5
b8722d19,bit_manipulation,00100100,11110100,00100100,bit_fullbyte_ternary_op_CHO,f1742119b8faac8912d2152d21ade4f8aa9e01feeaa78d6e9d9dff315929172d
99d6a3b5,equation_transform,?()<,(<)),?()<,equation_reference_gain_untyped,7ae99507388e34f73332ba7e63886312c5ca3a59c70dcb90e3d73e80c1648614
05ca617c,bit_manipulation,11011011,01011011,11011011,bit_exact_global_ternary_unique_prediction,fbf7b585145b3b2b3dae130d3fa0a304ae4e4044ce56572e29bd69af9c13e697
7688e06e,equation_transform,-55,55,-55,equation_reference_gain_untyped,a2d6dbbcc8efcb4cb31bafee1dfcf78502fe85fc12f7a3115d0bc9e9a069eb5e
7192535b,bit_manipulation,00000010,00001010,00000010,bit_fullbyte_ternary_op_MAJ3,e8eb6e73f440aaa272d0b22710f6761ea9731d11f2d26b5cc6351b7da32b25d8
274def88,equation_transform,92,-92,92,equation_reference_gain_untyped,bfd1ec7458b1a2430faf220a15ecc688fbde6a639de40a2bd42b5b0f15d2f268
a6704625,bit_manipulation,00001101,00011111,00001101,bit_exact_global_ternary_unique_prediction,cf1a73c80100961fab333d41e839acf2e5e1bda40d3929d0a7c1bb67e0ee529f
fb623471,equation_transform,-21,21,-21,equation_reference_gain_untyped,8b5262bda0492b7d94b9bd3dc7cbcfd366e74b2047756ed1e76f970f7c7d55dd
78d02fc5,bit_manipulation,11001001,11001011,11001001,bit_exact_global_ternary_unique_prediction,a57a99ba385eef38495b46af76bceae2c9a227dfd9a3cec3189eb773d86c4ba6
55d834d1,bit_manipulation,00111111,10111111,00111111,bit_exact_global_ternary_unique_prediction,148a431821e8d0db3598d07425b1a745e5690e05d4d8b624efdf32e70495ade5
4ef88f92,bit_manipulation,01010111,01010011,01010111,bit_exact_global_ternary_unique_prediction,56038216dfc4b760b614396a56e2771e8b3173eae1aebadcac752f89e54f84e9
1a7c8520,bit_manipulation,01100000,01100110,01100000,bit_fullbyte_ternary_op_MAJ3,acb44f2274d7713e3692a87625458b486c8b501d9118a431b06150cc62fe36e6
528ec0d8,equation_transform,-39,39,-39,equation_reference_gain_untyped,05f11f89fe0cdf0ec9aee8bd4b9582b0ce5f976db907bda9b4ef25f6d7dbf9ab
4bb8c6cd,equation_transform,]}\!,],]}\!,equation_reference_gain_untyped,9f79492b8d107dfcd62262c48242c708d2df7b527bb80f9ac0d6a9a670ddfaeb
202af98d,bit_manipulation,11111101,11111111,11111101,bit_exact_global_ternary_unique_prediction,042b57f1c51bd6712b59b21c9a67fc381cd9498ff3d87c8dac4eb60022f911e3
3ace787f,bit_manipulation,11111011,11111111,11111011,bit_exact_global_ternary_unique_prediction,70c6a236dd1de8c360090177fcb87fabb7bcd7ee8327ba70868ef11b5111447e
d1bd7478,equation_transform,30,3,30,equation_reference_gain_untyped,e7374a3ef805930cf63524d606b7b72b3d754925b4868a736bf88a955dabc1eb
c5b058d6,equation_transform,134,35,134,equation_reference_gain_untyped,41715ae5a08fc17c47f92173edf3fbee18abc1de081725eb26c7a19b3cad4b19
3a7dd604,bit_manipulation,01001010,01001011,01001010,bit_exact_global_ternary_unique_prediction,1c4bdc9f2eca56be91c80a44e16b93b6550d934b1fb21d10fbd309ce99603003
4ada9150,bit_manipulation,01111011,01111111,01111011,bit_exact_global_binary_OR,2ba715237130fc9ade7493258cffde41c01e2b6be01e2d9e5c3987b39e4704aa
a6192d29,bit_manipulation,00001000,01111110,00001000,bit_fullbyte_ternary_op_MAJ3,b263740cb7c4e024f9c91822096b72f9786b81085425f6298bc6d19f12e4a018
048cc279,bit_manipulation,01010000,01111000,01010000,bit_fullbyte_ternary_op_MAJ3,d07049a262cc8af1ec3df8801b34e63253e9e197d01bd0b9a4b3ae0088c79b98
06120e47,bit_manipulation,11110010,11111110,11110010,bit_exact_global_ternary_unique_prediction,7623e543c82be685915b1a57a8a3b8bf581fa9cc3137ddccc4ffb6bd6139b586
e1f3ffbb,bit_manipulation,11111010,11111011,11111010,bit_exact_global_ternary_unique_prediction,5ca89f712b1fdd80386b5acb87a94528af6fa94878128bd231870462d2ac4d71
4c327b55,bit_manipulation,11011100,11011110,11011100,bit_exact_global_binary_XOR,aae8f396b7fb3499be4cc922c6f5ef4d96e8ada714a39e244374f6830533e3f2
b8aa3072,bit_manipulation,00000011,00000111,00000011,bit_fullbyte_ternary_op_CHO,5537172922985ab623795823e4f6ff67d7cf3f05be8433c72c066ee037bbc15a
82ae858c,bit_manipulation,11001101,11111101,11001101,bit_exact_global_ternary_unique_prediction,68de8358dfc0070ed78b1d06bdabf6e90c48427b594053e356e612449ee11e7e
5ba26f21,bit_manipulation,01011100,01111110,01011100,bit_fullbyte_ternary_op_CHO,e174f0e2158776031c73af81fc4e5e5664658e26f73ecbe5e67f0681cfc6d126
