id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
02902eb3,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_add,!!$>,>},>/,False,False,False,reject_conflicting_predictions,4,3,"ops={""*"": ""mul"", ""+"": ""add"", ""-"": ""sub_ab""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}; ops={""*"": ""mul"", ""+"": ""add"", ""-"": ""abs_diff""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
02902eb3,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_sub_ab,!!$>,],>/,False,False,False,reject_conflicting_predictions,4,3,"ops={""*"": ""mul"", ""+"": ""sub_ab"", ""-"": ""sub_ab""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}; ops={""*"": ""mul"", ""+"": ""sub_ab"", ""-"": ""abs_diff""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
02902eb3,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_abs_diff,!!$>,],>/,False,False,False,reject_conflicting_predictions,4,3,"ops={""*"": ""mul"", ""+"": ""abs_diff"", ""-"": ""sub_ab""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}; ops={""*"": ""mul"", ""+"": ""abs_diff"", ""-"": ""abs_diff""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
02902eb3,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_mul,!!$>,/]&},>/,False,False,False,reject_conflicting_predictions,4,3,"ops={""*"": ""mul"", ""+"": ""mul"", ""-"": ""sub_ab""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}; ops={""*"": ""mul"", ""+"": ""mul"", ""-"": ""abs_diff""}; map={""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
194695e8,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_abs_diff,!\{<,{<,%,False,False,False,reject_rule_class_has_incorrect_or_no_verified_candidates,1,0,"ops={""*"": ""mul"", ""-"": ""abs_diff""}; map={""!"": 3, ""$"": 7, ""%"": 0, ""<"": 8, ""\\"": 6, ""]"": 5, ""{"": 1, ""|"": 2}"
432b1110,equation_transform,v350_v278_symbolic_dsl,symbolic_delete_selected_chars,\{<?,\{*<?,%[:?,False,False,False,reject_conflicting_predictions,3,2,delete_char_sets=+
432b1110,equation_transform,v350_v278_symbolic_dsl,symbolic_position_template,\{<?,\{<?,%[:?,False,False,False,reject_conflicting_predictions,3,2,"choice_counts=2,2,2,2"
432b1110,equation_transform,v350_v278_symbolic_dsl,symbolic_operator_index_template,\{<?,\{<?,%[:?,False,False,False,reject_conflicting_predictions,3,2,programs=drop_op@2
5501c054,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_add,!##^,"^)""",[#>#,False,False,False,reject_conflicting_predictions,4,3,"ops={""$"": ""add"", ""{"": ""sub_ab"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}; ops={""$"": ""add"", ""{"": ""abs_diff"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}"
5501c054,equation_transform,v350_v329_symbolic_cryptarithm,symbolic_cryptarithm_multi_operator_digits_sub_ba,!##^,[,[#>#,False,False,False,reject_conflicting_predictions,4,3,"ops={""$"": ""sub_ba"", ""{"": ""sub_ab"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}; ops={""$"": ""sub_ba"", ""{"": ""abs_diff"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}"
