answer,baseline_correct,baseline_prediction,candidate_correct,id,prediction,prediction_sources,status
84,True,84,False,e518256e,,[],abstain
!?'!,False,|:>>,False,09d5ee68,,[],abstain
@&,False,\boxed[[!'},False,00457d26,,[],abstain
$,False,{}>{,False,518deb39,,[],abstain
-@>,False,'^^^',False,82109e34,,[],abstain
63,True,63,False,5e67b1a1,,[],abstain
1089,False,0,False,e1728524,,[],abstain
"""`",False,@`',False,e3bf0c2c,,[],abstain
"-\""",False,|?|,False,fdbdf50c,,[],abstain
]%],False,/`%`,False,47c1d8f5,,[],abstain
/((`,False,@($/,False,f9a33aa1,,[],abstain
7272,True,7272,False,9f2fae58,,[],abstain
&:/?,False,:^?\,False,f9799a68,,[],abstain
&/,False,]]]%,False,c24074a8,,[],abstain
-@',False,@``:,False,893ffb06,,[],abstain
-[,False,@|#|,False,cf4c04c0,,[],abstain
]]],False,$&&,False,8e411cc7,,[],abstain
9318,True,9318,False,41e6cbfc,,[],abstain
['[/,True,['[/,False,dea42835,,[],abstain
53,False,32,False,48c25e0e,,[],abstain
>42,True,>42,False,7ef4d5d6,,[],abstain
-51,True,-51,False,3ee36e0a,,[],abstain
{]``,True,{]``,False,39c237c7,,[],abstain
76,True,76,False,963e85bb,,[],abstain
-),False,!$$[,False,a98d4d53,,[],abstain
/,False,$/>/,False,59733f94,,[],abstain
63,True,63,False,b1bc3731,,[],abstain
87,True,87,False,a1523a63,,[],abstain
66,True,66,False,3383d4ec,,[],abstain
))[,False,:<`\,False,9dae880f,,[],abstain
20,True,20,False,2af7134e,,[],abstain
#`,False,$?]$,False,ae6be599,,[],abstain
5983,True,5983,False,b26d8818,,[],abstain
"""`#&",False,"])<""",False,8494aad3,,[],abstain
34,True,34,False,8df3daad,,[],abstain
4922,True,4922,False,791056ce,,[],abstain
321,True,321,False,3c12aeb9,,[],abstain
4472,True,4472,False,69aa57b3,,[],abstain
{@%],False,(^@{,False,e3890bf7,,[],abstain
231,True,231,False,d204b9cc,,[],abstain
?|,False,|''>,False,d29e19a4,,[],abstain
^&/,False,"""$ $]""",False,b06625c4,,[],abstain
24,True,24,False,84030b0b,,[],abstain
'!,False,&&&`,False,52be4988,,[],abstain
?()<,False,(<)),False,99d6a3b5,,[],abstain
))^),False,\${,False,2d3547af,,[],abstain
'],False,|^^^,False,28b0ff48,,[],abstain
696,True,696,False,3fa49035,,[],abstain
|&,False,'{),False,61557701,,[],abstain
711,True,711,False,56343b77,,[],abstain
-23,True,-23,False,7ac90433,,[],abstain
>/,False,!!$>,False,02902eb3,,[],abstain
:,False,::)[,False,0d90736f,,[],abstain
&(,False,##!),False,294453b5,,[],abstain
671,False,18,False,386b6d03,,[],abstain
%{{,False,|@(!,False,57f6878e,,[],abstain
(/&{,True,(/&{,False,bc83b0a1,,[],abstain
:46,False,46,False,a361a1b7,,[],abstain
:\:,False,@}<',False,d911e8e1,,[],abstain
-55,False,55,False,7688e06e,,[],abstain
5631,True,5631,False,dbd0e3c9,,[],abstain
07,True,07,False,2e2d60b2,,[],abstain
}/!},False,|!@[,False,5f9f0ed7,,[],abstain
7,True,7,False,333d93ec,,[],abstain
49,True,49,False,74fff108,,[],abstain
)|,False,$):$,False,c43b5a13,,[],abstain
]$!,False,$){,False,b0206bb7,,[],abstain
@,False,$]<$,False,638f93ca,,[],abstain
{<<<,False,@/[@,False,4bfd095a,,[],abstain
%'!,False,"#`""",False,7a422e17,,[],abstain
&&,False,><\$,False,5b2523e6,,[],abstain
"(""",False,^?(|,False,0fe53bac,,[],abstain
92,False,-92,False,274def88,,[],abstain
-!,False,'}>/,False,03a3437f,,[],abstain
)#?,False,@\}?,False,30ac5c8e,,[],abstain
88,True,88,False,08d8d7e1,,[],abstain
#<,False,!%<<,False,ff121f08,,[],abstain
881,True,881,False,42cb233d,,[],abstain
"|""]",False,|@<!,False,ec8b4875,,[],abstain
'(^),False,{%??,False,e3fbc768,,[],abstain
)(,False,^&>),False,6cc5dafb,,[],abstain
>>,False,""")&&",False,d5a03a2e,,[],abstain
3388,True,3388,False,8bebef83,,[],abstain
3341,True,3341,False,27cec7a9,,[],abstain
1455,True,1455,False,4aeed935,,[],abstain
-21,False,21,False,fb623471,,[],abstain
5311,True,5311,False,88b43464,,[],abstain
101,True,101,False,209c43f0,,[],abstain
##$,False,!>``,False,d129b085,,[],abstain
}@,False,"""']@",False,e582df31,,[],abstain
"[""",False,{>$[,False,a77be9fa,,[],abstain
5543,True,5543,False,f8d6abd1,,[],abstain
"(""/""",False,!:`(,False,4ed6b56f,,[],abstain
[:,False,[&<>,False,208d7838,,[],abstain
-)\,False,^!#\,False,58c099d2,,[],abstain
[[&],False,]$$),False,3cb3fd89,,[],abstain
<',False,<&<#,False,a26065d4,,[],abstain
%,False,!\{<,False,194695e8,,[],abstain
-39,False,39,False,528ec0d8,,[],abstain
]}\!,True,]}\!,False,4bb8c6cd,,[],abstain
-/<,False,$/'{,False,57712d01,,[],abstain
?(&@,False,(@@?,False,d98d85c0,,[],abstain
180,True,180,False,7ed40e8a,,[],abstain
)!,False,@|]!,False,491b8ea5,,[],abstain
>!>},False,){>),False,eb1a62f7,,[],abstain
%?<,False,"""$%%""",False,0bb591e6,,[],abstain
9351,True,9351,False,3c424916,,[],abstain
3316,True,3316,False,72336119,,[],abstain
#>[,False,!&)#,False,9a19fc2d,,[],abstain
"""'",False,>]],False,528b694b,,[],abstain
3922,True,3922,False,d3b20e29,,[],abstain
