id,prompt,answer,family
full_bit_000,bit_manipulation identity fixture 0,100000,bit_manipulation
full_bit_001,bit_manipulation identity fixture 1,100001,bit_manipulation
full_bit_002,bit_manipulation identity fixture 2,100002,bit_manipulation
full_bit_003,bit_manipulation identity fixture 3,100003,bit_manipulation
full_bit_004,bit_manipulation identity fixture 4,100004,bit_manipulation
full_bit_005,bit_manipulation identity fixture 5,100005,bit_manipulation
full_bit_006,bit_manipulation identity fixture 6,100006,bit_manipulation
full_bit_007,bit_manipulation identity fixture 7,100007,bit_manipulation
full_bit_008,bit_manipulation identity fixture 8,100008,bit_manipulation
full_bit_009,bit_manipulation identity fixture 9,100009,bit_manipulation
full_bit_010,bit_manipulation identity fixture 10,100010,bit_manipulation
full_bit_011,bit_manipulation identity fixture 11,100011,bit_manipulation
full_bit_012,bit_manipulation identity fixture 12,100012,bit_manipulation
full_bit_013,bit_manipulation identity fixture 13,100013,bit_manipulation
full_bit_014,bit_manipulation identity fixture 14,100014,bit_manipulation
full_bit_015,bit_manipulation identity fixture 15,100015,bit_manipulation
full_bit_016,bit_manipulation identity fixture 16,100016,bit_manipulation
full_bit_017,bit_manipulation identity fixture 17,100017,bit_manipulation
full_bit_018,bit_manipulation identity fixture 18,100018,bit_manipulation
full_bit_019,bit_manipulation identity fixture 19,100019,bit_manipulation
full_bit_020,bit_manipulation identity fixture 20,100020,bit_manipulation
full_bit_021,bit_manipulation identity fixture 21,100021,bit_manipulation
full_bit_022,bit_manipulation identity fixture 22,100022,bit_manipulation
full_bit_023,bit_manipulation identity fixture 23,100023,bit_manipulation
full_bit_024,bit_manipulation identity fixture 24,100024,bit_manipulation
full_bit_025,bit_manipulation identity fixture 25,100025,bit_manipulation
full_bit_026,bit_manipulation identity fixture 26,100026,bit_manipulation
full_bit_027,bit_manipulation identity fixture 27,100027,bit_manipulation
full_bit_028,bit_manipulation identity fixture 28,100028,bit_manipulation
full_bit_029,bit_manipulation identity fixture 29,100029,bit_manipulation
full_bit_030,bit_manipulation identity fixture 30,100030,bit_manipulation
full_bit_031,bit_manipulation identity fixture 31,100031,bit_manipulation
full_bit_032,bit_manipulation identity fixture 32,100032,bit_manipulation
full_bit_033,bit_manipulation identity fixture 33,100033,bit_manipulation
full_bit_034,bit_manipulation identity fixture 34,100034,bit_manipulation
full_bit_035,bit_manipulation identity fixture 35,100035,bit_manipulation
full_bit_036,bit_manipulation identity fixture 36,100036,bit_manipulation
full_bit_037,bit_manipulation identity fixture 37,100037,bit_manipulation
full_bit_038,bit_manipulation identity fixture 38,100038,bit_manipulation
full_bit_039,bit_manipulation identity fixture 39,100039,bit_manipulation
full_bit_040,bit_manipulation identity fixture 40,100040,bit_manipulation
full_bit_041,bit_manipulation identity fixture 41,100041,bit_manipulation
full_bit_042,bit_manipulation identity fixture 42,100042,bit_manipulation
full_bit_043,bit_manipulation identity fixture 43,100043,bit_manipulation
full_bit_044,bit_manipulation identity fixture 44,100044,bit_manipulation
full_bit_045,bit_manipulation identity fixture 45,100045,bit_manipulation
full_bit_046,bit_manipulation identity fixture 46,100046,bit_manipulation
full_bit_047,bit_manipulation identity fixture 47,100047,bit_manipulation
full_bit_048,bit_manipulation identity fixture 48,100048,bit_manipulation
full_bit_049,bit_manipulation identity fixture 49,100049,bit_manipulation
full_bit_050,bit_manipulation identity fixture 50,100050,bit_manipulation
full_bit_051,bit_manipulation identity fixture 51,100051,bit_manipulation
full_bit_052,bit_manipulation identity fixture 52,100052,bit_manipulation
full_bit_053,bit_manipulation identity fixture 53,100053,bit_manipulation
full_bit_054,bit_manipulation identity fixture 54,100054,bit_manipulation
full_bit_055,bit_manipulation identity fixture 55,100055,bit_manipulation
full_bit_056,bit_manipulation identity fixture 56,100056,bit_manipulation
full_bit_057,bit_manipulation identity fixture 57,100057,bit_manipulation
full_bit_058,bit_manipulation identity fixture 58,100058,bit_manipulation
full_bit_059,bit_manipulation identity fixture 59,100059,bit_manipulation
full_bit_060,bit_manipulation identity fixture 60,100060,bit_manipulation
full_bit_061,bit_manipulation identity fixture 61,100061,bit_manipulation
full_bit_062,bit_manipulation identity fixture 62,100062,bit_manipulation
full_bit_063,bit_manipulation identity fixture 63,100063,bit_manipulation
full_bit_064,bit_manipulation identity fixture 64,100064,bit_manipulation
full_bit_065,bit_manipulation identity fixture 65,100065,bit_manipulation
full_bit_066,bit_manipulation identity fixture 66,100066,bit_manipulation
full_bit_067,bit_manipulation identity fixture 67,100067,bit_manipulation
full_bit_068,bit_manipulation identity fixture 68,100068,bit_manipulation
full_bit_069,bit_manipulation identity fixture 69,100069,bit_manipulation
full_bit_070,bit_manipulation identity fixture 70,100070,bit_manipulation
full_bit_071,bit_manipulation identity fixture 71,100071,bit_manipulation
full_bit_072,bit_manipulation identity fixture 72,100072,bit_manipulation
full_bit_073,bit_manipulation identity fixture 73,100073,bit_manipulation
full_bit_074,bit_manipulation identity fixture 74,100074,bit_manipulation
full_bit_075,bit_manipulation identity fixture 75,100075,bit_manipulation
full_bit_076,bit_manipulation identity fixture 76,100076,bit_manipulation
full_bit_077,bit_manipulation identity fixture 77,100077,bit_manipulation
full_bit_078,bit_manipulation identity fixture 78,100078,bit_manipulation
full_bit_079,bit_manipulation identity fixture 79,100079,bit_manipulation
full_bit_080,bit_manipulation identity fixture 80,100080,bit_manipulation
full_bit_081,bit_manipulation identity fixture 81,100081,bit_manipulation
full_bit_082,bit_manipulation identity fixture 82,100082,bit_manipulation
full_bit_083,bit_manipulation identity fixture 83,100083,bit_manipulation
full_bit_084,bit_manipulation identity fixture 84,100084,bit_manipulation
full_bit_085,bit_manipulation identity fixture 85,100085,bit_manipulation
full_bit_086,bit_manipulation identity fixture 86,100086,bit_manipulation
full_bit_087,bit_manipulation identity fixture 87,100087,bit_manipulation
full_bit_088,bit_manipulation identity fixture 88,100088,bit_manipulation
full_bit_089,bit_manipulation identity fixture 89,100089,bit_manipulation
full_bit_090,bit_manipulation identity fixture 90,100090,bit_manipulation
full_bit_091,bit_manipulation identity fixture 91,100091,bit_manipulation
full_bit_092,bit_manipulation identity fixture 92,100092,bit_manipulation
full_bit_093,bit_manipulation identity fixture 93,100093,bit_manipulation
full_bit_094,bit_manipulation identity fixture 94,100094,bit_manipulation
full_bit_095,bit_manipulation identity fixture 95,100095,bit_manipulation
full_bit_096,bit_manipulation identity fixture 96,100096,bit_manipulation
full_bit_097,bit_manipulation identity fixture 97,100097,bit_manipulation
full_bit_098,bit_manipulation identity fixture 98,100098,bit_manipulation
full_bit_099,bit_manipulation identity fixture 99,100099,bit_manipulation
full_bit_100,bit_manipulation identity fixture 100,100100,bit_manipulation
full_bit_101,bit_manipulation identity fixture 101,100101,bit_manipulation
full_bit_102,bit_manipulation identity fixture 102,100102,bit_manipulation
full_bit_103,bit_manipulation identity fixture 103,100103,bit_manipulation
full_bit_104,bit_manipulation identity fixture 104,100104,bit_manipulation
full_bit_105,bit_manipulation identity fixture 105,100105,bit_manipulation
full_bit_106,bit_manipulation identity fixture 106,100106,bit_manipulation
full_bit_107,bit_manipulation identity fixture 107,100107,bit_manipulation
full_bit_108,bit_manipulation identity fixture 108,100108,bit_manipulation
full_bit_109,bit_manipulation identity fixture 109,100109,bit_manipulation
full_bit_110,bit_manipulation identity fixture 110,100110,bit_manipulation
full_bit_111,bit_manipulation identity fixture 111,100111,bit_manipulation
full_bit_112,bit_manipulation identity fixture 112,100112,bit_manipulation
full_bit_113,bit_manipulation identity fixture 113,100113,bit_manipulation
full_bit_114,bit_manipulation identity fixture 114,100114,bit_manipulation
full_bit_115,bit_manipulation identity fixture 115,100115,bit_manipulation
full_bit_116,bit_manipulation identity fixture 116,100116,bit_manipulation
full_bit_117,bit_manipulation identity fixture 117,100117,bit_manipulation
full_bit_118,bit_manipulation identity fixture 118,100118,bit_manipulation
