id,family,source,status,prediction,answer,baseline_prediction,baseline_correct,candidate_correct,reason,proof
e518256e,equation_transform,v412_equation_vsa_ranked,abstain,,84,84,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
09d5ee68,equation_transform,v412_equation_vsa_ranked,abstain,,!?'!,|:>>,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
7e5b8c12,bit_manipulation,v412_bit_lut_k123,abstain,,10110000,10110000,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [19], ""consistent_counts"": [35], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -6}"
00457d26,equation_transform,v412_equation_vsa_ranked,abstain,,@&,\boxed[[!'},False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
518deb39,equation_transform,v412_equation_vsa_ranked,abstain,,$,{}>{,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
78616706,bit_manipulation,v412_bit_lut_k123,abstain,,00000111,00000111,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [32], ""consistent_counts"": [37], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 4}"
82109e34,equation_transform,v412_equation_vsa_ranked,abstain,,-@>,'^^^',False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
5e67b1a1,equation_transform,v412_equation_vsa_ranked,abstain,,63,63,True,False,no_consistent_vsa_program,"{""program_count"": 3, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
c7077b21,bit_manipulation,v412_bit_lut_k123,abstain,,00010110,00010110,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [5, 5, 30], ""consistent_counts"": [7, 7, 43], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 4}"
fb5a7b9e,bit_manipulation,v412_bit_lut_k123,abstain,,11111010,11111010,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [18], ""consistent_counts"": [38], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
e1728524,equation_transform,v412_equation_vsa_ranked,abstain,,1089,0,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
839e7350,bit_manipulation,v412_bit_lut_k123,abstain,,00111011,00111011,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [9], ""consistent_counts"": [15], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 2}"
a365e304,bit_manipulation,v412_bit_lut_k123,abstain,,11011011,11011011,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [38], ""consistent_counts"": [44], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
e3bf0c2c,equation_transform,v412_equation_vsa_ranked,abstain,,"""`",@`',False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
fdbdf50c,equation_transform,v412_equation_vsa_ranked,abstain,,"-\""",|?|,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
f3971b9a,bit_manipulation,v412_bit_lut_k123,abstain,,00011001,00011001,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [6, 16], ""consistent_counts"": [7, 21], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 0}"
ab71eaa0,bit_manipulation,v412_bit_lut_k123,abstain,,00010010,00010010,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [34], ""consistent_counts"": [41], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -6}"
47c1d8f5,equation_transform,v412_equation_vsa_ranked,abstain,,]%],/`%`,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
bfee75d5,bit_manipulation,v412_bit_lut_k123,abstain,,01000010,01000010,True,False,ambiguous_lut_prediction_bit_7,"{""accepted_counts"": [28, 29, 21, 28, 29, 28, 29, 27], ""consistent_counts"": [30, 30, 29, 29, 30, 30, 30, 34], ""reason"": ""ambiguous_lut_prediction_bit_7"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
f9a33aa1,equation_transform,v412_equation_vsa_ranked,abstain,,/((`,@($/,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
1abaffca,bit_manipulation,v412_bit_lut_k123,abstain,,01000000,01011000,False,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [28], ""consistent_counts"": [45], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 10}"
