id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,already_known_v414,status,reason,proof
e518256e,84,84,True,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
09d5ee68,!?'!,|:>>,False,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
00457d26,@&,\boxed[[!'},False,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
518deb39,$,{}>{,False,->,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::seen_shift:4:1,seen_shift:3:5""], ""top_score"": [0, 0, 6, 0]}"
82109e34,-@>,'^^^',False,+??,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::seen_shift:2:2,seen_shift:1:2,seen_shift:3:2""], ""top_score"": [0, 0, 6, 1]}"
5e67b1a1,63,63,True,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
e1728524,1089,0,False,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
e3bf0c2c,"""`",@`',False,,False,False,abstain,no_alphabet_shift_program,"{""reason"": ""no_alphabet_shift_program"", ""status"": ""abstain""}"
fdbdf50c,"-\""",|?|,False,,False,False,abstain,ambiguous_top_alphabet_shift,"{""reason"": ""ambiguous_top_alphabet_shift"", ""status"": ""abstain"", ""top_predictions"": [""^?"", ""^^"", ""^|""], ""top_programs"": [""same_operator_examples::seen_shift:2:3,seen_shift:0:-4"", ""same_operator_examples::seen_shift:2:3,sorted_shift:0:-4"", ""same_operator_examples::seen_shift:2:3,sorted_shift:3:4""]}"
47c1d8f5,]%],/`%`,False,]%,False,False,candidate,unique_alphabet_shift_program,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_alphabet_shift_program"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::sorted_shift:2:-5,seen_shift:0:5""], ""top_score"": [0, 0, 10, 1]}"
