id,answer,baseline_prediction,query,example_count,status,rule_class,prediction,candidate_correct,incorrect_by_weak_label,verified_by_weak_label,promotable_after_class_gate,proof
09d5ee68,!?'!,|:>>,|:*>>,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=1; unique_prediction_count=0
00457d26,@&,\boxed[[!'},[[-!',4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
518deb39,$,{}>{,$$-<>,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
82109e34,-@>,'^^^','^-^^,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
e3bf0c2c,"""`",@`',@`}'',5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
fdbdf50c,"-\""",|?|,|\-?|,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
47c1d8f5,]%],/`%`,/`#%`,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
f9a33aa1,/((`,@($/,@(\$/,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
f9799a68,&:/?,:^?\,:^*?\,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
c24074a8,&/,]]]%,]]`]%,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
893ffb06,-@',@``:,@`-`:,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=3; unique_prediction_count=0
cf4c04c0,-[,@|#|,@|-#|,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
8e411cc7,]]],$&&,$&!&},4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
a98d4d53,-),!$$[,!$-$[,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=3; unique_prediction_count=0
59733f94,/,$/>/,$/->/,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
9dae880f,))[,:<`\,:<}`\,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
ae6be599,#`,$?]$,$?+]$,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=9; unique_prediction_count=0
8494aad3,"""`#&","])<""","])*<""",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
e3890bf7,{@%],(^@{,(^*{@,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
d29e19a4,?|,|''>,|'$>',4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
