id,family,query,query_op,answer,baseline_prediction,baseline_correct,candidate_class,status,prediction,candidate_rule_count,unique_prediction_count,candidate_rules,proof,candidate_correct,gain,loss
e518256e,equation_transform,"94""10","""",84,84,True,same_operator_unique_numeric_dsl,abstain,,14,1,abs_diff|revop=0|revres=0;abs_diff|revop=1|revres=1;digit_absdiff_concat|revop=0|revres=0;digit_absdiff_concat|revop=1|revres=1;digit_sub_ab_mod10_concat|revop=0|revres=0;digit_sub_ab_mod10_concat|revop=1|revres=1;rev_abs_diff|revop=0|revres=1;rev_abs_diff|revop=1|revres=0;rev_sub_ab|revop=0|revres=1;rev_sub_ab|revop=1|revres=0;sub_ab|revop=0|revres=0;sub_ab|revop=1|revres=1;tens_absdiff_ones_absdiff_int|revop=0|revres=0;tens_absdiff_ones_absdiff_int|revop=1|revres=1,unique_prediction_count=1; candidate_rules=14,False,False,False
e518256e,equation_transform,"94""10","""",84,84,True,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
e518256e,equation_transform,"94""10","""",84,84,True,conventional_operator_prior_unique,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
5e67b1a1,equation_transform,32{31,{,63,63,True,same_operator_unique_numeric_dsl,candidate,63,3,1,add|revop=1|revres=1;rev_add|revop=0|revres=1;tens_add_ones_add|revop=1|revres=1,unique_prediction=63; candidate_rules=3,True,False,False
5e67b1a1,equation_transform,32{31,{,63,63,True,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
5e67b1a1,equation_transform,32{31,{,63,63,True,conventional_operator_prior_unique,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
e1728524,equation_transform,99/99,/,1089,0,False,same_operator_unique_numeric_dsl,abstain,,0,0,,query_op='/' absent from examples,False,False,False
e1728524,equation_transform,99/99,/,1089,0,False,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
e1728524,equation_transform,99/99,/,1089,0,False,conventional_operator_prior_unique,abstain,,16,2,abs_diff|revop=0|revres=0;abs_diff|revop=0|revres=1;abs_diff|revop=1|revres=0;abs_diff|revop=1|revres=1;digit_absdiff_concat|revop=0|revres=0;digit_absdiff_concat|revop=0|revres=1;digit_absdiff_concat|revop=1|revres=0;digit_absdiff_concat|revop=1|revres=1;rev_abs_diff|revop=0|revres=0;rev_abs_diff|revop=0|revres=1;rev_abs_diff|revop=1|revres=0;rev_abs_diff|revop=1|revres=1;tens_absdiff_ones_absdiff_int|revop=0|revres=0;tens_absdiff_ones_absdiff_int|revop=0|revres=1;tens_absdiff_ones_absdiff_int|revop=1|revres=0;tens_absdiff_ones_absdiff_int|revop=1|revres=1,unique_prediction_count=2; candidate_rules=16,False,False,False
9f2fae58,equation_transform,88$13,$,7272,7272,True,same_operator_unique_numeric_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
9f2fae58,equation_transform,88$13,$,7272,7272,True,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
9f2fae58,equation_transform,88$13,$,7272,7272,True,conventional_operator_prior_unique,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
41e6cbfc,equation_transform,18+93,+,9318,9318,True,same_operator_unique_numeric_dsl,candidate,9318,1,1,concat_ab|revop=1|revres=1,unique_prediction=9318; candidate_rules=1,True,False,False
41e6cbfc,equation_transform,18+93,+,9318,9318,True,all_numeric_examples_unique_dsl,candidate,9318,1,1,concat_ab|revop=1|revres=1,unique_prediction=9318; candidate_rules=1,True,False,False
41e6cbfc,equation_transform,18+93,+,9318,9318,True,conventional_operator_prior_unique,abstain,,12,3,add|revop=0|revres=0;add|revop=0|revres=1;add|revop=1|revres=0;add|revop=1|revres=1;rev_add|revop=0|revres=0;rev_add|revop=0|revres=1;rev_add|revop=1|revres=0;rev_add|revop=1|revres=1;tens_add_ones_add|revop=0|revres=0;tens_add_ones_add|revop=0|revres=1;tens_add_ones_add|revop=1|revres=0;tens_add_ones_add|revop=1|revres=1,unique_prediction_count=3; candidate_rules=12,False,False,False
48c25e0e,equation_transform,43&11,&,53,32,False,same_operator_unique_numeric_dsl,abstain,,0,0,,query_op='&' absent from examples,False,False,False
48c25e0e,equation_transform,43&11,&,53,32,False,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
48c25e0e,equation_transform,43&11,&,53,32,False,conventional_operator_prior_unique,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
7ef4d5d6,equation_transform,66>24,>,>42,>42,True,same_operator_unique_numeric_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
7ef4d5d6,equation_transform,66>24,>,>42,>42,True,all_numeric_examples_unique_dsl,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
7ef4d5d6,equation_transform,66>24,>,>42,>42,True,conventional_operator_prior_unique,abstain,,0,0,,unique_prediction_count=0; candidate_rules=0,False,False,False
