id,raw_output,finish_reason,completion_tokens
full_bit_000,"</think>
\boxed{100000}",stop,8
full_bit_001,"</think>
\boxed{100001}",stop,8
full_bit_002,"</think>
\boxed{100002}",stop,8
full_bit_003,"</think>
\boxed{100003}",stop,8
full_bit_004,"</think>
\boxed{100004}",stop,8
full_bit_005,"</think>
\boxed{100005}",stop,8
full_bit_006,"</think>
\boxed{100006}",stop,8
full_bit_007,"</think>
\boxed{100007}",stop,8
full_bit_008,"</think>
\boxed{100008}",stop,8
full_bit_009,"</think>
\boxed{100009}",stop,8
full_bit_010,"</think>
\boxed{100010}",stop,8
full_bit_011,"</think>
\boxed{100011}",stop,8
full_bit_012,"</think>
\boxed{100012}",stop,8
full_bit_013,"</think>
\boxed{100013}",stop,8
full_bit_014,"</think>
\boxed{100014}",stop,8
full_bit_015,"</think>
\boxed{100015}",stop,8
full_bit_016,"</think>
\boxed{100016}",stop,8
full_bit_017,"</think>
\boxed{100017}",stop,8
full_bit_018,"</think>
\boxed{100018}",stop,8
full_bit_019,"</think>
\boxed{100019}",stop,8
full_bit_020,"</think>
\boxed{100020}",stop,8
full_bit_021,"</think>
\boxed{100021}",stop,8
full_bit_022,"</think>
\boxed{100022}",stop,8
full_bit_023,"</think>
\boxed{100023}",stop,8
full_bit_024,"</think>
\boxed{100024}",stop,8
full_bit_025,"</think>
\boxed{100025}",stop,8
full_bit_026,"</think>
\boxed{100026}",stop,8
full_bit_027,"</think>
\boxed{100027}",stop,8
full_bit_028,"</think>
\boxed{100028}",stop,8
full_bit_029,"</think>
\boxed{100029}",stop,8
full_bit_030,"</think>
\boxed{100030}",stop,8
full_bit_031,"</think>
\boxed{100031}",stop,8
full_bit_032,"</think>
\boxed{100032}",stop,8
full_bit_033,"</think>
\boxed{100033}",stop,8
full_bit_034,"</think>
\boxed{100034}",stop,8
full_bit_035,"</think>
\boxed{100035}",stop,8
full_bit_036,"</think>
\boxed{100036}",stop,8
full_bit_037,"</think>
\boxed{100037}",stop,8
full_bit_038,"</think>
\boxed{100038}",stop,8
full_bit_039,"</think>
\boxed{100039}",stop,8
full_bit_040,"</think>
\boxed{100040}",stop,8
full_bit_041,"</think>
\boxed{100041}",stop,8
full_bit_042,"</think>
\boxed{100042}",stop,8
full_bit_043,"</think>
\boxed{100043}",stop,8
full_bit_044,"</think>
\boxed{100044}",stop,8
full_bit_045,"</think>
\boxed{100045}",stop,8
full_bit_046,"</think>
\boxed{100046}",stop,8
full_bit_047,"</think>
\boxed{100047}",stop,8
full_bit_048,"</think>
\boxed{100048}",stop,8
full_bit_049,"</think>
\boxed{100049}",stop,8
full_bit_050,"</think>
\boxed{100050}",stop,8
full_bit_051,"</think>
\boxed{100051}",stop,8
full_bit_052,"</think>
\boxed{100052}",stop,8
full_bit_053,"</think>
\boxed{100053}",stop,8
full_bit_054,"</think>
\boxed{100054}",stop,8
full_bit_055,"</think>
\boxed{100055}",stop,8
full_bit_056,"</think>
\boxed{100056}",stop,8
full_bit_057,"</think>
\boxed{100057}",stop,8
full_bit_058,"</think>
\boxed{100058}",stop,8
full_bit_059,"</think>
\boxed{100059}",stop,8
full_bit_060,"</think>
\boxed{100060}",stop,8
full_bit_061,"</think>
\boxed{100061}",stop,8
full_bit_062,"</think>
\boxed{100062}",stop,8
full_bit_063,"</think>
\boxed{100063}",stop,8
full_bit_064,"</think>
\boxed{100064}",stop,8
full_bit_065,"</think>
\boxed{100065}",stop,8
full_bit_066,"</think>
\boxed{100066}",stop,8
full_bit_067,"</think>
\boxed{100067}",stop,8
full_bit_068,"</think>
\boxed{100068}",stop,8
full_bit_069,"</think>
\boxed{100069}",stop,8
full_bit_070,"</think>
\boxed{100070}",stop,8
full_bit_071,"</think>
\boxed{100071}",stop,8
full_bit_072,"</think>
\boxed{100072}",stop,8
full_bit_073,"</think>
\boxed{100073}",stop,8
full_bit_074,"</think>
\boxed{100074}",stop,8
full_bit_075,"</think>
\boxed{100075}",stop,8
full_bit_076,"</think>
\boxed{100076}",stop,8
full_bit_077,"</think>
\boxed{100077}",stop,8
full_bit_078,"</think>
\boxed{100078}",stop,8
full_bit_079,"</think>
\boxed{100079}",stop,8
full_bit_080,"</think>
\boxed{100080}",stop,8
full_bit_081,"</think>
\boxed{100081}",stop,8
full_bit_082,"</think>
\boxed{100082}",stop,8
full_bit_083,"</think>
\boxed{100083}",stop,8
full_bit_084,"</think>
\boxed{100084}",stop,8
full_bit_085,"</think>
\boxed{100085}",stop,8
full_bit_086,"</think>
\boxed{100086}",stop,8
full_bit_087,"</think>
\boxed{100087}",stop,8
full_bit_088,"</think>
\boxed{100088}",stop,8
full_bit_089,"</think>
\boxed{100089}",stop,8
full_bit_090,"</think>
\boxed{100090}",stop,8
full_bit_091,"</think>
\boxed{100091}",stop,8
full_bit_092,"</think>
\boxed{100092}",stop,8
full_bit_093,"</think>
\boxed{100093}",stop,8
full_bit_094,"</think>
\boxed{100094}",stop,8
full_bit_095,"</think>
\boxed{100095}",stop,8
