name,size,compressed_size,sha256
nemotron-reasoning-challenge/,0,0,
nemotron-reasoning-challenge/.cache/,0,0,
nemotron-reasoning-challenge/.cache/huggingface/,0,0,
nemotron-reasoning-challenge/.cache/huggingface/CACHEDIR.TAG,191,146,f6572428f6d5e1575e73a1502895a8731f10757dfbb634909c6e154b849af91d
nemotron-reasoning-challenge/.cache/huggingface/download/,0,0,
nemotron-reasoning-challenge/.cache/huggingface/download/README.md.metadata,101,74,472043af83fd4297504aaa4d420afd90170c682efbf5bbf428d8ef9ca9b7475d
nemotron-reasoning-challenge/.cache/huggingface/.gitignore,1,1,684888c0ebb17f374298b65ee2807526c066094c701bcc7ebbe1c1095f494fc1
nemotron-reasoning-challenge/README.md,4347,1855,ccedc438981d8aa5a1b1b659f7c8d6bd58af6eda4329838c32dd4b132436a3e1
nemotron-reasoning-challenge/sft_reconstructed.jsonl,54328626,11178538,e385421e85881a406144e2e1166961ef21b0b9063077c908f41e626e01681609
nemotron-reasoning-challenge/sft_train_reconstructed.jsonl,96207995,20555095,1434811d65cbf68fd17d391cb2fce77426183666f59d7cf6ca4fddf8b4fe5a91
nemotron-reasoning-challenge/problems.jsonl,931581,114237,5b536b97b402fab985312003983bf4c59a928eb08dbb2705ca77d1030d4cf24e
nemotron-reasoning-challenge/corpus.jsonl,42571300,8247339,7ac9e8e267397f1dbcce8d015c253460fec543cab20a078fcf64a53c6000de23
nemotron-reasoning-challenge/generation.jsonl,4765148,543550,42eb76d13bd81ea3ce6b55120a3e2a23782c18563e05dd4ac9eea59d631b9fbc
nemotron-reasoning-challenge/competition_train.csv,3069304,633677,d204af160633b638448723a437aa51c0db70fd0b64ff92f6ad6f52e5ac6377fa
nemotron-reasoning-challenge/competition_test.csv,1461,614,c59d7eb0464b0a872a0c3f81e60cd6643fc1932a2dedaa05972bfd02cc638589
nemotron-reasoning-challenge/DATASET_REPORT.md,5551,2425,6b16e14312a965b918cf04748c6428a73e50d8429dfe70e6652e9ff806234c14
