path,class,prediction_column,total,equation_transform,bit_manipulation,truncated,protected_8740ed31_prediction,protected_8740ed31_correct
artifacts\v380_solver_results_patch_gate\20260514T_cpu_gate\v380_reexecuted_teacher_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,222,63,159,0,01101000,True
artifacts\v366_bit_fullbyte_ternary_op_gate\20260514T_cpu_gate\v366_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,222,63,159,0,01101000,True
artifacts\v365_bit_residual_boolean_grammar_gate\20260514T_cpu_gate\v365_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,214,63,151,0,01101000,True
artifacts\v357_bit_global_ternary_gate\20260514T_cpu_gate\v357_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,214,63,151,0,01101000,True
artifacts\v301_bit_postprocessor_gate\20260512T1130Z\v301_bit_postprocessed_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,207,60,147,0,01101000,True
artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,206,60,146,1,01101000,True
artifacts\v364_symbolic_pair_table_gate\20260514T_cpu_gate\v364_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,201,63,138,0,01101000,True
artifacts\v363_equation_residual_operator_support\20260514T_cpu_gate\v363_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,201,63,138,0,01101000,True
artifacts\v355_cpu_residual_gate\20260514T_cpu_gate\v355_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,201,63,138,0,01101000,True
artifacts\v350_cpu_residual_no_loss_gate\20260514T_v350_cpu_gate\v350_integrated_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,201,63,138,0,01101000,True
artifacts\v374_cpu_residual_gate\20260514T_v374_cpu_gate\bit_v333_tong_on_v366\v374_tong_bit_on_v366_tong_bit_replace_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,199,63,136,0,01101000,True
artifacts\v343_equation_residual_solver_audit\20260513T_integrated_on_v290_v3\v336a_integrated_no_loss_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,199,63,136,0,01101000,True
artifacts\v336_integrated_no_loss_solver_gate\20260513T_cpu_gate\v336a_integrated_no_loss_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,197,61,136,0,01111000,False
artifacts\hf_cpu_runs\v274_numeric_operator_override_audit_20260511T1115Z\v274_numeric_override_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,196,60,136,0,01111000,False
artifacts\hf_cpu_runs\v275_deployable_postprocessor_gate_20260511T1210Z\v275_postprocessed_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,196,60,136,0,01111000,False
artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,adapter_baseline_stored_overcount_label_free_is_v516_191,prediction,192,56,136,0,01101000,True
artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,192,56,136,0,01101000,True
artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,192,56,136,0,01111000,False
artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,192,56,136,0,01101000,True
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,adapter_eval_candidate,prediction,191,56,135,0,01111000,False
artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv,adapter_eval_candidate,prediction,191,56,135,0,01111000,False
artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,adapter_eval_candidate,prediction,191,56,135,0,01111000,False
artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,reference_solver_or_postprocessor_not_submit_adapter,prediction,191,56,135,0,01111000,False
artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,unknown,prediction,191,56,135,1,01111000,False
artifacts\v293_gap_mining\inputs\v291_full_raw_predictions.csv,unknown,prediction,191,56,135,0,01111000,False
artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,adapter_eval_candidate,prediction,190,56,134,1,01111000,False
