id,family,correct,completion_tokens,raw_chars,exact_boxed_only,starts_boxed,contains_boxed,contains_deduce_trace,contains_output_bit_columns,contains_matching_output,contains_final_answer_phrase
e518256e,equation_transform,True,5620,10380,False,False,True,False,False,False,False
09d5ee68,equation_transform,False,615,1299,False,False,True,False,False,False,False
7e5b8c12,bit_manipulation,True,6316,8119,False,False,True,True,True,True,False
00457d26,equation_transform,False,589,1276,False,False,False,False,False,False,False
518deb39,equation_transform,False,592,1280,False,False,True,False,False,False,False
78616706,bit_manipulation,True,6535,8521,False,False,True,True,True,True,False
82109e34,equation_transform,False,600,1286,False,False,True,False,False,False,False
5e67b1a1,equation_transform,True,5854,10568,False,False,True,False,False,False,False
c7077b21,bit_manipulation,True,6898,8920,False,False,True,True,True,True,False
fb5a7b9e,bit_manipulation,True,7012,8976,False,False,True,True,True,True,False
e1728524,equation_transform,False,6208,11305,False,False,True,False,False,False,False
839e7350,bit_manipulation,True,6817,9011,False,False,True,True,True,True,False
a365e304,bit_manipulation,True,5989,7803,False,False,True,True,True,True,False
e3bf0c2c,equation_transform,False,691,1484,False,False,True,False,False,False,False
fdbdf50c,equation_transform,False,692,1483,False,False,True,False,False,False,False
f3971b9a,bit_manipulation,True,7063,9034,False,False,True,True,True,True,False
ab71eaa0,bit_manipulation,True,6429,8619,False,False,True,True,True,True,False
47c1d8f5,equation_transform,False,593,1276,False,False,True,False,False,False,False
bfee75d5,bit_manipulation,True,7092,8935,False,False,True,True,True,True,False
f9a33aa1,equation_transform,False,611,1296,False,False,True,False,False,False,False
1abaffca,bit_manipulation,False,6139,8411,False,False,True,True,True,True,False
9f2fae58,equation_transform,True,5891,10550,False,False,True,False,False,False,False
f9799a68,equation_transform,False,620,1325,False,False,True,False,False,False,False
c24074a8,equation_transform,False,711,1502,False,False,True,False,False,False,False
bc7618a7,bit_manipulation,True,6039,7964,False,False,True,True,True,True,False
893ffb06,equation_transform,False,613,1299,False,False,True,False,False,False,False
cf4c04c0,equation_transform,False,705,1496,False,False,True,False,False,False,False
8e411cc7,equation_transform,False,588,1274,False,False,True,False,False,False,False
892d73b5,bit_manipulation,True,6715,8534,False,False,True,True,True,True,False
41e6cbfc,equation_transform,True,6041,10779,False,False,True,False,False,False,False
dea42835,equation_transform,True,701,1489,False,False,True,False,False,False,False
48c25e0e,equation_transform,False,5821,10696,False,False,True,False,False,False,False
e6d2a064,bit_manipulation,False,6498,8760,False,False,True,True,True,True,False
a1d2bb0c,bit_manipulation,True,6368,8441,False,False,True,True,True,True,False
4e4fb429,bit_manipulation,True,6512,8426,False,False,True,True,True,True,False
7ef4d5d6,equation_transform,True,5916,10724,False,False,True,False,False,False,False
3ee36e0a,equation_transform,True,5594,10423,False,False,True,False,False,False,False
39c237c7,equation_transform,True,488,1026,False,False,True,False,False,False,False
963e85bb,equation_transform,True,5507,10025,False,False,True,False,False,False,False
a98d4d53,equation_transform,False,496,1075,False,False,True,False,False,False,False
0e70c867,bit_manipulation,False,6382,8576,False,False,True,True,True,True,False
59733f94,equation_transform,False,714,1504,False,False,True,False,False,False,False
b1bc3731,equation_transform,True,5743,10541,False,False,True,False,False,False,False
54b895c1,bit_manipulation,True,6596,8825,False,False,True,True,True,True,False
ed24e7af,bit_manipulation,True,7113,9114,False,False,True,True,True,True,False
3cd80c64,bit_manipulation,True,6260,8186,False,False,True,True,True,True,False
a1523a63,equation_transform,True,5599,10238,False,False,True,False,False,False,False
f2b23d11,bit_manipulation,True,6214,8032,False,False,True,True,True,True,False
5cbe919f,bit_manipulation,True,6267,8103,False,False,True,True,True,True,False
3383d4ec,equation_transform,True,5540,10263,False,False,True,False,False,False,False
9dae880f,equation_transform,False,704,1496,False,False,True,False,False,False,False
b43d9cd5,bit_manipulation,True,6337,8176,False,False,True,True,True,True,False
64890e18,bit_manipulation,True,6458,8417,False,False,True,True,True,True,False
d6187157,bit_manipulation,True,6386,8532,False,False,True,True,True,True,False
de91def4,bit_manipulation,True,6389,8535,False,False,True,True,True,True,False
2af7134e,equation_transform,True,6184,11012,False,False,True,False,False,False,False
ae6be599,equation_transform,False,497,1075,False,False,True,False,False,False,False
b26d8818,equation_transform,True,5895,10548,False,False,True,False,False,False,False
8494aad3,equation_transform,False,617,1302,False,False,True,False,False,False,False
8df3daad,equation_transform,True,5793,10651,False,False,True,False,False,False,False
791056ce,equation_transform,True,5594,10300,False,False,True,False,False,False,False
29e458d6,bit_manipulation,True,6779,8866,False,False,True,True,True,True,False
3c12aeb9,equation_transform,True,6022,10717,False,False,True,False,False,False,False
69aa57b3,equation_transform,True,5633,10331,False,False,True,False,False,False,False
e3890bf7,equation_transform,False,494,1071,False,False,True,False,False,False,False
d204b9cc,equation_transform,True,5570,10158,False,False,True,False,False,False,False
7a79ac09,bit_manipulation,True,6803,8706,False,False,True,True,True,True,False
d29e19a4,equation_transform,False,602,1284,False,False,True,False,False,False,False
b06625c4,equation_transform,False,590,1277,False,False,True,False,False,False,False
84030b0b,equation_transform,True,6397,11410,False,False,True,False,False,False,False
3a67aa26,bit_manipulation,True,7325,9432,False,False,True,True,True,True,False
710cf035,bit_manipulation,True,6887,8783,False,False,True,True,True,True,False
