id,family,answer,baseline_prediction,postprocessed_prediction,postprocessor_applied,postprocessor_rule,postprocessor_proof,baseline_correct,postprocessed_correct,gain,loss,truncated
e518256e,equation_transform,84,84,84,False,operator_not_guarded,"query_op='""'",True,True,False,False,False
09d5ee68,equation_transform,!?'!,|:>>,|:>>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b39c8082,text_encryption,princess reads treasure,princess reads treasure,princess reads treasure,False,not_attempted,non-equation row,True,True,False,False,False
4a085720,unit_conversion,40.13,40.11,40.11,False,not_attempted,non-equation row,True,True,False,False,False
a4df85b7,text_encryption,dragon imagines the colorful crystal,dragon imagines the colorful crystal,dragon imagines the colorful crystal,False,not_attempted,non-equation row,True,True,False,False,False
d70beb33,text_encryption,princess imagines door,princess imagines door,princess imagines door,False,not_attempted,non-equation row,True,True,False,False,False
b9a748ac,text_encryption,the strange knight follows,the strange knight follows,the strange knight follows,False,not_attempted,non-equation row,True,True,False,False,False
70c29179,numeral_system,LXXXIII,LXXXIII,LXXXIII,False,not_attempted,non-equation row,True,True,False,False,False
7e5b8c12,bit_manipulation,10110000,10110000,10110000,False,not_attempted,non-equation row,True,True,False,False,False
a261169e,text_encryption,student imagines the silver message,student imagines the silver message,student imagines the silver message,False,not_attempted,non-equation row,True,True,False,False,False
a027a729,unit_conversion,7.31,7.31,7.31,False,not_attempted,non-equation row,True,True,False,False,False
00457d26,equation_transform,@&,[[!',[[!',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
9f657a70,numeral_system,XI,XI,XI,False,not_attempted,non-equation row,True,True,False,False,False
518deb39,equation_transform,$,{}$>,{}$>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
78616706,bit_manipulation,00000111,00000111,00000111,False,not_attempted,non-equation row,True,True,False,False,False
82109e34,equation_transform,-@>,'^^^','^^^',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d4d4a2c2,gravity_constant,185.8,185.81,185.81,False,not_attempted,non-equation row,True,True,False,False,False
5e67b1a1,equation_transform,63,63,63,False,operator_not_guarded,query_op='{',True,True,False,False,False
c7077b21,bit_manipulation,00010110,00010110,00010110,False,not_attempted,non-equation row,True,True,False,False,False
fb5a7b9e,bit_manipulation,11111010,11111010,11111010,False,not_attempted,non-equation row,True,True,False,False,False
26fe52a0,text_encryption,alice chases the curious castle,alice chases the curious castle,alice chases the curious castle,False,not_attempted,non-equation row,True,True,False,False,False
4a30dd44,text_encryption,rabbit chases puzzle,rabbit chases puzzle,rabbit chases puzzle,False,not_attempted,non-equation row,True,True,False,False,False
e1728524,equation_transform,1089,0,0,False,query_operator_unseen,query_op='/' not present in examples,False,False,False,False,False
839e7350,bit_manipulation,00111011,00111011,00111011,False,not_attempted,non-equation row,True,True,False,False,False
ed56c862,text_encryption,alice watches key,alice watches key,alice watches key,False,not_attempted,non-equation row,True,True,False,False,False
a365e304,bit_manipulation,11011011,11011011,11011011,False,not_attempted,non-equation row,True,True,False,False,False
a6672f83,text_encryption,turtle watches the golden potion,turtle watches the golden potion,turtle watches the golden potion,False,not_attempted,non-equation row,True,True,False,False,False
5765a947,numeral_system,XXXIV,XXXIV,XXXIV,False,not_attempted,non-equation row,True,True,False,False,False
04b818d2,unit_conversion,41.70,41.70,41.70,False,not_attempted,non-equation row,True,True,False,False,False
e3bf0c2c,equation_transform,"""`",@`',@`',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
2c3368cf,text_encryption,cat explores door,cat explores door,cat explores door,False,not_attempted,non-equation row,True,True,False,False,False
f1106935,text_encryption,mouse sees near school,mouse sees near school,mouse sees near school,False,not_attempted,non-equation row,True,True,False,False,False
df8b803c,numeral_system,XLV,XLV,XLV,False,not_attempted,non-equation row,True,True,False,False,False
01714be2,gravity_constant,140.44,140.47,140.47,False,not_attempted,non-equation row,True,True,False,False,False
ee07fd5c,numeral_system,XV,XV,XV,False,not_attempted,non-equation row,True,True,False,False,False
c2ebca34,gravity_constant,32.81,32.81,32.81,False,not_attempted,non-equation row,True,True,False,False,False
fdbdf50c,equation_transform,"-\""",|?|,|?|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
f3971b9a,bit_manipulation,00011001,00011001,00011001,False,not_attempted,non-equation row,True,True,False,False,False
9c62e8ed,unit_conversion,46.81,46.80,46.80,False,not_attempted,non-equation row,True,True,False,False,False
ab71eaa0,bit_manipulation,00010010,00010010,00010010,False,not_attempted,non-equation row,True,True,False,False,False
b1686291,gravity_constant,63.64,63.64,63.64,False,not_attempted,non-equation row,True,True,False,False,False
e75d6620,unit_conversion,27.89,27.88,27.88,False,not_attempted,non-equation row,True,True,False,False,False
47c1d8f5,equation_transform,]%],/`%`,/`%`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
54589e31,numeral_system,XIX,XIX,XIX,False,not_attempted,non-equation row,True,True,False,False,False
9bddd8d4,gravity_constant,36.01,36.01,36.01,False,not_attempted,non-equation row,True,True,False,False,False
f6a05295,gravity_constant,25.69,25.69,25.69,False,not_attempted,non-equation row,True,True,False,False,False
bf786304,gravity_constant,145.82,145.83,145.83,False,not_attempted,non-equation row,True,True,False,False,False
bfee75d5,bit_manipulation,01000010,01000010,01000010,False,not_attempted,non-equation row,True,True,False,False,False
f9a33aa1,equation_transform,/((`,@($/,@($/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
1abaffca,bit_manipulation,01000000,01011000,01011000,False,not_attempted,non-equation row,False,False,False,False,False
de98159a,unit_conversion,38.22,38.23,38.23,False,not_attempted,non-equation row,True,True,False,False,False
9f2fae58,equation_transform,7272,7272,7272,False,operator_not_guarded,query_op='$',True,True,False,False,False
f9799a68,equation_transform,&:/?,:^?\,:^?\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5f0da536,text_encryption,the colorful king reads,the colorful king reads,the colorful king reads,False,not_attempted,non-equation row,True,True,False,False,False
07735828,unit_conversion,4.65,4.66,4.66,False,not_attempted,non-equation row,True,True,False,False,False
b6127826,numeral_system,XXII,XXII,XXII,False,not_attempted,non-equation row,True,True,False,False,False
1af4f53a,numeral_system,XXXII,XXXII,XXXII,False,not_attempted,non-equation row,True,True,False,False,False
c24074a8,equation_transform,&/,]]]%,]]]%,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
ea34e037,numeral_system,XXIII,XXIII,XXIII,False,not_attempted,non-equation row,True,True,False,False,False
bc7618a7,bit_manipulation,00001100,00001100,00001100,False,not_attempted,non-equation row,True,True,False,False,False
65470a41,unit_conversion,20.45,20.45,20.45,False,not_attempted,non-equation row,True,True,False,False,False
893ffb06,equation_transform,-@',@``:,@``:,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
af652c7d,numeral_system,LXXIX,LXXIX,LXXIX,False,not_attempted,non-equation row,True,True,False,False,False
cf4c04c0,equation_transform,-[,@|#|,@|#|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8e411cc7,equation_transform,]]],$&&,$&&,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
e2bd1d40,numeral_system,XXIX,XXIX,XXIX,False,not_attempted,non-equation row,True,True,False,False,False
96291987,text_encryption,mouse explores in village,mouse explores in village,mouse explores in village,False,not_attempted,non-equation row,True,True,False,False,False
892d73b5,bit_manipulation,00010101,00010101,00010101,False,not_attempted,non-equation row,True,True,False,False,False
efdbb83a,text_encryption,dragon studies garden,dragon studies garden,dragon studies garden,False,not_attempted,non-equation row,True,True,False,False,False
df9609fd,numeral_system,XXIV,XXIV,XXIV,False,not_attempted,non-equation row,True,True,False,False,False
f7d53288,numeral_system,LXXXII,LXXXII,LXXXII,False,not_attempted,non-equation row,True,True,False,False,False
5434ef33,numeral_system,XCV,XCV,XCV,False,not_attempted,non-equation row,True,True,False,False,False
7207c649,unit_conversion,29.53,29.53,29.53,False,not_attempted,non-equation row,True,True,False,False,False
a12354e3,unit_conversion,2.63,2.63,2.63,False,not_attempted,non-equation row,True,True,False,False,False
5ad55b3e,text_encryption,cat writes the wise secret,cat writes the wise secret,cat writes the wise secret,False,not_attempted,non-equation row,True,True,False,False,False
41e6cbfc,equation_transform,9318,9318,9318,False,add_no_unique_direct_variant,direct_add=[]; baseline=9318,True,True,False,False,False
c0648741,unit_conversion,10.02,10.03,10.03,False,not_attempted,non-equation row,True,True,False,False,False
dea42835,equation_transform,['[/,['[/,['[/,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
a6046287,numeral_system,LXXV,LXXV,LXXV,False,not_attempted,non-equation row,True,True,False,False,False
48c25e0e,equation_transform,53,32,32,False,query_operator_unseen,query_op='&' not present in examples,False,False,False,False,False
e6d2a064,bit_manipulation,11100011,11100010,11100010,False,not_attempted,non-equation row,False,False,False,False,False
c2a7b266,gravity_constant,151.11,151.1,151.1,False,not_attempted,non-equation row,True,True,False,False,False
a1d2bb0c,bit_manipulation,00100010,00100010,00100010,False,not_attempted,non-equation row,True,True,False,False,False
aa37b5db,gravity_constant,54.2,54.19,54.19,False,not_attempted,non-equation row,True,True,False,False,False
b977b320,text_encryption,bird draws the secret castle,bird draws the secret castle,bird draws the secret castle,False,not_attempted,non-equation row,True,True,False,False,False
0f26a837,unit_conversion,5.43,5.43,5.43,False,not_attempted,non-equation row,True,True,False,False,False
abfd833f,unit_conversion,57.14,57.12,57.12,False,not_attempted,non-equation row,True,True,False,False,False
186cccdf,gravity_constant,139.97,139.98,139.98,False,not_attempted,non-equation row,True,True,False,False,False
572053c7,gravity_constant,8.3,8.3,8.3,False,not_attempted,non-equation row,True,True,False,False,False
a8dbe0c6,gravity_constant,19.79,19.79,19.79,False,not_attempted,non-equation row,True,True,False,False,False
ad599007,unit_conversion,18.11,18.11,18.11,False,not_attempted,non-equation row,True,True,False,False,False
f06051ac,text_encryption,the magical bird writes,the magical bird writes,the magical bird writes,False,not_attempted,non-equation row,True,True,False,False,False
4e4fb429,bit_manipulation,10111110,10111110,10111110,False,not_attempted,non-equation row,True,True,False,False,False
70259bd0,text_encryption,turtle explores the bright crystal,turtle explores the bright crystal,turtle explores the bright crystal,False,not_attempted,non-equation row,True,True,False,False,False
7ef4d5d6,equation_transform,>42,>42,>42,False,operator_not_guarded,query_op='>',True,True,False,False,False
46284574,numeral_system,LXXV,LXXV,LXXV,False,not_attempted,non-equation row,True,True,False,False,False
e477385c,numeral_system,VII,VII,VII,False,not_attempted,non-equation row,True,True,False,False,False
8cba814f,gravity_constant,41.12,41.11,41.11,False,not_attempted,non-equation row,True,True,False,False,False
3416dfa4,numeral_system,XXIV,XXIV,XXIV,False,not_attempted,non-equation row,True,True,False,False,False
3ee36e0a,equation_transform,-51,-51,-51,False,minus_model_not_opposite_sign,candidate=-51; baseline=-51,True,True,False,False,False
0bc7de44,unit_conversion,31.24,31.24,31.24,False,not_attempted,non-equation row,True,True,False,False,False
bc60a72a,unit_conversion,37.86,37.88,37.88,False,not_attempted,non-equation row,True,True,False,False,False
39c237c7,equation_transform,{]``,{]``,{]``,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
b037cf33,gravity_constant,63.59,63.59,63.59,False,not_attempted,non-equation row,True,True,False,False,False
963e85bb,equation_transform,76,76,76,False,operator_not_guarded,query_op='$',True,True,False,False,False
556fddce,numeral_system,LVI,LVI,LVI,False,not_attempted,non-equation row,True,True,False,False,False
a98d4d53,equation_transform,-),!$$[,!$$[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
458b8092,unit_conversion,61.98,61.98,61.98,False,not_attempted,non-equation row,True,True,False,False,False
0e70c867,bit_manipulation,01000000,01001100,01001100,False,not_attempted,non-equation row,False,False,False,False,False
fd3920e2,text_encryption,hatter watches in island,hatter watches in island,hatter watches in island,False,not_attempted,non-equation row,True,True,False,False,False
b003a657,numeral_system,V,V,V,False,not_attempted,non-equation row,True,True,False,False,False
d7f56a8c,text_encryption,king found above castle,king found above castle,king found above castle,False,not_attempted,non-equation row,True,True,False,False,False
330dc435,numeral_system,XVIII,XVIII,XVIII,False,not_attempted,non-equation row,True,True,False,False,False
ad3558db,text_encryption,the ancient king writes,the ancient king writes,the ancient king writes,False,not_attempted,non-equation row,True,True,False,False,False
59733f94,equation_transform,/,$/>/,$/>/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b1bc3731,equation_transform,63,63,63,False,operator_not_guarded,"query_op='""'",True,True,False,False,False
faf4865b,numeral_system,LXVII,LXVII,LXVII,False,not_attempted,non-equation row,True,True,False,False,False
54b895c1,bit_manipulation,10111011,10111011,10111011,False,not_attempted,non-equation row,True,True,False,False,False
ed24e7af,bit_manipulation,00001001,00001001,00001001,False,not_attempted,non-equation row,True,True,False,False,False
40d98aca,text_encryption,rabbit found the strange secret,rabbit found the strange secret,rabbit found the strange secret,False,not_attempted,non-equation row,True,True,False,False,False
