topic_id,url,status,title,author,comment_count,weighted_score,keyword_groups_json,action_hits,actionable_notes,cache_source_path,error
689915,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/689915,cache,[Open Progress Prize Publication] SFT to maximize minimum logprob,huikang,53,1192,"{""bit"": 11, ""data"": 78, ""equation"": 40, ""solver_verifier"": 11, ""submission"": 98, ""training"": 183}",1602;85.1;cryptarithm;dataset;equation_numeric;github;huikang;solver;tong,bit_solver_algorithm_signal;dataset_source_signal;equation_numeric_operator_signal;equation_symbolic_cryptarithm_signal;high_priority_author_solution;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\689915.json,
688461,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/688461,cache,Answers To Everything Data: Read Me! 100% Solve Rate,donaldgalliano,50,1016,"{""bit"": 58, ""data"": 21, ""equation"": 58, ""solver_verifier"": 64, ""submission"": 21, ""training"": 29}",1602;dataset;solver,dataset_source_signal;equation_numeric_operator_signal;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\688461.json,
694556,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/694556,cache,,,15,583,"{""bit"": 5, ""data"": 10, ""equation"": 35, ""solver_verifier"": 40, ""submission"": 16, ""training"": 39}",cryptarithm;dataset;equation_numeric;huikang;solver;symbol_transform;tong,dataset_source_signal;equation_numeric_operator_signal;equation_symbolic_cryptarithm_signal;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\694556.json,
690307,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/690307,cache,,,12,533,"{""bit"": 48, ""data"": 7, ""equation"": 15, ""solver_verifier"": 3, ""submission"": 8, ""training"": 18}",1602;85.1;98.9;bitsum;cryptarithm;dataset;equation_numeric;huggingface;huikang;solver;stride;symbol_transform;tong,bit_solver_algorithm_signal;dataset_source_signal;equation_numeric_operator_signal;equation_symbolic_cryptarithm_signal;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\690307.json,
684192,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684192,cache,,,20,332,"{""bit"": 8, ""data"": 10, ""equation"": 41, ""solver_verifier"": 11, ""submission"": 1, ""training"": 4}",dataset,dataset_source_signal;equation_numeric_operator_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684192.json,
681820,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/681820,cache,Fix for “CUDA error: no kernel image is available for execution on the device” on RTX PRO 6000 Blackwell ,adarsh2626,33,319,"{""bit"": 1, ""data"": 68, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 43, ""training"": 35}",dataset;huggingface;stride,bit_solver_algorithm_signal;dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\681820.json,
681745,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/681745,cache,How to Get Started + Nemotron Model Reasoning Challenge Resources,jamilcsemaan,34,279,"{""bit"": 3, ""data"": 65, ""equation"": 4, ""solver_verifier"": 1, ""submission"": 17, ""training"": 21}",dataset;github;huggingface,dataset_source_signal;equation_numeric_operator_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\681745.json,
693260,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/693260,cache,90.7% Synthetic CoT Accuracy -> LB Drop: A Warning on Data Generation & Thanks to Donald,tahaalam2009,21,259,"{""bit"": 9, ""data"": 6, ""equation"": 1, ""solver_verifier"": 7, ""submission"": 10, ""training"": 33}",1602;98.9;cryptarithm;dataset;solver;tong,bit_solver_algorithm_signal;dataset_source_signal;equation_symbolic_cryptarithm_signal;solver_verifier_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\693260.json,
685886,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/685886,cache,,,4,252,"{""bit"": 38, ""data"": 3, ""equation"": 1, ""solver_verifier"": 5, ""submission"": 0, ""training"": 7}",dataset,dataset_source_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\685886.json,
683172,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683172,cache,,,14,246,"{""bit"": 0, ""data"": 60, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 14, ""training"": 24}",dataset;github;sft_train;tong,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\683172.json,
690756,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/690756,cache,,,2,214,"{""bit"": 18, ""data"": 1, ""equation"": 3, ""solver_verifier"": 8, ""submission"": 1, ""training"": 8}",bitsum;huikang;solver;stride;tong,bit_solver_algorithm_signal;rule_taxonomy_signal;solver_verifier_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\690756.json,
691380,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/691380,cache,,,5,204,"{""bit"": 3, ""data"": 4, ""equation"": 8, ""solver_verifier"": 9, ""submission"": 4, ""training"": 27}",dataset;solver,dataset_source_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\691380.json,
698293,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/698293,cache,,,4,196,"{""bit"": 0, ""data"": 5, ""equation"": 18, ""solver_verifier"": 10, ""submission"": 1, ""training"": 5}",dataset;github;solver;tong,dataset_source_signal;equation_numeric_operator_signal;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\698293.json,
694975,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/694975,cache,GRPO is must for this competition,murugesann,27,182,"{""bit"": 0, ""data"": 18, ""equation"": 0, ""solver_verifier"": 2, ""submission"": 19, ""training"": 33}",dataset;huikang,dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\694975.json,
690891,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/690891,cache,,,3,181,"{""bit"": 3, ""data"": 2, ""equation"": 12, ""solver_verifier"": 3, ""submission"": 2, ""training"": 6}",bitsum;cryptarithm;dataset;equation_numeric;huikang;solver;tong,bit_solver_algorithm_signal;dataset_source_signal;equation_numeric_operator_signal;equation_symbolic_cryptarithm_signal;solver_verifier_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\690891.json,
689792,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/689792,cache,,,17,173,"{""bit"": 3, ""data"": 9, ""equation"": 5, ""solver_verifier"": 3, ""submission"": 6, ""training"": 29}",dataset,dataset_source_signal;equation_numeric_operator_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\689792.json,
687961,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/687961,cache,,,10,168,"{""bit"": 0, ""data"": 10, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 2, ""training"": 34}",github;huggingface;huikang;tong,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\687961.json,
685920,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/685920,cache,Something wrong -- My notebook of 0.80+ now scores 0.77,jeannkouagou,26,159,"{""bit"": 0, ""data"": 14, ""equation"": 0, ""solver_verifier"": 5, ""submission"": 56, ""training"": 15}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\685920.json,
