cluster_key,rows,subtype,answer_len,query_len,query_symbols_seen_in_example_inputs,answer_chars_subset_query,answer_chars_subset_example_outputs,answer_is_subsequence_of_query,v324_candidate_rows,v324_incorrect_candidates,priority_rows
equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,9,equation_symbolic_punct,2,5,True,False,True,False,0,0,9
equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,8,equation_symbolic_punct,2,5,False,False,True,False,0,0,8
equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,7,equation_symbolic_punct,3,5,False,False,True,False,0,0,7
equation_numeric_operator|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,4,equation_numeric_operator,4,5,False,False,False,False,0,0,4
equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,4,equation_symbolic_punct,4,5,False,False,True,False,0,0,4
equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,4,equation_numeric_operator,3,5,False,False,False,False,1,1,4
equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,3,equation_symbolic_punct,4,5,True,False,True,False,0,0,3
equation_numeric_operator|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,3,equation_numeric_operator,3,5,True,False,False,False,3,3,3
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,2,equation_symbolic_punct,1,5,True,True,True,True,0,0,2
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,2,equation_symbolic_punct,1,5,True,False,True,False,0,0,2
equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,2,equation_symbolic_punct,3,5,True,False,True,False,0,0,2
equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,11,equation_symbolic_punct,4,5,False,False,False,False,3,3,1
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=0|ans_subseq_q=1,1,equation_symbolic_punct,1,5,True,True,False,True,0,0,1
equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,1,equation_numeric_operator,2,5,False,False,True,False,0,0,1
equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=1|ans_subset_out=1|ans_subseq_q=1,1,equation_numeric_operator,2,5,True,True,True,True,2,2,1
equation_numeric_operator|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,1,equation_numeric_operator,2,5,True,False,False,False,1,1,1
equation_numeric_operator|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,1,equation_numeric_operator,3,5,False,False,True,False,0,0,1
equation_symbolic_punct|alen=2|qlen=3|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,1,equation_symbolic_punct,2,3,True,False,True,False,0,0,1
equation_symbolic_punct|alen=1|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,1,equation_symbolic_punct,1,5,False,False,True,False,0,0,1
equation_numeric_operator|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,1,equation_numeric_operator,2,5,False,False,False,False,0,0,1
equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,11,equation_symbolic_punct,3,5,False,False,False,False,0,0,0
equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,8,equation_symbolic_punct,3,5,True,False,False,False,0,0,0
equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,6,equation_symbolic_punct,2,5,False,False,False,False,0,0,0
equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,4,equation_symbolic_punct,2,5,True,False,False,False,0,0,0
equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,2,equation_symbolic_punct,4,5,True,False,False,False,0,0,0
equation_symbolic_punct|alen=1|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,1,equation_symbolic_punct,1,5,True,False,False,False,0,0,0
