id,original_id,split,solver_category,query,answer,prompt_sha256
v381_synth_00457d26_00,00457d26,val,arithmetic,>&-!,',3f368285b6dd79a53be9df280dbc0de727948cf5ef04f53d5a6e24a7e5ca408c
v381_synth_00457d26_01,00457d26,train,arithmetic,`*`,'!,b895902f2afd73ff3e8d07154ef4e15dbe4300d4a274ad904f0c9dbe41cd11c5
v381_synth_00457d26_02,00457d26,train,arithmetic,{-&`,"""!",8401f04cba52e1ae66e9be40418139ae1e911b06dea8c77b90c90e1740a5416d
v381_synth_00457d26_03,00457d26,train,arithmetic,\*!,@{,60584e8f10fe23d40336c46d48a03267114881f3aea1cab68a2ef3fefa6288a0
v381_synth_00457d26_04,00457d26,train,arithmetic,"\-""",[,13036cfc15f142878480bb3837d6a28e2c91a9630cb464a94627a94edff962c5
v381_synth_00457d26_05,00457d26,train,arithmetic,&!*\,'`{,3e246c7a9455d59398b0bf3a5cad83ac7143efb7858d655e6dee482d600b908f
v381_synth_00457d26_06,00457d26,val,arithmetic,[*[,"@""",6fcf14a27402b174f33d1908352406051d1f759d88864cc881ba1fd5b6fd30c0
v381_synth_00457d26_07,00457d26,train,arithmetic,@'-!,!,d0391b470ec5cc78440826a8704ac64cef7818e91922ade49a86c19cbbc5bfe3
v381_synth_00457d26_08,00457d26,train,arithmetic,&{-\,&!,1dabdf1fc3bc2098622f2caf782868236c4c7d82da98e19a6160c2bdeb98f501
v381_synth_00457d26_09,00457d26,train,arithmetic,>*[,@,beb9a33c1c4fae560c5ded2d98d51f02e32b812044205f53cf666745424fdaa8
v381_synth_00457d26_10,00457d26,train,arithmetic,'*',`,aad8872b914a424613b5de82dfdc035c643652e3ac583506c2ec1a95559b4ab3
v381_synth_00457d26_11,00457d26,val,arithmetic,[-[,>,1a0cbe7a4b00c1ca06c7e6ab2d373b48a5058397d7b0ba9bba18140d86420b19
v381_synth_02902eb3_00,02902eb3,train,arithmetic,/*$,$,3c5525b1fa1c6f0dc6813d5990fadce7183f52616e4cfe70bf464e61cac392ea
v381_synth_02902eb3_01,02902eb3,train,arithmetic,%*),!%,ade033e14a321c0b733777390d31b677bb3089e4c398f5a02f62c071772a43b2
v381_synth_02902eb3_02,02902eb3,train,arithmetic,%+),/$,512bc8336b3e5a426b59ad2f17244de82cf1c67c8334375d89eb517ba617b937
v381_synth_02902eb3_03,02902eb3,train,arithmetic,/]-},/!,ffcc8091a4ea70fa1a538b460c864e97479b0360cd9129e43a001cf9a58d3bb0
v381_synth_02902eb3_04,02902eb3,train,arithmetic,>&*/,>&,2362a1c3ea981405a43277f6d1f6b29a0987d9872fd856172c05aa048db28347
v381_synth_02902eb3_05,02902eb3,train,arithmetic,/-},/,d001752b7c1f1b2b129305cc5dbeb87b01b6578656b5c8575947b06616ddbf74
v381_synth_02902eb3_06,02902eb3,train,arithmetic,&-/,],94945d58b2863ba2d41736f1e82d8a587a6c7a100376b49824b6e0e865e6db88
v381_synth_02902eb3_07,02902eb3,val,arithmetic,$-),],3380bf36a57fd597a7575a0885f6b1d4fa4fe761770a471c6c8eb709f4cbd417
v381_synth_02902eb3_08,02902eb3,val,arithmetic,}+>,),74e4b2c3d0c09af9965146fc896ba336afc08bd01adc95e50fc7b52ced345f32
v381_synth_02902eb3_09,02902eb3,val,arithmetic,]+],//,b02e0e69cd6afaf1ba99f4875d32d93060ea7b95389d96d0eb756d3214bc2271
v381_synth_02902eb3_10,02902eb3,train,arithmetic,/%*$,!%,dc320991b8f6014163f6fd235dc335dcccec6fa974085e16c28b9b9c95917700
v381_synth_02902eb3_11,02902eb3,train,arithmetic,/*],],c3428fb7cbf24f2189a55d40c3bef531bef57c133a40b62b0723d8cbca99864e
v381_synth_03a3437f_00,03a3437f,val,mixed_concat,>+`,>`,fd417d9edcf876dcf44d643c54bda4065e6fd903b85fb820477193de4cb6e18c
v381_synth_03a3437f_01,03a3437f,train,mixed_concat,!-:,:,e5ff74922ffc89b0c2d5ab9ea1cd80e58a529561aa89bddddefde65921288eb3
v381_synth_03a3437f_02,03a3437f,train,mixed_concat,'+:,':,87976388ccff4fa1f15eb936b881e40a9ff3e887fa220ad225110b55ab47a3eb
v381_synth_03a3437f_03,03a3437f,train,mixed_concat,:-!,-:,e47e4014244159d7212762562419ecdb18deb2ca4aaf712a21c0542f1dbd711b
v381_synth_03a3437f_04,03a3437f,train,mixed_concat,/+:,/:,aa23d153318dc0be8555de57d5fffd60684862b3ef27592435dce8e54841d351
v381_synth_03a3437f_05,03a3437f,train,mixed_concat,!+::,!::,6a9a2b36ad1e7194268ac9549b3738e37e3902a904b9b178a340696c9a07925a
v381_synth_03a3437f_06,03a3437f,train,mixed_concat,:'+!,:'!,02dd596fecb651eb2cdbcdfdd4b63d1cd6b0d80c0da40a7b58be83dc86b5d34d
v381_synth_03a3437f_07,03a3437f,train,mixed_concat,:-|,/,def3b677079169ee3049cc6d9354356550cfc9ca5d88e7f238d23d0ddbd91b03
v381_synth_03a3437f_08,03a3437f,val,mixed_concat,/+},/},68c061b2d925534bd831fd438ac60c95288dab894914f97caafd0f35cbc44f21
v381_synth_03a3437f_09,03a3437f,train,mixed_concat,|->,-`,b39e18f215a7448e6274629649e8c2f9b7b783d3aa422ef40b8177e6928aa34b
v381_synth_03a3437f_10,03a3437f,train,mixed_concat,`>+>,`>>,c8426f789ddb595fa0e09e76fc332d4793993b0a6715cc4c9a736ddb39217b3a
v381_synth_03a3437f_11,03a3437f,val,mixed_concat,!+',!',3c8efd4e1e4729d5f5e0825a39dffda74e85219306a504ff7c5bde762e297380
v381_synth_09d5ee68_00,09d5ee68,train,mixed_concat,':+?,':?,118da71e4b740232ae981c8f2119c67c716803f8c101479ebb9283655f3f72b1
v381_synth_09d5ee68_01,09d5ee68,train,mixed_concat,:-$,-!,4873ed07be4c9565c0087f7b5d1381b0e540c5005adf2b66bc6bd2422dab92e1
v381_synth_09d5ee68_02,09d5ee68,train,mixed_concat,>-$',-$|,2a0e5665f7af72ae2ecf749ff95beca94363ba62d24fdd53094cae1ef91e8cf5
v381_synth_09d5ee68_03,09d5ee68,train,mixed_concat,|->,-!,c091c427c31082a3f55ec76e1a7d382ba84f202329f9d952b69602ed97fba963
v381_synth_09d5ee68_04,09d5ee68,train,mixed_concat,>+?!,>?!,fe231075324f9bfde1bb2106ae4f6522c3b3ac2246cac41652e623f9a07f4ae6
v381_synth_09d5ee68_05,09d5ee68,train,mixed_concat,|-?,-|,31e591b56c68808d4cf1485351a41de9591bfc5040e4a18a7e8d0e85818e93c3
v381_synth_09d5ee68_06,09d5ee68,val,mixed_concat,>*!,|,ef0c93d81bb953ea942b6e22652dc56aa76be245ce3dc72d0f11be4346ab805c
v381_synth_09d5ee68_07,09d5ee68,train,mixed_concat,>-|,!,ca38f4f2b63a248097134afaf1f1f6f518b1c1a02e2b398cb9db2933eb79f90f
v381_synth_09d5ee68_08,09d5ee68,val,mixed_concat,&:+$,&:$,5f97929bf286469763e60078e48dd3dea19b9b7d61d6584a1acdbcc421eba3d1
