id,family,baseline_prediction,v414_prediction,answer,adapter_hit_count,adapter_hit_files
048cc279,bit_manipulation,01111000,01010000,01010000,0,
05ca617c,bit_manipulation,01011011,11011011,11011011,0,
06120e47,bit_manipulation,11111110,11110010,11110010,0,
0e70c867,bit_manipulation,01001100,01000000,01000000,0,
1a7c8520,bit_manipulation,01100110,01100000,01100000,0,
1abaffca,bit_manipulation,01011000,01000000,01000000,0,
202af98d,bit_manipulation,11111111,11111101,11111101,0,
3a7dd604,bit_manipulation,01001011,01001010,01001010,0,
3ace787f,bit_manipulation,11111111,11111011,11111011,0,
4ada9150,bit_manipulation,01111111,01111011,01111011,0,
4c327b55,bit_manipulation,11011110,11011100,11011100,0,
4ef88f92,bit_manipulation,01010011,01010111,01010111,2,artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv;artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\raw_predictions_pre_score.csv
55d834d1,bit_manipulation,10111111,00111111,00111111,0,
5ba26f21,bit_manipulation,01111110,01011100,01011100,0,
7192535b,bit_manipulation,00001010,00000010,00000010,0,
78d02fc5,bit_manipulation,11001011,11001001,11001001,0,
82ae858c,bit_manipulation,11111101,11001101,11001101,0,
a6192d29,bit_manipulation,01111110,00001000,00001000,0,
a6704625,bit_manipulation,00011111,00001101,00001101,0,
b8722d19,bit_manipulation,11110100,00100100,00100100,0,
b8aa3072,bit_manipulation,00000111,00000011,00000011,0,
e1f3ffbb,bit_manipulation,11111011,11111010,11111010,0,
e6d2a064,bit_manipulation,11100010,11100011,11100011,0,
274def88,equation_transform,-92,92,92,0,
528ec0d8,equation_transform,39,-39,-39,0,
7688e06e,equation_transform,55,-55,-55,0,
99d6a3b5,equation_transform,(<)),?()<,?()<,0,
c5b058d6,equation_transform,35,134,134,0,
d1bd7478,equation_transform,3,30,30,0,
fb623471,equation_transform,21,-21,-21,0,
