strategy,rows,correct,equation_transform_correct,bit_manipulation_correct,truncated,changed_predictions,gains_vs_current,losses_vs_current,net_vs_current,no_loss,promotes
current_prediction,315,190,56,134,1,0,0,0,0,True,False
official_reextract_raw,315,190,56,134,1,0,0,0,0,True,False
first_boxed,315,190,56,134,1,2,0,0,0,True,False
last_boxed,315,190,56,134,1,2,0,0,0,True,False
first_line,315,0,0,0,1,315,0,190,-190,False,False
last_line,315,0,0,0,1,314,0,190,-190,False,False
final_phrase,315,0,0,0,1,315,0,190,-190,False,False
last_number,315,181,47,134,1,92,0,9,-9,False,False
early_512,315,0,0,0,1,315,0,190,-190,False,False
early_1024,315,2,2,0,1,311,0,188,-188,False,False
early_2048,315,9,9,0,1,224,1,182,-181,False,False
