id,family,answer,baseline_public_final,baseline_strict_final_boxed,baseline_public_correct,baseline_strict_correct,candidate_public_correct,candidate_strict_correct,candidate_exact_one_closed_boxed,candidate_truncated
bit_0000,bit_manipulation,bit_answer_0000,bit_answer_0000,bit_answer_0000,True,True,True,True,True,False
bit_0001,bit_manipulation,bit_answer_0001,bit_answer_0001,bit_answer_0001,True,True,True,True,True,False
bit_0002,bit_manipulation,bit_answer_0002,bit_answer_0002,bit_answer_0002,True,True,True,True,True,False
bit_0003,bit_manipulation,bit_answer_0003,bit_answer_0003,bit_answer_0003,True,True,True,True,True,False
bit_0004,bit_manipulation,bit_answer_0004,bit_answer_0004,bit_answer_0004,True,True,True,True,True,False
bit_0005,bit_manipulation,bit_answer_0005,bit_answer_0005,bit_answer_0005,True,True,True,True,True,False
bit_0006,bit_manipulation,bit_answer_0006,bit_answer_0006,bit_answer_0006,True,True,True,True,True,False
bit_0007,bit_manipulation,bit_answer_0007,bit_answer_0007,bit_answer_0007,True,True,True,True,True,False
bit_0008,bit_manipulation,bit_answer_0008,bit_answer_0008,bit_answer_0008,True,True,True,True,True,False
bit_0009,bit_manipulation,bit_answer_0009,bit_answer_0009,bit_answer_0009,True,True,True,True,True,False
bit_0010,bit_manipulation,bit_answer_0010,bit_answer_0010,bit_answer_0010,True,True,True,True,True,False
bit_0011,bit_manipulation,bit_answer_0011,bit_answer_0011,bit_answer_0011,True,True,True,True,True,False
bit_0012,bit_manipulation,bit_answer_0012,bit_answer_0012,bit_answer_0012,True,True,True,True,True,False
bit_0013,bit_manipulation,bit_answer_0013,bit_answer_0013,bit_answer_0013,True,True,True,True,True,False
bit_0014,bit_manipulation,bit_answer_0014,bit_answer_0014,bit_answer_0014,True,True,True,True,True,False
bit_0015,bit_manipulation,bit_answer_0015,bit_answer_0015,bit_answer_0015,True,True,True,True,True,False
bit_0016,bit_manipulation,bit_answer_0016,bit_answer_0016,bit_answer_0016,True,True,True,True,True,False
bit_0017,bit_manipulation,bit_answer_0017,bit_answer_0017,bit_answer_0017,True,True,True,True,True,False
bit_0018,bit_manipulation,bit_answer_0018,bit_answer_0018,bit_answer_0018,True,True,True,True,True,False
bit_0019,bit_manipulation,bit_answer_0019,bit_answer_0019,bit_answer_0019,True,True,True,True,True,False
bit_0020,bit_manipulation,bit_answer_0020,bit_answer_0020,bit_answer_0020,True,True,True,True,True,False
bit_0021,bit_manipulation,bit_answer_0021,bit_answer_0021,bit_answer_0021,True,True,True,True,True,False
bit_0022,bit_manipulation,bit_answer_0022,bit_answer_0022,bit_answer_0022,True,True,True,True,True,False
bit_0023,bit_manipulation,bit_answer_0023,bit_answer_0023,bit_answer_0023,True,True,True,True,True,False
bit_0024,bit_manipulation,bit_answer_0024,bit_answer_0024,bit_answer_0024,True,True,True,True,True,False
bit_0025,bit_manipulation,bit_answer_0025,bit_answer_0025,bit_answer_0025,True,True,True,True,True,False
bit_0026,bit_manipulation,bit_answer_0026,bit_answer_0026,bit_answer_0026,True,True,True,True,True,False
bit_0027,bit_manipulation,bit_answer_0027,bit_answer_0027,bit_answer_0027,True,True,True,True,True,False
bit_0028,bit_manipulation,bit_answer_0028,bit_answer_0028,bit_answer_0028,True,True,True,True,True,False
bit_0029,bit_manipulation,bit_answer_0029,bit_answer_0029,bit_answer_0029,True,True,True,True,True,False
bit_0030,bit_manipulation,bit_answer_0030,bit_answer_0030,bit_answer_0030,True,True,True,True,True,False
bit_0031,bit_manipulation,bit_answer_0031,bit_answer_0031,bit_answer_0031,True,True,True,True,True,False
bit_0032,bit_manipulation,bit_answer_0032,bit_answer_0032,bit_answer_0032,True,True,True,True,True,False
bit_0033,bit_manipulation,bit_answer_0033,bit_answer_0033,bit_answer_0033,True,True,True,True,True,False
bit_0034,bit_manipulation,bit_answer_0034,bit_answer_0034,bit_answer_0034,True,True,True,True,True,False
bit_0035,bit_manipulation,bit_answer_0035,bit_answer_0035,bit_answer_0035,True,True,True,True,True,False
bit_0036,bit_manipulation,bit_answer_0036,bit_answer_0036,bit_answer_0036,True,True,True,True,True,False
bit_0037,bit_manipulation,bit_answer_0037,bit_answer_0037,bit_answer_0037,True,True,True,True,True,False
bit_0038,bit_manipulation,bit_answer_0038,bit_answer_0038,bit_answer_0038,True,True,True,True,True,False
bit_0039,bit_manipulation,bit_answer_0039,bit_answer_0039,bit_answer_0039,True,True,True,True,True,False
bit_0040,bit_manipulation,bit_answer_0040,bit_answer_0040,bit_answer_0040,True,True,True,True,True,False
bit_0041,bit_manipulation,bit_answer_0041,bit_answer_0041,bit_answer_0041,True,True,True,True,True,False
bit_0042,bit_manipulation,bit_answer_0042,bit_answer_0042,bit_answer_0042,True,True,True,True,True,False
bit_0043,bit_manipulation,bit_answer_0043,bit_answer_0043,bit_answer_0043,True,True,True,True,True,False
bit_0044,bit_manipulation,bit_answer_0044,bit_answer_0044,bit_answer_0044,True,True,True,True,True,False
bit_0045,bit_manipulation,bit_answer_0045,bit_answer_0045,bit_answer_0045,True,True,True,True,True,False
bit_0046,bit_manipulation,bit_answer_0046,bit_answer_0046,bit_answer_0046,True,True,True,True,True,False
bit_0047,bit_manipulation,bit_answer_0047,bit_answer_0047,bit_answer_0047,True,True,True,True,True,False
bit_0048,bit_manipulation,bit_answer_0048,bit_answer_0048,bit_answer_0048,True,True,True,True,True,False
bit_0049,bit_manipulation,bit_answer_0049,bit_answer_0049,bit_answer_0049,True,True,True,True,True,False
bit_0050,bit_manipulation,bit_answer_0050,bit_answer_0050,bit_answer_0050,True,True,True,True,True,False
bit_0051,bit_manipulation,bit_answer_0051,bit_answer_0051,bit_answer_0051,True,True,True,True,True,False
bit_0052,bit_manipulation,bit_answer_0052,bit_answer_0052,bit_answer_0052,True,True,True,True,True,False
bit_0053,bit_manipulation,bit_answer_0053,bit_answer_0053,bit_answer_0053,True,True,True,True,True,False
bit_0054,bit_manipulation,bit_answer_0054,bit_answer_0054,bit_answer_0054,True,True,True,True,True,False
bit_0055,bit_manipulation,bit_answer_0055,bit_answer_0055,bit_answer_0055,True,True,True,True,True,False
bit_0056,bit_manipulation,bit_answer_0056,bit_answer_0056,bit_answer_0056,True,True,True,True,True,False
bit_0057,bit_manipulation,bit_answer_0057,bit_answer_0057,bit_answer_0057,True,True,True,True,True,False
bit_0058,bit_manipulation,bit_answer_0058,bit_answer_0058,bit_answer_0058,True,True,True,True,True,False
bit_0059,bit_manipulation,bit_answer_0059,bit_answer_0059,bit_answer_0059,True,True,True,True,True,False
bit_0060,bit_manipulation,bit_answer_0060,bit_answer_0060,bit_answer_0060,True,True,True,True,True,False
bit_0061,bit_manipulation,bit_answer_0061,bit_answer_0061,bit_answer_0061,True,True,True,True,True,False
bit_0062,bit_manipulation,bit_answer_0062,bit_answer_0062,bit_answer_0062,True,True,True,True,True,False
bit_0063,bit_manipulation,bit_answer_0063,bit_answer_0063,bit_answer_0063,True,True,True,True,True,False
bit_0064,bit_manipulation,bit_answer_0064,bit_answer_0064,bit_answer_0064,True,True,True,True,True,False
bit_0065,bit_manipulation,bit_answer_0065,bit_answer_0065,bit_answer_0065,True,True,True,True,True,False
bit_0066,bit_manipulation,bit_answer_0066,bit_answer_0066,bit_answer_0066,True,True,True,True,True,False
bit_0067,bit_manipulation,bit_answer_0067,bit_answer_0067,bit_answer_0067,True,True,True,True,True,False
bit_0068,bit_manipulation,bit_answer_0068,bit_answer_0068,bit_answer_0068,True,True,True,True,True,False
bit_0069,bit_manipulation,bit_answer_0069,bit_answer_0069,bit_answer_0069,True,True,True,True,True,False
bit_0070,bit_manipulation,bit_answer_0070,bit_answer_0070,bit_answer_0070,True,True,True,True,True,False
bit_0071,bit_manipulation,bit_answer_0071,bit_answer_0071,bit_answer_0071,True,True,True,True,True,False
bit_0072,bit_manipulation,bit_answer_0072,bit_answer_0072,bit_answer_0072,True,True,True,True,True,False
bit_0073,bit_manipulation,bit_answer_0073,bit_answer_0073,bit_answer_0073,True,True,True,True,True,False
bit_0074,bit_manipulation,bit_answer_0074,bit_answer_0074,bit_answer_0074,True,True,True,True,True,False
bit_0075,bit_manipulation,bit_answer_0075,bit_answer_0075,bit_answer_0075,True,True,True,True,True,False
bit_0076,bit_manipulation,bit_answer_0076,bit_answer_0076,bit_answer_0076,True,True,True,True,True,False
bit_0077,bit_manipulation,bit_answer_0077,bit_answer_0077,bit_answer_0077,True,True,True,True,True,False
bit_0078,bit_manipulation,bit_answer_0078,bit_answer_0078,bit_answer_0078,True,True,True,True,True,False
bit_0079,bit_manipulation,bit_answer_0079,bit_answer_0079,bit_answer_0079,True,True,True,True,True,False
bit_0080,bit_manipulation,bit_answer_0080,bit_answer_0080,bit_answer_0080,True,True,True,True,True,False
