cell_index,cell_type,line_count,char_count,start_count,end_count,ast_status,ast_error,first_line
0,markdown,26,1354,0,0,not_code,,# KG1 V207B External Adapter Triage Colab
1,code,5,162,1,1,ok,,# CELL: mount Drive.
2,code,111,5026,2,2,ok,,# CELL: runtime configuration.
3,code,68,2338,1,1,ok,,# CELL: bridge Colab Secrets into environment variables without printing secret values.
4,code,192,6521,1,1,ok,,# CELL: helper functions and command logging.
5,code,22,1152,1,3,ok,,# CELL: install dependencies and validate GPU/vLLM import path.
6,code,9,493,1,1,ok,,# CELL: create local execution workspace for embedded scripts.
7,code,14,47721,1,1,ok,,# CELL: install/repair V207B metric scripts inside the local workspace.
8,code,156,7684,1,1,ok,,# CELL: verify or bootstrap V207A baseline artifacts and build weak-family CSV.
9,code,238,11201,1,1,ok,,# CELL: download public Kaggle adapter candidates into Drive.
10,code,136,6293,1,1,ok,,# CELL: discover and register candidate adapter directories.
11,code,103,3907,1,1,ok,,# CELL: structure audit candidate adapters.
12,code,109,4196,1,1,ok,,# CELL: weak-family screen ready candidates.
13,code,90,3839,1,1,ok,,# CELL: full 947-row gate only for weak-positive candidates.
14,code,27,1375,1,1,ok,,# CELL: final V207B summary. This cell does not submit.
