cell_index,cell_type,line_no,flags,text
0,markdown,1,,# KG1 V207B External Adapter Triage Colab
0,markdown,2,,
0,markdown,3,,Purpose: continue the V207 roadmap after V206B/V206C/V214 were rejected.
0,markdown,4,,
0,markdown,5,,This notebook:
0,markdown,6,,
0,markdown,7,,- reuses V207A official-like validation artifacts when they exist in Drive;
0,markdown,8,,- bootstraps the validated V194 baseline exports when those artifacts are missing;
0,markdown,9,,- downloads public Kaggle model adapters into Drive for gated testing;
0,markdown,10,,- audits external/current adapter structures before spending H100/A100 time;
0,markdown,11,,- screens only the weak families first: `equation_transform` and `bit_manipulation`;
0,markdown,12,,- runs full 947-row official-like ACC only for weak-positive candidates;
0,markdown,13,,- never trains and never submits to Kaggle.
0,markdown,14,,
0,markdown,15,,Colab URL:
0,markdown,16,,
0,markdown,17,,`https://colab.research.google.com/github/FELIPEACASTRO/KG1-NVIDIA/blob/v207b-external-triage/notebooks/KG1_V207B_EXTERNAL_ADAPTER_TRIAGE_COLAB.ipynb`
1,code,1,,# CELL: mount Drive.
1,code,2,progress_log,print('=== V207B DRIVE MOUNT START ===')
1,code,3,,from google.colab import drive
1,code,4,,drive.mount('/content/drive')
1,code,5,progress_log,print('=== V207B DRIVE MOUNT END ===')
2,code,1,,# CELL: runtime configuration.
2,code,2,progress_log,print('=== V207B CONFIG START ===')
2,code,3,,import datetime
2,code,4,,import hashlib
2,code,5,,import json
2,code,6,,import os
2,code,7,,import pathlib
2,code,8,,import re
2,code,9,,import shutil
2,code,10,,import subprocess
2,code,11,,import sys
2,code,12,,import time
2,code,13,,
2,code,14,,VERSION = 'V207B_EXTERNAL_ADAPTER_TRIAGE_20260507_PUBLIC_DOWNLOADS_R2'
2,code,15,,ROOT = pathlib.Path('/content/kg1')
2,code,16,,DRIVE_MY = pathlib.Path('/content/drive/MyDrive')
2,code,17,,V207A_ROOT = DRIVE_MY / 'KG1_NVIDIA_V207A' / 'output_v207a_acc_gate'
2,code,18,,OUT_ROOT = DRIVE_MY / 'KG1_NVIDIA_V207B' / 'output_v207b_external_adapter_triage'
2,code,19,,REPORT_DIR = OUT_ROOT / 'reports'
2,code,20,,PUBLIC_KAGGLE_ROOT = DRIVE_MY / 'KG1_PUBLIC_ADAPTERS'
2,code,21,,FALLBACK_EXPORT_BASE = os.environ.get(
2,code,22,,"    'KG1_V207B_FALLBACK_EXPORT_BASE',"
2,code,23,,"    'https://raw.githubusercontent.com/FELIPEACASTRO/KG1-NVIDIA/v207b-external-triage/artifacts/drive_exports',"
2,code,24,,)
2,code,25,,MODEL_NAME = 'nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'
2,code,26,,MODEL_REVISION = 'cbd3fa9f933d55ef16a84236559f4ee2a0526848'
2,code,27,,"VLLM_SPEC = os.environ.get('KG1_V207B_VLLM_SPEC', 'vllm==0.20.1')"
2,code,28,,
2,code,29,,VAL_CSV = V207A_ROOT / 'validation' / 'official_train_seed42_stratified10_val.csv'
2,code,30,,VAL_WEAK_CSV = OUT_ROOT / 'validation' / 'official_train_seed42_stratified10_val_weak_families.csv'
2,code,31,,BASELINE_PREDICTIONS = V207A_ROOT / 'v194_baseline_eval' / 'v194_baseline_predictions.csv'
2,code,32,,BASELINE_PER_TASK = V207A_ROOT / 'v194_baseline_eval' / 'v194_baseline_per_task.csv'
2,code,33,,BASELINE_REPORT = V207A_ROOT / 'v194_baseline_eval' / 'v194_baseline_eval_report.json'
2,code,34,,
2,code,35,,"WEAK_FAMILIES = ['bit_manipulation', 'equation_transform']"
2,code,36,,"FORCE_REEVAL = os.environ.get('KG1_V207B_FORCE_REEVAL', '0') == '1'"
2,code,37,,"RUN_FULL_FOR_POSITIVE = os.environ.get('KG1_V207B_RUN_FULL_FOR_POSITIVE', '1') == '1'"
2,code,38,,"HASH_WEIGHTS = os.environ.get('KG1_V207B_HASH_WEIGHTS', '0') == '1'"
2,code,39,,"MAX_DISCOVERY_DIRS = int(os.environ.get('KG1_V207B_MAX_DISCOVERY_DIRS', '25000'))"
2,code,40,,"INCLUDE_REJECTED_V206 = os.environ.get('KG1_V207B_INCLUDE_REJECTED_V206', '0') == '1'"
2,code,41,,"RUN_KAGGLE_PUBLIC_DOWNLOAD = os.environ.get('KG1_V207B_RUN_KAGGLE_PUBLIC_DOWNLOAD', '1') == '1'"
2,code,42,,"PUBLIC_DOWNLOAD_MAX_PRIORITY = int(os.environ.get('KG1_V207B_PUBLIC_DOWNLOAD_MAX_PRIORITY', '2'))"
2,code,43,,"PUBLIC_DOWNLOAD_MAX_CANDIDATES = int(os.environ.get('KG1_V207B_PUBLIC_DOWNLOAD_MAX_CANDIDATES', '13'))"
2,code,44,,ALLOW_KAGGLE_SUBMIT = False
2,code,45,,
2,code,46,,"for path in [OUT_ROOT, REPORT_DIR, VAL_WEAK_CSV.parent, PUBLIC_KAGGLE_ROOT]:"
2,code,47,,"    path.mkdir(parents=True, exist_ok=True)"
2,code,48,,
2,code,49,progress_log,"print('VERSION =', VERSION)"
2,code,50,progress_log,"print('ROOT =', ROOT)"
2,code,51,progress_log,"print('V207A_ROOT =', V207A_ROOT)"
2,code,52,progress_log,"print('OUT_ROOT =', OUT_ROOT)"
2,code,53,progress_log,"print('PUBLIC_KAGGLE_ROOT =', PUBLIC_KAGGLE_ROOT)"
2,code,54,progress_log,"print('FALLBACK_EXPORT_BASE =', FALLBACK_EXPORT_BASE)"
2,code,55,progress_log,"print('VAL_CSV =', VAL_CSV)"
2,code,56,progress_log,"print('BASELINE_PREDICTIONS =', BASELINE_PREDICTIONS)"
2,code,57,progress_log,"print('BASELINE_PER_TASK =', BASELINE_PER_TASK)"
