id,expected,fullbyte_answer,current_answer,baseline_answer,chosen_answer,baseline_chosen_answer,fullbyte_correct,current_correct,baseline_correct,ensemble_correct,baseline_ensemble_correct,status,level,expr,gain,loss,baseline_gain,baseline_loss
78616706,00000111,10000111,00000111,00000111,10000111,10000111,False,True,True,False,False,ok,ternary,"AND_OR(ROL3,SHL7,SHR3)",False,True,False,True
1abaffca,01000000,01000000,00000000,01011000,01000000,01000000,True,False,False,True,True,ok,ternary,"CHO(SHL2,SHR3,ROL1)",True,False,True,False
0e70c867,01000000,01000000,00100100,01001100,01000000,01000000,True,False,False,True,True,ok,ternary,"MAJ3(ROL2,SHL4,SHR5)",True,False,True,False
d6187157,01001000,01001000,00001000,01001000,01001000,01001000,True,False,True,True,True,ok,ternary,"MAJ3(ROL1,SHL3,SHR4)",True,False,False,False
3a67aa26,00101110,,00101110,00101110,00101110,00101110,False,True,True,True,True,no_expression,,,False,False,False,False
b8722d19,00100100,00100100,11000000,11110100,00100100,00100100,True,False,False,True,True,ok,ternary,"CHO(SHL2,SHR1,ROL3)",True,False,True,False
7192535b,00000010,00000010,00001010,00001010,00000010,00000010,True,False,False,True,True,ok,ternary,"MAJ3(ROL5,SHL1,SHR4)",True,False,True,False
8740ed31,01101000,01101000,00001010,01111000,01101000,01101000,True,False,False,True,True,ok,ternary,"MAJ3(ROL7,SHL3,SHR3)",True,False,True,False
55d834d1,00111111,,00111111,10111111,00111111,10111111,False,True,False,True,False,no_expression,,,False,False,False,False
1a7c8520,01100000,01100000,00100000,01100110,01100000,01100000,True,False,False,True,True,ok,ternary,"MAJ3(ROL2,SHL1,SHR5)",True,False,True,False
59bee375,10010101,,10010101,10010101,10010101,10010101,False,True,True,True,True,no_expression,,,False,False,False,False
8243c91e,01000101,01000101,00000001,01000101,01000101,01000101,True,False,True,True,True,ok,ternary,"MAJ3(ROL1,SHL4,SHR5)",True,False,False,False
a6192d29,00001000,00001000,00000000,01111110,00001000,00001000,True,False,False,True,True,ok,ternary,"MAJ3(ROL6,SHL1,SHR1)",True,False,True,False
048cc279,01010000,01010000,10100000,01111000,01010000,01010000,True,False,False,True,True,ok,ternary,"MAJ3(ROL1,SHL3,SHR2)",True,False,True,False
3595c82c,10011011,,10011011,10011011,10011011,10011011,False,True,True,True,True,no_expression,,,False,False,False,False
4c327b55,11011100,11011100,11011100,11011110,11011100,11011100,True,True,False,True,True,ok,binary,"XOR(SHL1,SHR4)",False,False,True,False
b8aa3072,00000011,00000011,00000111,00000111,00000011,00000011,True,False,False,True,True,ok,ternary,"CHO(SHL2,SHR4,ROL7)",True,False,True,False
5ba26f21,01011100,01011100,00000000,01111110,01011100,01011100,True,False,False,True,True,ok,ternary,"CHO(SHL1,SHR1,ROL4)",True,False,True,False
0290f51a,10101111,,10101111,10101111,10101111,10101111,False,True,True,True,True,no_expression,,,False,False,False,False
