rule_class,rows,candidate_rows,verified_candidates,incorrect_candidates,abstain_rows,promotable_after_class_gate
v299_same_operator_unique_numeric_dsl,10,0,0,0,10,False
v299_conventional_operator_prior_unique,10,0,0,0,10,False
v299_all_numeric_examples_unique_dsl,10,0,0,0,10,False
v274_guarded_numeric_query_operator_unseen,10,0,0,0,10,False
v274_guarded_numeric_not_numeric_query,82,0,0,0,82,False
symbolic_variable_operator_right_reverse_left,82,0,0,0,82,False
symbolic_variable_operator_right_only,82,0,0,0,82,False
symbolic_variable_operator_right_left,82,0,0,0,82,False
symbolic_variable_operator_reverse_right_left,82,0,0,0,82,False
symbolic_variable_operator_reverse_left_right,82,0,0,0,82,False
symbolic_variable_operator_reverse_drop_operator,82,0,0,0,82,False
symbolic_variable_operator_operator_between_reversed,82,0,0,0,82,False
symbolic_variable_operator_left_reverse_right,82,0,0,0,82,False
symbolic_variable_operator_left_only,82,0,0,0,82,False
symbolic_variable_operator_drop_operator,82,0,0,0,82,False
symbolic_suffix_after_marker,82,0,0,0,82,False
symbolic_suffix_after_last_marker,82,0,0,0,82,False
symbolic_remove_first_marker,82,0,0,0,82,False
symbolic_prefix_until_marker,82,0,0,0,82,False
symbolic_prefix_before_last_marker,82,0,0,0,82,False
symbolic_keep_selected_chars,82,0,0,0,82,False
symbolic_char_transducer,82,0,0,0,82,False
numeric_same_operator_extended,10,0,0,0,10,False
symbolic_position_template,82,1,0,1,81,False
symbolic_operator_index_template,82,1,0,1,81,False
symbolic_delete_selected_chars,82,1,0,1,81,False
