id,family,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,sources,rule_classes
00fdc0be,bit_manipulation,11111111,11111111,11111111,True,True,False,v403_bit_global_exact,
01248b76,bit_manipulation,11000101,11000101,11000101,True,True,False,v403_bit_global_exact,
0440e6ab,bit_manipulation,01100000,01100000,01100000,True,True,False,v403_bit_global_exact,
07ceed47,bit_manipulation,10000101,10000101,10000101,True,True,False,v403_bit_global_exact,
08df5363,bit_manipulation,01011100,01011100,01011100,True,True,False,v403_bit_global_exact,
0dfd7674,bit_manipulation,01001110,01001110,01001110,True,True,False,v403_bit_global_exact,
0e3962f6,bit_manipulation,11111110,11111110,11111110,True,True,False,v403_bit_global_exact,
0f2dec86,bit_manipulation,10111000,10111000,10111000,True,True,False,v403_bit_global_exact,
0f7ddd75,bit_manipulation,11110110,11110110,11110110,True,True,False,v403_bit_global_exact,
0fe06e8c,bit_manipulation,10010010,10010010,10010010,True,True,False,v403_bit_global_exact,
114a7439,bit_manipulation,01110001,01110001,01110001,True,True,False,v403_bit_global_exact,
12e947ca,bit_manipulation,00111110,00111110,00111110,True,True,False,v403_bit_global_exact,
16e73f0e,bit_manipulation,00000001,00000001,00000001,True,True,False,v403_bit_global_exact,
1c566511,bit_manipulation,01010010,01010010,01010010,True,True,False,v403_bit_global_exact,
1c671acc,bit_manipulation,11111101,11111101,11111101,True,True,False,v403_bit_global_exact,
1d08947a,bit_manipulation,10010100,10010100,10010100,True,True,False,v403_bit_global_exact,
20052c2f,bit_manipulation,01100110,01100110,01100110,True,True,False,v403_bit_global_exact,
20cdbdb1,bit_manipulation,11100001,11100001,11100001,True,True,False,v403_bit_global_exact,
274def88,equation_transform,-92,92,92,False,True,True,v324_equation_numeric,v274_guarded_numeric_minus_signed_opposite_sign_guarded
29e458d6,bit_manipulation,00010010,00010010,00010010,True,True,False,v403_bit_global_exact,
2a5d4790,bit_manipulation,11111111,11111111,11111111,True,True,False,v403_bit_global_exact,
2ead53dc,bit_manipulation,00000101,00000101,00000101,True,True,False,v403_bit_global_exact,
2facfaa4,bit_manipulation,00111110,00111110,00111110,True,True,False,v403_bit_global_exact,
30ba0cf4,bit_manipulation,01101101,01101101,01101101,True,True,False,v403_bit_global_exact,
