ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating,queries,file_count,file_names
adityakrishnanmohan/nemotron-synthetic-cot-gpt-clean,Nemotron Synthetic CoT GPT Clean,1864571,2026-05-12 05:59:53.093000,41,0,0.5882353,nemotron reasoning|nemotron cot,5,README.md;manifest.json;solver_hard_triad_supplement.csv;solver_template_supplement.csv;synthetic_nemotron_cot_gpt_clean.csv
aidenzhao0912/nemotron-v4b-submission-adapter,nemotron-v4b-submission-adapter,3816767741,2026-05-11 04:43:06.867000,10,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
akihikokatsumata/nemotron-lora-cot-labels-merged,nemotron-lora-cot-labels-merged,6931285,2026-03-28 14:11:34.977000,7,0,0.25,nemotron cot,2,adapter_config.json;adapter_model.safetensors
alexproger23/nemotron-validation-runtime,Nemotron Validation Runtime,8165972,2026-04-18 19:54:38.010000,2,0,0.3125,nemotron reasoning,68,config/data/reasoning_mixture_v1.toml;config/metric/nvidia_proxy_v1.toml;config/model/nemotron_lora_bootstrap.toml;config/recipe/baseline_sft_final.toml;config/recipe/rl_bootstrap.toml;config/reward/rl_stub_v1.toml;config/tracking/default_offline.toml;config/tracking/default_wandb.toml;data/reasoning/nemotron_cot_labels/final_Nemotron_training_data.csv;data/reasoning/nemotron_cot_training_data/train_cot.jsonl;data/reasoning/nemotron_cot_training_data/train_cot_full.json;data/reasoning/train.jsonl;data/reasoning/validation.jsonl;requirements.txt;src/competition/__init__.py;src/competition/cli.py;src/competition/pipeline.py;src/config/__init__.py;src/config/errors.py;src/config/loader.py;src/config/models.py;src/config/registry.py;src/training/__init__.py;src/training/contracts.py;src/training/data/__init__.py;src/training/data/competition.py;src/training/data/contracts.py;src/training/data/preparation.py;src/training/data/reasoning.py;src/training/eval/__init__.py;src/training/eval/artifacts.py;src/training/eval/cli.py;src/training/eval/contracts.py;src/training/eval/evaluator.py;src/training/eval/metrics.py;src/training/eval/predictors.py;src/training/eval/validation.py;src/training/metrics/__init__.py;src/training/metrics/contracts.py;src/training/metrics/functions.py;src/training/metrics/registry.py;src/training/metrics/utils.py;src/training/registry.py;src/training/rewards/__init__.py;src/training/rewards/builtin.py;src/training/rewards/contracts.py;src/training/rewards/functions.py;src/training/rewards/registry.py;src/training/rewards/utils.py;src/training/runner.py
amanux/nemotron-cot-v1,nemotron-cot-v1.,1547057,2026-03-28 19:20:29.393000,3,0,0.25,nemotron cot,1,train_cot.jsonl
ananayshiv/nvidia-nemotron,nvidia_nemotron,643019,2026-05-10 15:36:47.260000,4,1,0.23529412,NVIDIA Nemotron,2,test.csv;train.csv
andreyyunoshev/huikang-nemotron-adapter-mirror,huikang-nemotron-adapter-mirror,1425431877,2026-04-16 14:21:36.807000,17,0,0.3125,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
basmaessatouti/smart-train-data,smart-train-data,1293964,2026-04-23 18:27:33.140000,10,1,0.23529412,NVIDIA Nemotron|nemotron reasoning|nvidia nemotron model reasoning challenge,5,nvidia-nemotron-model-reasoning-challenge/test.csv;nvidia-nemotron-model-reasoning-challenge/train.csv;smart_train.csv;test.csv;train.csv
bharatmohan/nemotron-v30-sft-mixed-adapter,Nemotron V30 SFT Mixed Adapter,3226034308,2026-04-08 18:48:53.343000,21,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
bharatmohan/nemotron-v31-grpo-adapter,Nemotron V31 GRPO Adapter,3229208665,2026-04-08 10:27:04.740000,22,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
charwisreno/nemotron-master-reasoning-corpus,Master Reasoning Corpus,19552621196,2026-05-07 02:56:16.697000,2,0,0.23529412,nemotron reasoning,2,nemotron_master_reasoning_corpus.parquet;verified_synthetic_reasoning.parquet
