path,dataset,split,status,rows,nonboxed_rows,include,priority,reason
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_v274_distill_dataset\20260511T2338Z\v293_v274_distill_train.jsonl,v293_v274_distill_train,train,ok,7776,7776,False,999,excluded: nonboxed assistant answers under current boxed recipe
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_v274_distill_dataset\20260511T2338Z\v293_v274_distill_val.jsonl,v293_v274_distill_val,val,ok,678,678,False,999,excluded: nonboxed assistant answers under current boxed recipe
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v390_v326_equation_bit_replay_mix_dataset\20260514T193847Z\v390_v326_equation_bit_replay_mix_train.jsonl,v390_v326_equation_bit_replay_mix_train,train,ok,5031,0,False,999,excluded: historical broad mix already failed transfer in V391/V494
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v390_v326_equation_bit_replay_mix_dataset\20260514T193847Z\v390_v326_equation_bit_replay_mix_val.jsonl,v390_v326_equation_bit_replay_mix_val,val,ok,532,0,False,999,excluded: historical broad mix already failed transfer in V391/V494
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v406_solver_first_transfer_dataset\20260514T_v406_solver_first_transfer\v406_solver_first_transfer_train.jsonl,v406_solver_first_transfer_train,train,ok,2064,0,False,999,excluded: historical solver-first mix already failed to transfer
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v406_solver_first_transfer_dataset\20260514T_v406_solver_first_transfer\v406_solver_first_transfer_val.jsonl,v406_solver_first_transfer_val,val,ok,516,0,False,999,excluded: historical solver-first mix already failed to transfer
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v410_solver_first_transfer_dataset\20260514T_v410_solver_first_transfer\v410_solver_first_transfer_train.jsonl,v410_solver_first_transfer_train,train,ok,2320,0,False,999,excluded: historical solver-first mix already failed to transfer
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v410_solver_first_transfer_dataset\20260514T_v410_solver_first_transfer\v410_solver_first_transfer_val.jsonl,v410_solver_first_transfer_val,val,ok,580,0,False,999,excluded: historical solver-first mix already failed to transfer
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v416_rawstyle_transfer_dataset\20260515T_v416_rawstyle_transfer\v416_rawstyle_transfer_train.jsonl,v416_rawstyle_transfer_train,train,ok,2320,0,False,999,excluded: historical rawstyle mix already failed to transfer
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v416_rawstyle_transfer_dataset\20260515T_v416_rawstyle_transfer\v416_rawstyle_transfer_val.jsonl,v416_rawstyle_transfer_val,val,ok,580,0,False,999,excluded: historical rawstyle mix already failed to transfer
