id,raw_output,finish_reason,completion_tokens
full_bit_000,Final answer: 100000,stop,8
full_bit_001,Final answer: 100001,stop,8
full_bit_002,Final answer: 100002,stop,8
full_bit_003,Final answer: 100003,stop,8
full_bit_004,Final answer: 100004,stop,8
full_bit_005,Final answer: 100005,stop,8
full_bit_006,Final answer: 100006,stop,8
full_bit_007,Final answer: 100007,stop,8
full_bit_008,Final answer: 100008,stop,8
full_bit_009,Final answer: 100009,stop,8
full_bit_010,Final answer: 100010,stop,8
full_bit_011,Final answer: 100011,stop,8
full_bit_012,Final answer: 100012,stop,8
full_bit_013,Final answer: 100013,stop,8
full_bit_014,Final answer: 100014,stop,8
full_bit_015,Final answer: 100015,stop,8
full_bit_016,Final answer: 100016,stop,8
full_bit_017,Final answer: 100017,stop,8
full_bit_018,Final answer: 100018,stop,8
full_bit_019,Final answer: 100019,stop,8
full_bit_020,Final answer: 100020,stop,8
full_bit_021,Final answer: 100021,stop,8
full_bit_022,Final answer: 100022,stop,8
full_bit_023,Final answer: 100023,stop,8
full_bit_024,Final answer: 100024,stop,8
full_bit_025,Final answer: 100025,stop,8
full_bit_026,Final answer: 100026,stop,8
full_bit_027,Final answer: 100027,stop,8
full_bit_028,Final answer: 100028,stop,8
full_bit_029,Final answer: 100029,stop,8
full_bit_030,Final answer: 100030,stop,8
full_bit_031,Final answer: 100031,stop,8
full_bit_032,Final answer: 100032,stop,8
full_bit_033,Final answer: 100033,stop,8
full_bit_034,Final answer: 100034,stop,8
full_bit_035,Final answer: 100035,stop,8
full_bit_036,Final answer: 100036,stop,8
full_bit_037,Final answer: 100037,stop,8
full_bit_038,Final answer: 100038,stop,8
full_bit_039,Final answer: 100039,stop,8
full_bit_040,Final answer: 100040,stop,8
full_bit_041,Final answer: 100041,stop,8
full_bit_042,Final answer: 100042,stop,8
full_bit_043,Final answer: 100043,stop,8
full_bit_044,Final answer: 100044,stop,8
full_bit_045,Final answer: 100045,stop,8
full_bit_046,Final answer: 100046,stop,8
full_bit_047,Final answer: 100047,stop,8
full_bit_048,Final answer: 100048,stop,8
full_bit_049,Final answer: 100049,stop,8
full_bit_050,Final answer: 100050,stop,8
full_bit_051,Final answer: 100051,stop,8
full_bit_052,Final answer: 100052,stop,8
full_bit_053,Final answer: 100053,stop,8
full_bit_054,Final answer: 100054,stop,8
full_bit_055,Final answer: 100055,stop,8
full_bit_056,Final answer: 100056,stop,8
full_bit_057,Final answer: 100057,stop,8
full_bit_058,Final answer: 100058,stop,8
full_bit_059,Final answer: 100059,stop,8
full_bit_060,Final answer: 100060,stop,8
full_bit_061,Final answer: 100061,stop,8
full_bit_062,Final answer: 100062,stop,8
full_bit_063,Final answer: 100063,stop,8
full_bit_064,Final answer: 100064,stop,8
full_bit_065,Final answer: 100065,stop,8
full_bit_066,Final answer: 100066,stop,8
full_bit_067,Final answer: 100067,stop,8
full_bit_068,Final answer: 100068,stop,8
full_bit_069,Final answer: 100069,stop,8
full_bit_070,Final answer: 100070,stop,8
full_bit_071,Final answer: 100071,stop,8
full_bit_072,Final answer: 100072,stop,8
full_bit_073,Final answer: 100073,stop,8
full_bit_074,Final answer: 100074,stop,8
full_bit_075,Final answer: 100075,stop,8
full_bit_076,Final answer: 100076,stop,8
full_bit_077,Final answer: 100077,stop,8
full_bit_078,Final answer: 100078,stop,8
full_bit_079,Final answer: 100079,stop,8
full_bit_080,Final answer: 100080,stop,8
full_bit_081,Final answer: 100081,stop,8
full_bit_082,Final answer: 100082,stop,8
full_bit_083,Final answer: 100083,stop,8
full_bit_084,Final answer: 100084,stop,8
full_bit_085,Final answer: 100085,stop,8
full_bit_086,Final answer: 100086,stop,8
full_bit_087,Final answer: 100087,stop,8
full_bit_088,Final answer: 100088,stop,8
full_bit_089,Final answer: 100089,stop,8
full_bit_090,Final answer: 100090,stop,8
full_bit_091,Final answer: 100091,stop,8
full_bit_092,Final answer: 100092,stop,8
full_bit_093,Final answer: 100093,stop,8
full_bit_094,Final answer: 100094,stop,8
full_bit_095,Final answer: 100095,stop,8
full_bit_096,Final answer: 100096,stop,8
full_bit_097,Final answer: 100097,stop,8
full_bit_098,Final answer: 100098,stop,8
full_bit_099,Final answer: 100099,stop,8
full_bit_100,Final answer: 100100,stop,8
full_bit_101,Final answer: 100101,stop,8
full_bit_102,Final answer: 100102,stop,8
full_bit_103,Final answer: 100103,stop,8
full_bit_104,Final answer: 100104,stop,8
full_bit_105,Final answer: 100105,stop,8
full_bit_106,Final answer: 100106,stop,8
full_bit_107,Final answer: 100107,stop,8
full_bit_108,Final answer: 100108,stop,8
full_bit_109,Final answer: 100109,stop,8
full_bit_110,Final answer: 100110,stop,8
full_bit_111,Final answer: 100111,stop,8
full_bit_112,Final answer: 100112,stop,8
full_bit_113,Final answer: 100113,stop,8
full_bit_114,Final answer: 100114,stop,8
full_bit_115,Final answer: 100115,stop,8
full_bit_116,Final answer: 100116,stop,8
full_bit_117,Final answer: 100117,stop,8
full_bit_118,Final answer: 100118,stop,8
full_bit_119,Final answer: 100119,stop,8
full_bit_120,Final answer: 100120,stop,8
full_bit_121,Final answer: 100121,stop,8
full_bit_122,Final answer: 100122,stop,8
full_bit_123,Final answer: 100123,stop,8
full_bit_124,Final answer: 100124,stop,8
full_bit_125,Final answer: 100125,stop,8
full_bit_126,Final answer: 100126,stop,8
full_bit_127,Final answer: 100127,stop,8
full_bit_128,Final answer: 100128,stop,8
full_bit_129,Final answer: 100129,stop,8
full_bit_130,Final answer: 100130,stop,8
full_bit_131,Final answer: 100131,stop,8
full_bit_132,Final answer: 100132,stop,8
full_bit_133,Final answer: 100133,stop,8
full_bit_134,Final answer: 100134,stop,8
full_bit_135,Final answer: 110134,stop,8
full_bit_136,Final answer: 110135,stop,8
full_bit_137,Final answer: 110136,stop,8
full_bit_138,Final answer: 110137,stop,8
full_bit_139,Final answer: 110138,stop,8
full_bit_140,Final answer: 110139,stop,8
full_bit_141,Final answer: 110140,stop,8
full_bit_142,Final answer: 110141,stop,8
full_bit_143,Final answer: 110142,stop,8
full_bit_144,Final answer: 110143,stop,8
full_bit_145,Final answer: 110144,stop,8
full_bit_146,Final answer: 110145,stop,8
full_bit_147,Final answer: 110146,stop,8
full_bit_148,Final answer: 110147,stop,8
full_bit_149,Final answer: 110148,stop,8
full_bit_150,Final answer: 110149,stop,8
full_bit_151,Final answer: 110150,stop,8
full_bit_152,Final answer: 110151,stop,8
full_bit_153,Final answer: 110152,stop,8
full_bit_154,Final answer: 110153,stop,8
full_bit_155,Final answer: 110154,stop,8
full_bit_156,Final answer: 110155,stop,8
full_bit_157,Final answer: 110156,stop,8
full_bit_158,Final answer: 110157,stop,8
full_bit_159,Final answer: 110158,stop,8
full_eq_000,Final answer: 100160,stop,8
full_eq_001,Final answer: 100161,stop,8
full_eq_002,Final answer: 100162,stop,8
full_eq_003,Final answer: 100163,stop,8
full_eq_004,Final answer: 100164,stop,8
full_eq_005,Final answer: 100165,stop,8
full_eq_006,Final answer: 100166,stop,8
full_eq_007,Final answer: 100167,stop,8
full_eq_008,Final answer: 100168,stop,8
full_eq_009,Final answer: 100169,stop,8
full_eq_010,Final answer: 100170,stop,8
full_eq_011,Final answer: 100171,stop,8
full_eq_012,Final answer: 100172,stop,8
full_eq_013,Final answer: 100173,stop,8
full_eq_014,Final answer: 100174,stop,8
full_eq_015,Final answer: 100175,stop,8
full_eq_016,Final answer: 100176,stop,8
full_eq_017,Final answer: 100177,stop,8
full_eq_018,Final answer: 100178,stop,8
full_eq_019,Final answer: 100179,stop,8
full_eq_020,Final answer: 100180,stop,8
full_eq_021,Final answer: 100181,stop,8
full_eq_022,Final answer: 100182,stop,8
full_eq_023,Final answer: 100183,stop,8
full_eq_024,Final answer: 100184,stop,8
full_eq_025,Final answer: 100185,stop,8
full_eq_026,Final answer: 100186,stop,8
full_eq_027,Final answer: 100187,stop,8
full_eq_028,Final answer: 100188,stop,8
full_eq_029,Final answer: 100189,stop,8
full_eq_030,Final answer: 100190,stop,8
full_eq_031,Final answer: 100191,stop,8
full_eq_032,Final answer: 100192,stop,8
full_eq_033,Final answer: 100193,stop,8
full_eq_034,Final answer: 100194,stop,8
full_eq_035,Final answer: 100195,stop,8
full_eq_036,Final answer: 100196,stop,8
full_eq_037,Final answer: 100197,stop,8
full_eq_038,Final answer: 100198,stop,8
full_eq_039,Final answer: 100199,stop,8
full_eq_040,Final answer: 100200,stop,8
full_eq_041,Final answer: 100201,stop,8
full_eq_042,Final answer: 100202,stop,8
full_eq_043,Final answer: 100203,stop,8
full_eq_044,Final answer: 100204,stop,8
full_eq_045,Final answer: 100205,stop,8
full_eq_046,Final answer: 100206,stop,8
full_eq_047,Final answer: 100207,stop,8
full_eq_048,Final answer: 100208,stop,8
full_eq_049,Final answer: 100209,stop,8
full_eq_050,Final answer: 100210,stop,8
full_eq_051,Final answer: 100211,stop,8
full_eq_052,Final answer: 100212,stop,8
full_eq_053,Final answer: 100213,stop,8
full_eq_054,Final answer: 100214,stop,8
full_eq_055,Final answer: 100215,stop,8
full_eq_056,Final answer: 110215,stop,8
full_eq_057,Final answer: 110216,stop,8
full_eq_058,Final answer: 110217,stop,8
full_eq_059,Final answer: 110218,stop,8
full_eq_060,Final answer: 110219,stop,8
full_eq_061,Final answer: 110220,stop,8
full_eq_062,Final answer: 110221,stop,8
full_eq_063,Final answer: 110222,stop,8
full_eq_064,Final answer: 110223,stop,8
full_eq_065,Final answer: 110224,stop,8
full_eq_066,Final answer: 110225,stop,8
full_eq_067,Final answer: 110226,stop,8
full_eq_068,Final answer: 110227,stop,8
full_eq_069,Final answer: 110228,stop,8
full_eq_070,Final answer: 110229,stop,8
full_eq_071,Final answer: 110230,stop,8
full_eq_072,Final answer: 110231,stop,8
full_eq_073,Final answer: 110232,stop,8
full_eq_074,Final answer: 110233,stop,8
full_eq_075,Final answer: 110234,stop,8
full_eq_076,Final answer: 110235,stop,8
full_eq_077,Final answer: 110236,stop,8
full_eq_078,Final answer: 110237,stop,8
full_eq_079,Final answer: 110238,stop,8
full_eq_080,Final answer: 110239,stop,8
full_eq_081,Final answer: 110240,stop,8
full_eq_082,Final answer: 110241,stop,8
full_eq_083,Final answer: 110242,stop,8
full_eq_084,Final answer: 110243,stop,8
full_eq_085,Final answer: 110244,stop,8
full_eq_086,Final answer: 110245,stop,8
full_eq_087,Final answer: 110246,stop,8
full_eq_088,Final answer: 110247,stop,8
full_eq_089,Final answer: 110248,stop,8
full_eq_090,Final answer: 110249,stop,8
full_eq_091,Final answer: 110250,stop,8
full_eq_092,Final answer: 110251,stop,8
full_eq_093,Final answer: 110252,stop,8
full_eq_094,Final answer: 110253,stop,8
full_eq_095,Final answer: 110254,stop,8
full_eq_096,Final answer: 110255,stop,8
full_eq_097,Final answer: 110256,stop,8
full_eq_098,Final answer: 110257,stop,8
full_eq_099,Final answer: 110258,stop,8
full_eq_100,Final answer: 110259,stop,8
full_eq_101,Final answer: 110260,stop,8
full_eq_102,Final answer: 110261,stop,8
full_eq_103,Final answer: 110262,stop,8
full_eq_104,Final answer: 110263,stop,8
full_eq_105,Final answer: 110264,stop,8
full_eq_106,Final answer: 110265,stop,8
full_eq_107,Final answer: 110266,stop,8
full_eq_108,Final answer: 110267,stop,8
full_eq_109,Final answer: 110268,stop,8
full_eq_110,Final answer: 110269,stop,8
full_eq_111,Final answer: 110270,stop,8
full_eq_112,Final answer: 110271,stop,8
full_eq_113,Final answer: 110272,stop,8
full_eq_114,Final answer: 110273,stop,8
full_eq_115,Final answer: 110274,stop,8
full_eq_116,Final answer: 110275,stop,8
full_eq_117,Final answer: 110276,stop,8
full_eq_118,Final answer: 110277,stop,8
full_eq_119,Final answer: 110278,stop,8
full_eq_120,Final answer: 110279,stop,8
full_eq_121,Final answer: 110280,stop,8
full_eq_122,Final answer: 110281,stop,8
full_eq_123,Final answer: 110282,stop,8
full_eq_124,Final answer: 110283,stop,8
full_eq_125,Final answer: 110284,stop,8
full_eq_126,Final answer: 110285,stop,8
full_eq_127,Final answer: 110286,stop,8
full_eq_128,Final answer: 110287,stop,8
full_eq_129,Final answer: 110288,stop,8
full_eq_130,Final answer: 110289,stop,8
full_eq_131,Final answer: 110290,stop,8
full_eq_132,Final answer: 110291,stop,8
full_eq_133,Final answer: 110292,stop,8
full_eq_134,Final answer: 110293,stop,8
full_eq_135,Final answer: 110294,stop,8
full_eq_136,Final answer: 110295,stop,8
full_eq_137,Final answer: 110296,stop,8
full_eq_138,Final answer: 110297,stop,8
full_eq_139,Final answer: 110298,stop,8
full_eq_140,Final answer: 110299,stop,8
full_eq_141,Final answer: 110300,stop,8
full_eq_142,Final answer: 110301,stop,8
full_eq_143,Final answer: 110302,stop,8
full_eq_144,Final answer: 110303,stop,8
full_eq_145,Final answer: 110304,stop,8
full_eq_146,Final answer: 110305,stop,8
full_eq_147,Final answer: 110306,stop,8
full_eq_148,Final answer: 110307,stop,8
full_eq_149,Final answer: 110308,stop,8
full_eq_150,Final answer: 110309,stop,8
full_eq_151,Final answer: 110310,stop,8
full_eq_152,Final answer: 110311,stop,8
full_eq_153,Final answer: 110312,stop,8
full_eq_154,Final answer: 110313,stop,8
full_gravity_000,Final answer: 100315,stop,8
full_gravity_001,Final answer: 100316,stop,8
full_gravity_002,Final answer: 100317,stop,8
full_gravity_003,Final answer: 100318,stop,8
full_gravity_004,Final answer: 100319,stop,8
full_gravity_005,Final answer: 100320,stop,8
full_gravity_006,Final answer: 100321,stop,8
full_gravity_007,Final answer: 100322,stop,8
full_gravity_008,Final answer: 100323,stop,8
full_gravity_009,Final answer: 100324,stop,8
full_gravity_010,Final answer: 100325,stop,8
full_gravity_011,Final answer: 100326,stop,8
full_gravity_012,Final answer: 100327,stop,8
full_gravity_013,Final answer: 100328,stop,8
full_gravity_014,Final answer: 100329,stop,8
full_gravity_015,Final answer: 100330,stop,8
full_gravity_016,Final answer: 100331,stop,8
