id,family,target_rule_class,prompt_sha256,prompt_normalized_sha256,prompt
13892a7c,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,e9943c536352297308a09941cb0bcca18b837f450ce2cc5909b2cc57a9936cbd,077b8182a347c5b2765c61e029b6315fae21d174bcf3fe10985d481591ab903f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
21+39 = 3921
77+07 = 0777
36+29 = 2936
31*42 = 213
63-46 = -82
Now, determine the result for: 61-47"
13ad7bce,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,c5f9957213cb967022e7c80f7fa0fe29ba6af537b04de031048e423201fa9196,7e1e4de36b821d65cd1b6809ca3ecb1dedcf99d0c1db4a2450cd6af2914bf2d8,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
69-63 = 06
06*17 = 1706
37+29 = 461
79*88 = 8879
47-09 = -61
Now, determine the result for: 71-45"
1bc85bd9,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,f368a493c5214b8d50b2a3d8c57a7d0d71c60025a2ca45c98e141276033e0829,98c0d8374b273ae55e14023b7d1b127c5178b3a51d1f8786f561769f560413e1,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
58-85 = 72
88*95 = 9588
19*31 = 3119
Now, determine the result for: 16-22"
39fd934f,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,1ca565926f8da31bc52e5edb30a18d97e13deb5c1931b761ad64b30fd37dab87,f5afafb541dc4fdb0bc0d6f90ff8bd3e00697ac700fbb6944dfbbf38592b8844,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34+33 = 57
31+13 = 34
25-74 = 5
98+55 = 341
69-42 = 27
Now, determine the result for: 32-23"
56c59dfd,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,1d6f99aaeb8a2957d30f7be4d62032ca751cc3ea24c592f9a15dee364a6e6c07,ec0344a0c54bb1e7f27917e2270d89f14fe52c5ad4d931cacb662f66dbf06984,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
15+43 = 1543
34-87 = -53
28!85 = 112
14+75 = 1475
94+77 = 9477
Now, determine the result for: 96-74"
808a8f62,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,9cf01df0ddd3527a9ce3c89364b38e9fdcb62285aedc21e41953ddb077721e68,a9a66a3e72ec58344fe899a102805758e5919d78beb9911d9aef14e829e1f4f5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
91-81 = 1
69+89 = 591
76-26 = 5
17-02 = 15
Now, determine the result for: 35-72"
8d652f91,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,88b0b6edfaa8f55f020eaaa97c0a97a456bc0c5d542da7aabb21ab6331908144,ec78a008ee4c38e857b4668105d6eca55c5417391faa9cf5c3d9a39b070687e1,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
46*21 = 967
39-82 = 56
17+13 = 101
94+72 = 57
79+11 = 701
Now, determine the result for: 97-57"
957c70fd,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,44f23a5a60afd298d364d41b9a0befdf20406129c0d1ee8dd12a808e3a06c373,4ab720c8e00ef9d9e068684594d37a4ca1dc4fc4a2e40ca6fdb3ba983c8728fc,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
89-96 = 92
69+79 = 291
96+07 = 831
28-37 = 9
Now, determine the result for: 07-77"
9d4ae6b8,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,e50323134eae458ad2692925a2fd93e309f12dfd3f7b112b38f298ec3f99be2f,1b30f1e2c16d127173fef82181aa4dd0f8553ce3ed337f91b620ca32ff66f417,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
18)69 = 1869
96|81 = 177
80-13 = 67
Now, determine the result for: 51-35"
9fb854c3,equation_transform,v274_guarded_numeric_minus_signed_opposite_sign_guarded,3ed2f34c68d26c6e051c09d1287e6e5811523392142765c90e17619951f74b13,94f0b086246b6d28ec9d25d7d1c62113fee63fe7e65653dc04a75f9996a2c07d,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
65*34 = 3465
26-16 = 1
09*81 = 8109
Now, determine the result for: 83-43"
