id,rule,status,family,answer,baseline_prediction,override_prediction,baseline_correct,override_correct,query,example_count,proof
e518256e,operator_not_guarded,abstain,equation_transform,84,84,,True,True,"94""10",3,"query_op='""'"
09d5ee68,not_numeric_query,abstain,equation_transform,!?'!,|:>>,,False,False,|:*>>,4,query is not a numeric binary expression
7e5b8c12,not_attempted,abstain,bit_manipulation,10110000,10110000,,True,True,,0,non-equation row
00457d26,not_numeric_query,abstain,equation_transform,@&,[[!',,False,False,[[-!',4,query is not a numeric binary expression
518deb39,not_numeric_query,abstain,equation_transform,$,{}$>,,False,False,$$-<>,4,query is not a numeric binary expression
78616706,not_attempted,abstain,bit_manipulation,00000111,00000111,,True,True,,0,non-equation row
82109e34,not_numeric_query,abstain,equation_transform,-@>,'^^^',,False,False,'^-^^,4,query is not a numeric binary expression
5e67b1a1,operator_not_guarded,abstain,equation_transform,63,63,,True,True,32{31,4,query_op='{'
c7077b21,not_attempted,abstain,bit_manipulation,00010110,00010110,,True,True,,0,non-equation row
fb5a7b9e,not_attempted,abstain,bit_manipulation,11111010,11111010,,True,True,,0,non-equation row
e1728524,query_operator_unseen,abstain,equation_transform,1089,0,,False,False,99/99,5,query_op='/' not present in examples
839e7350,not_attempted,abstain,bit_manipulation,00111011,00111011,,True,True,,0,non-equation row
a365e304,not_attempted,abstain,bit_manipulation,11011011,11011011,,True,True,,0,non-equation row
e3bf0c2c,not_numeric_query,abstain,equation_transform,"""`",@`',,False,False,@`}'',5,query is not a numeric binary expression
fdbdf50c,not_numeric_query,abstain,equation_transform,"-\""",|?|,,False,False,|\-?|,5,query is not a numeric binary expression
f3971b9a,not_attempted,abstain,bit_manipulation,00011001,00011001,,True,True,,0,non-equation row
ab71eaa0,not_attempted,abstain,bit_manipulation,00010010,00010010,,True,True,,0,non-equation row
47c1d8f5,not_numeric_query,abstain,equation_transform,]%],/`%`,,False,False,/`#%`,4,query is not a numeric binary expression
bfee75d5,not_attempted,abstain,bit_manipulation,01000010,01000010,,True,True,,0,non-equation row
f9a33aa1,not_numeric_query,abstain,equation_transform,/((`,@($/,,False,False,@(\$/,4,query is not a numeric binary expression
1abaffca,not_attempted,abstain,bit_manipulation,01000000,01011000,,False,False,,0,non-equation row
9f2fae58,operator_not_guarded,abstain,equation_transform,7272,7272,,True,True,88$13,5,query_op='$'
f9799a68,not_numeric_query,abstain,equation_transform,&:/?,:^?\,,False,False,:^*?\,4,query is not a numeric binary expression
c24074a8,not_numeric_query,abstain,equation_transform,&/,]]]%,,False,False,]]`]%,5,query is not a numeric binary expression
bc7618a7,not_attempted,abstain,bit_manipulation,00001100,00001100,,True,True,,0,non-equation row
893ffb06,not_numeric_query,abstain,equation_transform,-@',@``:,,False,False,@`-`:,4,query is not a numeric binary expression
cf4c04c0,not_numeric_query,abstain,equation_transform,-[,@|#|,,False,False,@|-#|,5,query is not a numeric binary expression
8e411cc7,not_numeric_query,abstain,equation_transform,]]],$&&,,False,False,$&!&},4,query is not a numeric binary expression
892d73b5,not_attempted,abstain,bit_manipulation,00010101,00010101,,True,True,,0,non-equation row
41e6cbfc,add_no_unique_direct_variant,abstain,equation_transform,9318,9318,,True,True,18+93,4,direct_add=[]; baseline=9318
dea42835,not_numeric_query,abstain,equation_transform,['[/,['[/,,True,True,[/*[',5,query is not a numeric binary expression
48c25e0e,query_operator_unseen,abstain,equation_transform,53,32,,False,False,43&11,3,query_op='&' not present in examples
e6d2a064,not_attempted,abstain,bit_manipulation,11100011,11100010,,False,False,,0,non-equation row
a1d2bb0c,not_attempted,abstain,bit_manipulation,00100010,00100010,,True,True,,0,non-equation row
4e4fb429,not_attempted,abstain,bit_manipulation,10111110,10111110,,True,True,,0,non-equation row
7ef4d5d6,operator_not_guarded,abstain,equation_transform,>42,>42,,True,True,66>24,4,query_op='>'
3ee36e0a,minus_model_not_opposite_sign,abstain,equation_transform,-51,-51,,True,True,48-99,3,candidate=-51; baseline=-51
39c237c7,not_numeric_query,abstain,equation_transform,{]``,{]``,,True,True,{]+``,3,query is not a numeric binary expression
963e85bb,operator_not_guarded,abstain,equation_transform,76,76,,True,True,52$24,4,query_op='$'
a98d4d53,not_numeric_query,abstain,equation_transform,-),!$$[,,False,False,!$-$[,3,query is not a numeric binary expression
0e70c867,not_attempted,abstain,bit_manipulation,01000000,01001100,,False,False,,0,non-equation row
59733f94,not_numeric_query,abstain,equation_transform,/,$/>/,,False,False,$/->/,5,query is not a numeric binary expression
b1bc3731,operator_not_guarded,abstain,equation_transform,63,63,,True,True,"07""43",3,"query_op='""'"
54b895c1,not_attempted,abstain,bit_manipulation,10111011,10111011,,True,True,,0,non-equation row
ed24e7af,not_attempted,abstain,bit_manipulation,00001001,00001001,,True,True,,0,non-equation row
3cd80c64,not_attempted,abstain,bit_manipulation,01100100,01100100,,True,True,,0,non-equation row
a1523a63,operator_not_guarded,abstain,equation_transform,87,87,,True,True,66%31,3,query_op='%'
f2b23d11,not_attempted,abstain,bit_manipulation,10000000,10000000,,True,True,,0,non-equation row
5cbe919f,not_attempted,abstain,bit_manipulation,00000000,00000000,,True,True,,0,non-equation row
3383d4ec,minus_signed_ambiguous,abstain,equation_transform,66,66,,True,True,39-72,3,"signed_predictions=['-33', '66']"
9dae880f,not_numeric_query,abstain,equation_transform,))[,:<`\,,False,False,:<}`\,5,query is not a numeric binary expression
b43d9cd5,not_attempted,abstain,bit_manipulation,11100100,11100100,,True,True,,0,non-equation row
64890e18,not_attempted,abstain,bit_manipulation,00001100,00001100,,True,True,,0,non-equation row
d6187157,not_attempted,abstain,bit_manipulation,01001000,01001000,,True,True,,0,non-equation row
de91def4,not_attempted,abstain,bit_manipulation,10000111,10000111,,True,True,,0,non-equation row
2af7134e,add_no_unique_direct_variant,abstain,equation_transform,20,20,,True,True,61+41,4,direct_add=[]; baseline=20
ae6be599,not_numeric_query,abstain,equation_transform,#`,$?]$,,False,False,$?+]$,3,query is not a numeric binary expression
b26d8818,operator_not_guarded,abstain,equation_transform,5983,5983,,True,True,68]88,3,query_op=']'
8494aad3,not_numeric_query,abstain,equation_transform,"""`#&","])<""",,False,False,"])*<""",4,query is not a numeric binary expression
8df3daad,query_operator_unseen,abstain,equation_transform,34,34,,True,True,45|11,3,query_op='|' not present in examples
791056ce,operator_not_guarded,abstain,equation_transform,4922,4922,,True,True,58{72,5,query_op='{'
29e458d6,not_attempted,abstain,bit_manipulation,00010010,00010010,,True,True,,0,non-equation row
