id,answer,filtered_trace_rows,best_base_loss,best_cot_correct,best_cot_len,solver_present,solver_answer,solver_metric_correct,solver_category,solver_ops
09d5ee68,!?'!,1,1.162891150033602,True,1003,True,!?'!,True,mixed_concat,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul_m1""}"
00457d26,@&,1,1.3655971950954862,True,962,True,@&,True,arithmetic,"{""*"": ""mul_p1"", ""-"": ""absdiff""}"
518deb39,$,1,1.4064718807444854,True,971,True,$,True,arithmetic,"{""-"": ""mod"", ""*"": ""mul_m1"", ""+"": ""add""}"
82109e34,-@>,1,1.2427569237824911,True,946,True,-@>,True,arithmetic,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}"
e1728524,1089,1,0.27574333749700813,True,11469,False,,,,
e3bf0c2c,"""`",1,1.0402485843703682,True,1090,True,"""`",True,arithmetic,"{"")"": ""mul"", ""}"": ""add_m1""}"
fdbdf50c,"-\""",1,1.1287373564595244,True,1065,True,"-\""",True,little_endian,"{""-"": ""sub_signed"", ""}"": ""add"", ""("": ""mul""}"
47c1d8f5,]%],1,1.2486636822040265,True,938,True,]%],True,little_endian,"{""*"": ""sub_signed"", ""#"": ""add""}"
f9a33aa1,/((`,1,1.1429423625144342,True,957,True,/((`,True,arithmetic,"{""'"": ""neg_absdiff"", ""\\"": ""mul""}"
f9799a68,&:/?,1,1.2666704689977537,True,1020,True,&:/?,True,mixed_concat,"{""+"": ""concat_rev"", ""-"": ""absdiff"", ""*"": ""lcm""}"
c24074a8,&/,1,1.0266455998496404,True,1086,True,&/,True,arithmetic,"{""#"": ""sub_signed"", "">"": ""mul_m1"", ""`"": ""add""}"
893ffb06,-@',1,1.2383802476820054,True,1000,True,-@',True,mixed_concat,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul""}"
cf4c04c0,-[,1,1.118516848189282,True,1078,True,-[,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}"
8e411cc7,]]],1,1.268964431946536,True,938,True,]]],True,arithmetic,"{""!"": ""add"", ""-"": ""mul_m1"", ""#"": ""absdiff""}"
48c25e0e,53,1,0.2752351677566792,True,10780,False,,,,
