id,prompt,answer,family
bit_0000,bit_manipulation fixture 0,bit_answer_0000,bit_manipulation
bit_0001,bit_manipulation fixture 1,bit_answer_0001,bit_manipulation
bit_0002,bit_manipulation fixture 2,bit_answer_0002,bit_manipulation
bit_0003,bit_manipulation fixture 3,bit_answer_0003,bit_manipulation
bit_0004,bit_manipulation fixture 4,bit_answer_0004,bit_manipulation
bit_0005,bit_manipulation fixture 5,bit_answer_0005,bit_manipulation
bit_0006,bit_manipulation fixture 6,bit_answer_0006,bit_manipulation
bit_0007,bit_manipulation fixture 7,bit_answer_0007,bit_manipulation
bit_0008,bit_manipulation fixture 8,bit_answer_0008,bit_manipulation
bit_0009,bit_manipulation fixture 9,bit_answer_0009,bit_manipulation
bit_0010,bit_manipulation fixture 10,bit_answer_0010,bit_manipulation
bit_0011,bit_manipulation fixture 11,bit_answer_0011,bit_manipulation
bit_0012,bit_manipulation fixture 12,bit_answer_0012,bit_manipulation
bit_0013,bit_manipulation fixture 13,bit_answer_0013,bit_manipulation
bit_0014,bit_manipulation fixture 14,bit_answer_0014,bit_manipulation
bit_0015,bit_manipulation fixture 15,bit_answer_0015,bit_manipulation
bit_0016,bit_manipulation fixture 16,bit_answer_0016,bit_manipulation
bit_0017,bit_manipulation fixture 17,bit_answer_0017,bit_manipulation
bit_0018,bit_manipulation fixture 18,bit_answer_0018,bit_manipulation
bit_0019,bit_manipulation fixture 19,bit_answer_0019,bit_manipulation
bit_0020,bit_manipulation fixture 20,bit_answer_0020,bit_manipulation
bit_0021,bit_manipulation fixture 21,bit_answer_0021,bit_manipulation
bit_0022,bit_manipulation fixture 22,bit_answer_0022,bit_manipulation
bit_0023,bit_manipulation fixture 23,bit_answer_0023,bit_manipulation
bit_0024,bit_manipulation fixture 24,bit_answer_0024,bit_manipulation
bit_0025,bit_manipulation fixture 25,bit_answer_0025,bit_manipulation
bit_0026,bit_manipulation fixture 26,bit_answer_0026,bit_manipulation
bit_0027,bit_manipulation fixture 27,bit_answer_0027,bit_manipulation
bit_0028,bit_manipulation fixture 28,bit_answer_0028,bit_manipulation
bit_0029,bit_manipulation fixture 29,bit_answer_0029,bit_manipulation
bit_0030,bit_manipulation fixture 30,bit_answer_0030,bit_manipulation
