id,subtype,solver_category,solver_mode,conditioned_on_answer,old_prediction,answer,solver_answer,oracle_solver_correct,reexecuted_answer,reexecuted_correct,old_correct,oracle_gain,reexecuted_gain,strict_independent_gain,accepted_for_v381_teacher,accepted_for_hf_unlock,rejection_reason,solver_ops,solver_mapping
00457d26,equation_symbolic_punct,arithmetic,standard,True,\boxed[[!'},@&,@&,True,@&,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul_p1"", ""-"": ""absdiff""}","{""!"": 6, ""\"""": 7, ""&"": 8, ""'"": 2, "">"": 0, ""@"": 1, ""["": 4, ""\\"": 3, ""`"": 5, ""{"": 9}"
02902eb3,equation_symbolic_punct,arithmetic,standard,True,!!$>,>/,>/,True,>/,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""add_m1""}","{""!"": 4, ""$"": 3, ""%"": 5, ""&"": 7, "")"": 9, ""/"": 1, "">"": 8, ""]"": 6, ""}"": 2}"
03a3437f,equation_symbolic_punct,mixed_concat,standard,True,'}>/,-!,-!,True,-!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""concat_fwd""}","{""!"": 8, ""'"": 2, ""/"": 3, "":"": 4, "">"": 7, ""`"": 6, ""|"": 1, ""}"": 9}"
09d5ee68,equation_symbolic_punct,mixed_concat,standard,True,|:>>,!?'!,!?'!,True,!?'!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul_m1""}","{""!"": 1, ""$"": 9, ""&"": 2, ""'"": 7, "":"": 8, ""<"": 0, "">"": 4, ""?"": 6, ""|"": 3}"
0bb591e6,equation_symbolic_punct,little_endian,little_endian,True,"""$%%""",%?<,%?<,True,%<<,False,False,True,False,False,False,False,oracle_only_reexecution_failed,"{""-"": ""absdiff"", ""+"": ""add""}","{""\"""": 0, ""$"": 7, ""%"": 4, ""&"": 6, ""("": 5, "")"": 2, ""<"": 1, ""?"": 3}"
0d90736f,equation_symbolic_punct,None,None,False,::)[,:,,False,,False,False,False,False,False,False,False,not_correct_or_no_gain;missing_solver_ops_or_mapping,,
0e009c6d,equation_symbolic_punct,little_endian,little_endian,True,@?`?,`?\!,`?\!,True,`?\!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""'"": ""mul"", ""*"": ""absdiff""}","{""!"": 3, ""#"": 0, ""%"": 8, "")"": 4, ""/"": 7, "">"": 2, ""?"": 6, ""@"": 1, ""\\"": 9, ""`"": 5}"
0fe53bac,equation_symbolic_punct,little_endian,little_endian,True,^?(|,"(""","(""",True,"(""",True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""add""}","{""!"": 3, ""\"""": 7, ""("": 8, "")"": 6, "":"": 9, ""?"": 2, ""@"": 1, ""^"": 0, ""|"": 5, ""}"": 4}"
194695e8,equation_symbolic_punct,None,None,False,!\{<,%,,False,,False,False,False,False,False,False,False,not_correct_or_no_gain;missing_solver_ops_or_mapping,,
208d7838,equation_symbolic_punct,little_endian,little_endian,True,[&<>,[:,[:,True,[:,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""+"": ""add"", ""*"": ""mul_m1"", ""-"": ""absdiff""}","{""#"": 9, ""$"": 1, ""%"": 7, ""&"": 8, "":"": 2, ""<"": 0, "">"": 6, ""["": 5, ""{"": 4, ""}"": 3}"
26e48e98,equation_symbolic_punct,little_endian,little_endian,True,"""%]%{""",){|,){|,True,-{|,False,False,True,False,False,False,False,oracle_only_reexecution_failed,"{"")"": ""sub_signed"", ""`"": ""mul"", ""/"": ""add""}","{""\"""": 3, ""#"": 4, ""%"": 1, ""("": 7, ""<"": 9, ""@"": 6, ""]"": 2, ""{"": 8, ""|"": 5}"
28b0ff48,equation_symbolic_punct,arithmetic,standard,True,|^^^,'],'],True,'],True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""absdiff"", ""+"": ""add_m1"", ""*"": ""mul_p1""}","{""\"""": 7, ""#"": 9, ""'"": 3, ""("": 4, ""/"": 1, ""?"": 6, ""]"": 0, ""^"": 2, ""|"": 5}"
294453b5,equation_symbolic_punct,arithmetic,standard,True,##!),&(,&(,True,&(,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""mod"", ""*"": ""mul_m1""}","{""!"": 2, ""#"": 4, ""&"": 1, ""("": 9, "")"": 5, "":"": 6, "">"": 3, ""@"": 7, ""`"": 0}"
2d3547af,equation_symbolic_punct,arithmetic,standard,True,\${,))^),))^),True,))^),True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""("": ""sub_signed"", ""`"": ""add"", ""&"": ""mul_m1""}","{""!"": 5, ""#"": 7, ""$"": 4, "")"": 1, ""/"": 8, ""<"": 0, "">"": 6, ""\\"": 3, ""^"": 2, ""}"": 9}"
30ac5c8e,equation_symbolic_punct,little_endian,little_endian,True,@\}?,)#?,)#?,True,)#?,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""\"""": 7, ""#"": 0, ""&"": 4, "")"": 6, ""/"": 5, "":"": 8, ""?"": 1, ""@"": 3, ""\\"": 9, ""}"": 2}"
3cb3fd89,equation_symbolic_punct,arithmetic,standard,True,]$$),[[&],[[&],True,[[&],True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""!"": 9, ""$"": 8, ""&"": 7, "")"": 2, ""@"": 3, ""["": 5, ""\\"": 4, ""]"": 6, ""{"": 0, ""|"": 1}"
432b1110,equation_symbolic_punct,mixed_concat,standard,True,\{<?,%[:?,%[:?,True,[:?,False,False,True,False,False,False,False,oracle_only_reexecution_failed,"{""+"": ""concat_fwd"", ""*"": ""lcm""}","{""%"": 0, ""/"": 1, "":"": 7, ""<"": 3, ""?"": 2, ""@"": 9, ""["": 6, ""\\"": 8, ""]"": 5, ""{"": 4}"
47c1d8f5,equation_symbolic_punct,little_endian,little_endian,True,/`%`,]%],]%],True,]%],True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""sub_signed"", ""#"": ""add""}","{""%"": 3, ""("": 7, ""/"": 8, "">"": 5, ""@"": 0, ""]"": 1, ""^"": 4, ""`"": 6, ""{"": 2, ""}"": 9}"
491b8ea5,equation_symbolic_punct,mixed_concat,standard,True,@|]!,)!,)!,True,)!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""absdiff"", ""+"": ""absdiff"", ""*"": ""concat_fwd""}","{""!"": 1, "")"": 4, ""/"": 0, ""@"": 7, ""]"": 3, ""^"": 6, ""{"": 5, ""|"": 2, ""}"": 8}"
4bfd095a,equation_symbolic_punct,arithmetic,standard,True,@/[@,{<<<,{<<<,True,{<<<,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""rsub_signed"", ""*"": ""mul_p1""}","{""\"""": 5, ""%"": 0, "")"": 6, ""/"": 4, ""<"": 9, ""@"": 7, ""["": 2, ""\\"": 3, ""^"": 8, ""{"": 1}"
4ed6b56f,equation_symbolic_punct,arithmetic,standard,True,!:`(,"(""/""","(""/""",True,"(""/""",True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul_p1"", ""+"": ""add_p1"", ""-"": ""absdiff""}","{""!"": 4, ""\"""": 0, ""'"": 7, ""("": 1, ""/"": 3, "":"": 9, "">"": 8, ""]"": 5, ""`"": 2, ""}"": 6}"
518deb39,equation_symbolic_punct,arithmetic,standard,True,{}>{,$,$,True,$,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""mod"", ""*"": ""mul_m1"", ""+"": ""add""}","{""!"": 7, ""\"""": 8, ""$"": 6, ""'"": 2, ""("": 3, ""<"": 1, "">"": 0, ""\\"": 9, ""^"": 5}"
528b694b,equation_symbolic_punct,little_endian,little_endian,True,>]],"""'","""'",True,"""'",True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""<"": ""sub_signed"", ""+"": ""mul""}","{""\"""": 7, ""$"": 4, ""'"": 3, "")"": 1, "">"": 2, ""@"": 8, ""\\"": 9, ""]"": 5, ""^"": 6, ""{"": 0}"
52be4988,equation_symbolic_punct,arithmetic,standard,True,&&&`,'!,'!,True,'!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}","{""!"": 6, ""&"": 4, ""'"": 8, ""/"": 1, ""<"": 5, ""?"": 3, ""["": 7, ""\\"": 0, ""`"": 2, ""|"": 9}"
5501c054,equation_symbolic_punct,arithmetic,standard,True,!##^,[#>#,[#>#,True,[#>#,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""}"": ""add"", ""{"": ""absdiff"", ""$"": ""mul""}","{""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}"
57712d01,equation_symbolic_punct,arithmetic,standard,True,$/'{,-/<,-/<,True,-/<,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""neg_absdiff"", ""+"": ""add_m1"", ""*"": ""mul""}","{""!"": 8, ""\"""": 1, ""$"": 9, ""'"": 4, ""("": 0, ""/"": 5, ""<"": 3, ""?"": 6, ""`"": 7, ""{"": 2}"
57f6878e,equation_symbolic_punct,little_endian,little_endian,True,|@(!,%{{,%{{,True,%{{,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""<"": ""add"", ""&"": ""absdiff""}","{""$"": 4, ""%"": 8, ""("": 9, "")"": 7, ""/"": 6, "":"": 5, ""@"": 2, ""^"": 0, ""{"": 1, ""|"": 3}"
58c099d2,equation_symbolic_punct,arithmetic,standard,True,^!#\,-)\,-)\,True,-)\,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""add_m1""}","{""!"": 0, ""#"": 4, ""&"": 9, "")"": 1, ""\\"": 6, ""]"": 5, ""^"": 3, ""`"": 2, ""|"": 7}"
59733f94,equation_symbolic_punct,little_endian,little_endian,True,$/>/,/,/,True,/,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""*"": ""mul""}","{""#"": 7, ""$"": 5, ""/"": 3, "":"": 4, "">"": 2, ""?"": 6, ""["": 1, ""^"": 8, ""{"": 0, ""}"": 9}"
5b2523e6,equation_symbolic_punct,arithmetic,standard,True,><\$,&&,&&,True,&&,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""+"": ""add_m1"", ""*"": ""mul_m1"", ""-"": ""absdiff""}","{""!"": 3, ""$"": 6, ""&"": 2, ""'"": 1, "")"": 0, "":"": 5, ""<"": 8, "">"": 9, ""?"": 4, ""\\"": 7}"
5bcb572e,equation_symbolic_punct,little_endian,little_endian,True,"""{!""",-!#,-!#,True,-!#,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""!"": 4, ""\"""": 7, ""#"": 2, ""("": 9, "")"": 5, ""/"": 0, ""["": 3, ""]"": 8, ""{"": 1}"
5f9f0ed7,equation_symbolic_punct,little_endian,little_endian,True,|!@[,}/!},}/!},True,}/!},True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""*"": ""mul_p1"", ""+"": ""add""}","{""!"": 4, ""/"": 7, "">"": 6, ""@"": 0, ""["": 3, ""]"": 2, ""`"": 5, ""|"": 9, ""}"": 1}"
61557701,equation_symbolic_punct,arithmetic,standard,True,'{),|&,|&,True,|&,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""add_m1""}","{""\"""": 5, ""$"": 2, ""&"": 9, ""'"": 3, ""("": 1, "")"": 6, "":"": 8, ""{"": 4, ""|"": 7, ""}"": 0}"
638f93ca,equation_symbolic_punct,arithmetic,standard,True,$]<$,@,@,True,@,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul_p1"", ""-"": ""absdiff""}","{""#"": 5, ""$"": 4, ""'"": 9, ""/"": 6, ""<"": 2, "">"": 7, ""?"": 1, ""@"": 8, ""]"": 3, ""`"": 0}"
6cc5dafb,equation_symbolic_punct,arithmetic,standard,True,^&>),)(,)(,True,)(,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""absdiff"", ""\\"": ""mul"", ""!"": ""add""}","{""\"""": 1, ""#"": 3, ""%"": 0, ""&"": 9, ""'"": 5, ""("": 6, "")"": 7, "">"": 2, ""]"": 8, ""^"": 4}"
6e56b39a,equation_symbolic_punct,arithmetic,standard,True,&#!,-/#,-/#,True,-/#,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""neg_absdiff""}","{""!"": 9, ""#"": 6, ""%"": 5, ""&"": 7, "")"": 8, ""/"": 1, "">"": 3, ""["": 4, ""]"": 2, ""^"": 0}"
7a422e17,equation_symbolic_punct,little_endian,little_endian,True,"#`""",%'!,%'!,True,%'!,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""@"": ""mul"", ""+"": ""add""}","{""!"": 7, ""\"""": 1, ""#"": 2, ""%"": 6, ""&"": 0, ""'"": 5, "":"": 3, ""`"": 4, ""{"": 8, ""}"": 9}"
8193e7e0,equation_symbolic_punct,mixed_concat,standard,True,#?&`,??{`,??{`,True,??{`,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""concat_fwd""}","{""!"": 0, ""#"": 2, ""&"": 5, ""'"": 8, ""/"": 4, ""?"": 1, ""]"": 3, ""`"": 6, ""{"": 7}"
82109e34,equation_symbolic_punct,arithmetic,standard,True,'^^^',-@>,-@>,True,-@>,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}","{""#"": 2, ""$"": 5, ""'"": 9, ""/"": 7, "":"": 3, "">"": 0, ""?"": 6, ""@"": 1, ""\\"": 4, ""^"": 8}"
837a6ae7,equation_symbolic_punct,arithmetic,standard,True,"<:{""",<>\>,<>\>,True,<>\>,True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""add_m1"", ""*"": ""mul_p1""}","{""\"""": 9, ""#"": 3, ""%"": 6, ""&"": 5, "":"": 8, ""<"": 2, "">"": 4, ""@"": 1, ""\\"": 0, ""{"": 7}"
844f826c,equation_symbolic_punct,mixed_concat,standard,True,`@>``,"/""","/""",True,>,False,False,True,False,False,False,False,oracle_only_reexecution_failed,"{""$"": ""concat_fwd"", ""*"": ""absdiff"", ""-"": ""mul""}","{""\"""": 7, ""#"": 6, "")"": 8, ""/"": 3, "">"": 1, ""@"": 2, ""]"": 9, ""^"": 4, ""`"": 5}"
8494aad3,equation_symbolic_punct,mixed_concat,standard,True,"])<""","""`#&","""`#&",True,"""`#&",True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""*"": ""mul_p1"", ""+"": ""concat_fwd""}","{""!"": 1, ""\"""": 4, ""#"": 6, ""&"": 9, "")"": 2, ""<"": 8, ""@"": 7, ""]"": 5, ""^"": 0, ""`"": 3}"
893ffb06,equation_symbolic_punct,mixed_concat,standard,True,@``:,-@',-@',True,-@',True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul""}","{""!"": 0, ""'"": 9, "")"": 1, "":"": 6, ""@"": 3, ""`"": 7, ""{"": 4, ""|"": 5, ""}"": 2}"
8e411cc7,equation_symbolic_punct,arithmetic,standard,True,$&&,]]],]]],True,]]],True,False,True,True,False,True,False,teacher_only_conditioned_mapping,"{""!"": ""add"", ""-"": ""mul_m1"", ""#"": ""absdiff""}","{""\"""": 2, ""$"": 7, ""&"": 3, ""("": 6, ""/"": 9, "":"": 4, ""<"": 0, ""]"": 1, ""^"": 5, ""}"": 8}"
90feb0c5,equation_symbolic_punct,mixed_concat,standard,True,?>>>,:<],:<],True,:}?,False,False,True,False,False,False,False,oracle_only_reexecution_failed,"{""+"": ""concat_fwd"", ""'"": ""add""}","{"")"": 6, "":"": 1, ""<"": 3, "">"": 7, ""?"": 4, ""\\"": 8, ""]"": 5, ""`"": 0, ""}"": 2}"
