id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,changed,already_known_v414,status,reason,scope,alphabet_name,support_rows,program_count,program_label
e518256e,84,84,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
09d5ee68,!?'!,|:>>,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
00457d26,@&,\boxed[[!'},False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
518deb39,$,{}>{,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
82109e34,-@>,'^^^',False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
5e67b1a1,63,63,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
e1728524,1089,0,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
e3bf0c2c,"""`",@`',False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
fdbdf50c,"-\""",|?|,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
47c1d8f5,]%],/`%`,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
f9a33aa1,/((`,@($/,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
9f2fae58,7272,7272,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
f9799a68,&:/?,:^?\,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
c24074a8,&/,]]]%,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
893ffb06,-@',@``:,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
cf4c04c0,-[,@|#|,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
8e411cc7,]]],$&&,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
41e6cbfc,9318,9318,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
dea42835,['[/,['[/,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
48c25e0e,53,32,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
7ef4d5d6,>42,>42,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
3ee36e0a,-51,-51,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
39c237c7,{]``,{]``,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
963e85bb,76,76,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
a98d4d53,-),!$$[,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
59733f94,/,$/>/,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b1bc3731,63,63,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
a1523a63,87,87,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
3383d4ec,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
9dae880f,))[,:<`\,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
2af7134e,20,20,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
ae6be599,#`,$?]$,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b26d8818,5983,5983,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
8494aad3,"""`#&","])<""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
8df3daad,34,34,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
791056ce,4922,4922,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
3c12aeb9,321,321,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
69aa57b3,4472,4472,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
e3890bf7,{@%],(^@{,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
d204b9cc,231,231,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
d29e19a4,?|,|''>,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b06625c4,^&/,"""$ $]""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
84030b0b,24,24,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
52be4988,'!,&&&`,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
99d6a3b5,?()<,(<)),False,,False,False,True,abstain,no_rank_arithmetic_candidate,,,,,
2d3547af,))^),\${,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
28b0ff48,'],|^^^,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
3fa49035,696,696,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
61557701,|&,'{),False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
56343b77,711,711,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
7ac90433,-23,-23,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
02902eb3,>/,!!$>,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
0d90736f,:,::)[,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
294453b5,&(,##!),False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
386b6d03,671,18,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
57f6878e,%{{,|@(!,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
bc83b0a1,(/&{,(/&{,True,(/&{,True,False,False,candidate,unique_rank_arithmetic_prediction,same_operator_examples,ascii_seen,3,32,"same_operator_examples|ascii_seen|0:min(L0,L1),1:max(L0,L1),2:R0,3:max(L0,R1)"
a361a1b7,:46,46,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
d911e8e1,:\:,@}<',False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
7688e06e,-55,55,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
dbd0e3c9,5631,5631,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
2e2d60b2,07,07,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
5f9f0ed7,}/!},|!@[,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
333d93ec,7,7,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
74fff108,49,49,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
c43b5a13,)|,$):$,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b0206bb7,]$!,$){,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
638f93ca,@,$]<$,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
4bfd095a,{<<<,@/[@,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
7a422e17,%'!,"#`""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
5b2523e6,&&,><\$,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
0fe53bac,"(""",^?(|,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
