id,family,old_prediction,new_prediction,answer,old_correct,new_correct,sources,rules,proofs
048cc279,bit_manipulation,01111000,01010000,01010000,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_MAJ3,"MAJ3(ROL1,SHL3,SHR2)"
05ca617c,bit_manipulation,01011011,11011011,11011011,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(ROL7,OR(ROL1,SHR1))"
06120e47,bit_manipulation,11111110,11110010,11110010,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"OR_NOT(XOR(SHL2,SHR2),ROL2)"
0e70c867,bit_manipulation,01001100,01000000,01000000,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"AND(ROL2,OR(SHL4,SHR5))"
1a7c8520,bit_manipulation,01100110,01100000,01100000,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_MAJ3,"MAJ3(ROL2,SHL1,SHR5)"
1abaffca,bit_manipulation,01011000,01000000,01000000,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_CHO,"CHO(SHL2,SHR3,ROL1)"
202af98d,bit_manipulation,11111111,11111101,11111101,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"OR_NOT(SHR1,XOR(ROL3,SHL1))"
3a7dd604,bit_manipulation,01001011,01001010,01001010,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(ROL7,OR(SHL6,SHR7))"
3ace787f,bit_manipulation,11111111,11111011,11111011,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(ROL3,OR(ROL6,SHR5))"
55d834d1,bit_manipulation,10111111,00111111,00111111,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(SHL7,AND_NOT(ROL4,SHR3))"
5ba26f21,bit_manipulation,01111110,01011100,01011100,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_CHO,"CHO(SHL1,SHR1,ROL4)"
7192535b,bit_manipulation,00001010,00000010,00000010,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_MAJ3,"MAJ3(ROL5,SHL1,SHR4)"
78d02fc5,bit_manipulation,11001011,11001001,11001001,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(ROL2,OR(SHL6,SHR7))"
82ae858c,bit_manipulation,11111101,11001101,11001101,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"OR_NOT(SHR2,XOR(ROL5,SHL2))"
a6192d29,bit_manipulation,01111110,00001000,00001000,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_MAJ3,"MAJ3(ROL6,SHL1,SHR1)"
a6704625,bit_manipulation,00011111,00001101,00001101,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"OR_NOT(SHR3,XOR(ROL4,SHL1))"
b8722d19,bit_manipulation,11110100,00100100,00100100,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_CHO,"CHO(SHL2,SHR1,ROL3)"
b8aa3072,bit_manipulation,00000111,00000011,00000011,False,True,v366_bit_fullbyte_ternary_op_gate,bit_fullbyte_ternary_op_CHO,"CHO(SHL2,SHR4,ROL7)"
e1f3ffbb,bit_manipulation,11111011,11111010,11111010,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"OR_NOT(XOR(SHL1,SHR4),ROL1)"
e6d2a064,bit_manipulation,11100010,11100011,11100011,False,True,v357_bit_global_ternary_gate,bit_exact_global_ternary_unique_prediction,"XNOR(SHL2,AND_NOT(ROL5,SHR7))"
