split,rule_slug,rows,expr,rule_class
train,and_rol2_or_shl4_shr5,64,"AND(ROL2,OR(SHL4,SHR5))",bit_exact_global_ternary_unique_prediction
train,or_not_shr1_xor_rol3_shl1,64,"OR_NOT(SHR1,XOR(ROL3,SHL1))",bit_exact_global_ternary_unique_prediction
train,or_not_shr2_xor_rol5_shl2,64,"OR_NOT(SHR2,XOR(ROL5,SHL2))",bit_exact_global_ternary_unique_prediction
train,or_not_shr3_xor_rol4_shl1,64,"OR_NOT(SHR3,XOR(ROL4,SHL1))",bit_exact_global_ternary_unique_prediction
train,or_not_shr4_xor_rol1_shl2,64,"OR_NOT(SHR4,XOR(ROL1,SHL2))",bit_exact_global_ternary_unique_prediction
train,or_not_xor_shl1_shr4_rol1,64,"OR_NOT(XOR(SHL1,SHR4),ROL1)",bit_exact_global_ternary_unique_prediction
train,or_not_xor_shl2_shr2_rol2,64,"OR_NOT(XOR(SHL2,SHR2),ROL2)",bit_exact_global_ternary_unique_prediction
train,or_rol2_shl4,160,"OR(ROL2,SHL4)",bit_exact_global_binary_OR
train,xnor_rol2_or_shl6_shr7,64,"XNOR(ROL2,OR(SHL6,SHR7))",bit_exact_global_ternary_unique_prediction
train,xnor_rol3_or_rol6_shr5,64,"XNOR(ROL3,OR(ROL6,SHR5))",bit_exact_global_ternary_unique_prediction
train,xnor_rol7_or_rol1_shr1,64,"XNOR(ROL7,OR(ROL1,SHR1))",bit_exact_global_ternary_unique_prediction
train,xnor_rol7_or_shl6_shr7,64,"XNOR(ROL7,OR(SHL6,SHR7))",bit_exact_global_ternary_unique_prediction
train,xnor_shl2_and_not_rol5_shr7,64,"XNOR(SHL2,AND_NOT(ROL5,SHR7))",bit_exact_global_ternary_unique_prediction
train,xnor_shl7_and_not_rol4_shr3,64,"XNOR(SHL7,AND_NOT(ROL4,SHR3))",bit_exact_global_ternary_unique_prediction
train,xor_shl1_shr4,160,"XOR(SHL1,SHR4)",bit_exact_global_binary_XOR
validation,and_rol2_or_shl4_shr5,16,"AND(ROL2,OR(SHL4,SHR5))",bit_exact_global_ternary_unique_prediction
validation,or_not_shr1_xor_rol3_shl1,16,"OR_NOT(SHR1,XOR(ROL3,SHL1))",bit_exact_global_ternary_unique_prediction
validation,or_not_shr2_xor_rol5_shl2,16,"OR_NOT(SHR2,XOR(ROL5,SHL2))",bit_exact_global_ternary_unique_prediction
validation,or_not_shr3_xor_rol4_shl1,16,"OR_NOT(SHR3,XOR(ROL4,SHL1))",bit_exact_global_ternary_unique_prediction
validation,or_not_shr4_xor_rol1_shl2,16,"OR_NOT(SHR4,XOR(ROL1,SHL2))",bit_exact_global_ternary_unique_prediction
validation,or_not_xor_shl1_shr4_rol1,16,"OR_NOT(XOR(SHL1,SHR4),ROL1)",bit_exact_global_ternary_unique_prediction
validation,or_not_xor_shl2_shr2_rol2,16,"OR_NOT(XOR(SHL2,SHR2),ROL2)",bit_exact_global_ternary_unique_prediction
validation,or_rol2_shl4,40,"OR(ROL2,SHL4)",bit_exact_global_binary_OR
validation,xnor_rol2_or_shl6_shr7,16,"XNOR(ROL2,OR(SHL6,SHR7))",bit_exact_global_ternary_unique_prediction
validation,xnor_rol3_or_rol6_shr5,16,"XNOR(ROL3,OR(ROL6,SHR5))",bit_exact_global_ternary_unique_prediction
validation,xnor_rol7_or_rol1_shr1,16,"XNOR(ROL7,OR(ROL1,SHR1))",bit_exact_global_ternary_unique_prediction
validation,xnor_rol7_or_shl6_shr7,16,"XNOR(ROL7,OR(SHL6,SHR7))",bit_exact_global_ternary_unique_prediction
validation,xnor_shl2_and_not_rol5_shr7,16,"XNOR(SHL2,AND_NOT(ROL5,SHR7))",bit_exact_global_ternary_unique_prediction
validation,xnor_shl7_and_not_rol4_shr3,16,"XNOR(SHL7,AND_NOT(ROL4,SHR3))",bit_exact_global_ternary_unique_prediction
validation,xor_shl1_shr4,40,"XOR(SHL1,SHR4)",bit_exact_global_binary_XOR
