dataset,path,row_count,rows,blocking_issue_count,blocking_issue_counts,issue_type_counts,parse_errors,duplicate_ids,duplicate_prompts,duplicate_prompt_answers,prompt_answer_conflicts,missing_required_rows,empty_answer_rows,empty_prompt_rows,raw_output_rows,assistant_answer_mismatch_rows,nonboxed_rows,missing_anti_leak_flags,true_anti_leak_flags,blocked_markers,reference_overlaps,family_counts,source_counts,subcategory_counts,schema_counts,assistant_style_counts,sample_assistant_mismatch_ids,sample_nonboxed_ids,sample_missing_required,hard_fail_codes,status
v293_v274_distill_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_v274_distill_dataset\20260511T2338Z\v293_v274_distill_train.jsonl,7776,7776,0,{},{},0,0,0,0,0,0,0,0,0,0,7776,"{""full_gate_rows_used_for_training"": 7776, ""gate_rows_used_for_training"": 7776}",{},{},{},"{""bit_manipulation"": 1800, ""equation_transform"": 5400, ""gravity_constant"": 144, ""numeral_system"": 144, ""text_encryption"": 144, ""unit_conversion"": 144}","{""v215_replay_anchor"": 741, ""v216_base_clean_safe_strict_bit"": 1197, ""v216_base_clean_safe_strict_equation"": 423, ""v216_synthetic_kg1_bit_rules"": 439, ""v216_synthetic_kg1_numeric_rules"": 95, ""v216_synthetic_kg1_symbolic_rules"": 381, ""v293_v274_rule_distill_synthetic"": 4500}","{""bit_manipulation"": 439, ""equation numeric"": 23, ""equation symbolic/mixed"": 400, ""equation_numeric"": 95, ""equation_numeric_add_direct"": 1500, ""equation_numeric_colon_absdiff"": 1500, ""equation_numeric_minus_signed"": 1500, ""equation_symbolic_binary"": 184, ""equation_symbolic_unary"": 197, ""unknown"": 1938}","{"""": 7776}","{""final_answer_unboxed"": 7776}",,v293_train_minus_signed_01358 v293_train_colon_absdiff_01037 v217_train_3afb88292db7764e v217_train_95879014d9b5dafd v293_train_colon_absdiff_00043 v293_train_add_direct_00157 v217_train_f71bf176b24fd8f3 v293_train_minus_signed_00940 v217_train_80f84f515ad2b708 v293_train_colon_absdiff_01178 v217_train_922378af581588a9 v217_train_c0b2468aaeb3170d v293_train_minus_signed_01179 v217_train_01f2b1e4c2acf8cd v293_train_colon_absdiff_00625 v217_train_615fde7c3000f435 v293_train_colon_absdiff_01004 v293_train_minus_signed_00537 v217_train_4901e6768e532078 v217_train_87f8d3371fe222de,,,ok
v293_v274_distill_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_v274_distill_dataset\20260511T2338Z\v293_v274_distill_val.jsonl,678,678,0,{},{},0,0,0,0,0,0,0,0,0,0,678,"{""full_gate_rows_used_for_training"": 678, ""gate_rows_used_for_training"": 678}",{},{},{},"{""bit_manipulation"": 164, ""equation_transform"": 450, ""gravity_constant"": 16, ""numeral_system"": 16, ""text_encryption"": 16, ""unit_conversion"": 16}","{""v215_replay_anchor"": 95, ""v216_base_clean_safe_strict_bit"": 80, ""v216_base_clean_safe_strict_equation"": 50, ""v216_synthetic_kg1_bit_rules"": 54, ""v216_synthetic_kg1_numeric_rules"": 23, ""v216_synthetic_kg1_symbolic_rules"": 106, ""v293_v274_rule_distill_synthetic"": 270}","{""bit_manipulation"": 54, ""equation numeric"": 4, ""equation symbolic/mixed"": 46, ""equation_numeric"": 23, ""equation_numeric_add_direct"": 90, ""equation_numeric_colon_absdiff"": 90, ""equation_numeric_minus_signed"": 90, ""equation_symbolic_binary"": 61, ""equation_symbolic_unary"": 45, ""unknown"": 175}","{"""": 678}","{""final_answer_unboxed"": 678}",,v217_val_88298213500d2190 v217_val_5f3834f87b8cebbc v293_validation_minus_signed_00074 v217_val_ecad4b5c138a1f48 v217_val_1c1a2541bae6b0a0 v293_validation_colon_absdiff_00034 v293_validation_minus_signed_00012 v293_validation_minus_signed_00068 v217_val_9c9a15e2a1976fc4 v217_val_631656a9a5577039 v293_validation_add_direct_00053 v217_val_1004b01b951facee v217_val_4297d339ecc33c96 v293_validation_add_direct_00082 v293_validation_minus_signed_00041 v293_validation_colon_absdiff_00041 v217_val_109165ecceca27d6 v217_val_e597ba11b9596406 v293_validation_colon_absdiff_00047 v217_val_9ec9879bf00009fa,,,ok
v390_v326_equation_bit_replay_mix_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v390_v326_equation_bit_replay_mix_dataset\20260514T193847Z\v390_v326_equation_bit_replay_mix_train.jsonl,5031,5031,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 4231, ""equation_transform"": 800}","{""v215_replay_anchor"": 253, ""v216_base_clean_safe_strict_bit"": 1796, ""v216_synthetic_kg1_bit_rules"": 646, ""v304_solver_trace_bit_fullbyte_distill_exact"": 1056, ""v304_solver_trace_bit_fullbyte_distill_random"": 480, ""v325_equation_no_loss_distill"": 800}","{""bit_fullbyte_binary"": 120, ""bit_fullbyte_safe_ternary"": 360, ""bit_fullbyte_v300_gain_pattern"": 1056, ""bit_manipulation"": 646, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""unknown"": 2049}","{"""": 4231, ""kg1_v325_equation_no_loss_distill_v1"": 800}","{""boxed"": 5031}",,,,,ok
v390_v326_equation_bit_replay_mix_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v390_v326_equation_bit_replay_mix_dataset\20260514T193847Z\v390_v326_equation_bit_replay_mix_val.jsonl,532,532,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 332, ""equation_transform"": 200}","{""v215_replay_anchor"": 30, ""v216_base_clean_safe_strict_bit"": 80, ""v216_synthetic_kg1_bit_rules"": 54, ""v304_solver_trace_bit_fullbyte_distill_exact"": 88, ""v304_solver_trace_bit_fullbyte_distill_random"": 80, ""v325_equation_no_loss_distill"": 200}","{""bit_fullbyte_binary"": 20, ""bit_fullbyte_safe_ternary"": 60, ""bit_fullbyte_v300_gain_pattern"": 88, ""bit_manipulation"": 54, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""unknown"": 110}","{"""": 332, ""kg1_v325_equation_no_loss_distill_v1"": 200}","{""boxed"": 532}",,,,,ok
v406_solver_first_transfer_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v406_solver_first_transfer_dataset\20260514T_v406_solver_first_transfer\v406_solver_first_transfer_train.jsonl,2064,2064,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 1024}",{},{},{},"{""bit_manipulation"": 1024, ""equation_transform"": 1040}","{""v406_v217_bit_replay_guardrail"": 512, ""v406_v330_symbolic_cryptarithm"": 240, ""v406_v390_v325_equation_numeric"": 800, ""v406_v403_exact_global_bit_rule"": 512}","{""bit_exact_global_v403"": 512, ""bit_manipulation"": 141, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""equation_symbolic_cryptarithm_single_operator_mul"": 240, ""unknown"": 371}","{"""": 1024, ""kg1_v325_equation_no_loss_distill_v1"": 800, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 240}","{""boxed"": 2064}",,,,,ok
v406_solver_first_transfer_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v406_solver_first_transfer_dataset\20260514T_v406_solver_first_transfer\v406_solver_first_transfer_val.jsonl,516,516,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 256}",{},{},{},"{""bit_manipulation"": 256, ""equation_transform"": 260}","{""v406_v217_bit_replay_guardrail"": 128, ""v406_v330_symbolic_cryptarithm"": 60, ""v406_v390_v325_equation_numeric"": 200, ""v406_v403_exact_global_bit_rule"": 128}","{""bit_exact_global_v403"": 128, ""bit_manipulation"": 40, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""equation_symbolic_cryptarithm_single_operator_mul"": 60, ""unknown"": 88}","{"""": 256, ""kg1_v325_equation_no_loss_distill_v1"": 200, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 60}","{""boxed"": 516}",,,,,ok
v410_solver_first_transfer_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v410_solver_first_transfer_dataset\20260514T_v410_solver_first_transfer\v410_solver_first_transfer_train.jsonl,2320,2320,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 1280}",{},{},{},"{""bit_manipulation"": 1280, ""equation_transform"": 1040}","{""v406_v217_bit_replay_guardrail"": 512, ""v410_v330_symbolic_cryptarithm"": 240, ""v410_v390_v325_equation_numeric"": 800, ""v410_v403_exact_global_bit_rule"": 512, ""v410_v408_perbit_asym_rule"": 256}","{""bit_manipulation"": 109, ""bit_solver_first_v410"": 768, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""equation_symbolic_cryptarithm_single_operator_mul"": 240, ""unknown"": 403}","{"""": 1280, ""kg1_v325_equation_no_loss_distill_v1"": 800, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 240}","{""boxed"": 2320}",,,,,ok
v410_solver_first_transfer_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v410_solver_first_transfer_dataset\20260514T_v410_solver_first_transfer\v410_solver_first_transfer_val.jsonl,580,580,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 320}",{},{},{},"{""bit_manipulation"": 320, ""equation_transform"": 260}","{""v406_v217_bit_replay_guardrail"": 128, ""v410_v330_symbolic_cryptarithm"": 60, ""v410_v390_v325_equation_numeric"": 200, ""v410_v403_exact_global_bit_rule"": 128, ""v410_v408_perbit_asym_rule"": 64}","{""bit_manipulation"": 46, ""bit_solver_first_v410"": 192, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""equation_symbolic_cryptarithm_single_operator_mul"": 60, ""unknown"": 82}","{"""": 320, ""kg1_v325_equation_no_loss_distill_v1"": 200, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 60}","{""boxed"": 580}",,,,,ok
v416_rawstyle_transfer_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v416_rawstyle_transfer_dataset\20260515T_v416_rawstyle_transfer\v416_rawstyle_transfer_train.jsonl,2320,2320,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 1280}",{},{},{},"{""bit_manipulation"": 1280, ""equation_transform"": 1040}","{""v406_v217_bit_replay_guardrail_rawstyle_v416"": 512, ""v410_v330_symbolic_cryptarithm_rawstyle_v416"": 240, ""v410_v390_v325_equation_numeric_rawstyle_v416"": 800, ""v410_v403_exact_global_bit_rule_rawstyle_v416"": 512, ""v410_v408_perbit_asym_rule_rawstyle_v416"": 256}","{""bit_manipulation"": 109, ""bit_solver_first_v410"": 768, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160, ""equation_symbolic_cryptarithm_single_operator_mul"": 240, ""unknown"": 403}","{"""": 1280, ""kg1_v325_equation_no_loss_distill_v1"": 800, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 240}","{""boxed"": 2320}",,,,,ok
v416_rawstyle_transfer_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v416_rawstyle_transfer_dataset\20260515T_v416_rawstyle_transfer\v416_rawstyle_transfer_val.jsonl,580,580,0,{},{},0,0,0,0,0,0,0,0,0,0,0,"{""gate_rows_used_for_training"": 320}",{},{},{},"{""bit_manipulation"": 320, ""equation_transform"": 260}","{""v406_v217_bit_replay_guardrail_rawstyle_v416"": 128, ""v410_v330_symbolic_cryptarithm_rawstyle_v416"": 60, ""v410_v390_v325_equation_numeric_rawstyle_v416"": 200, ""v410_v403_exact_global_bit_rule_rawstyle_v416"": 128, ""v410_v408_perbit_asym_rule_rawstyle_v416"": 64}","{""bit_manipulation"": 46, ""bit_solver_first_v410"": 192, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40, ""equation_symbolic_cryptarithm_single_operator_mul"": 60, ""unknown"": 82}","{"""": 320, ""kg1_v325_equation_no_loss_distill_v1"": 200, ""kg1_v330_symbolic_cryptarithm_distill_dataset_v1"": 60}","{""boxed"": 580}",,,,,ok
