id,source_id,split,family,subcategory,parse_status,subtype,query,answer,adapter_prediction,candidate_source,rule_class,status,prediction,candidate_correct,candidate_conflict,class_safe,row_promoted,rejection_reason,candidate_program_count,unique_prediction_count,loo_checked,loo_passed,proof
v439_v435e_hard_negative_000b53cf,000b53cf,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,01000011,00011111,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_00890aff,00890aff,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,01110000,01111100,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_012fb81b,012fb81b,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,10000100,01000100,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_0245b9bb,0245b9bb,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,00001001,00011001,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_0311b798,0311b798,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,00000100,00001100,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_04d8c3e6,04d8c3e6,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,10000000,00000000,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_053f87d3,053f87d3,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,11111111,11011111,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_06881e47,06881e47,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,11111100,01111100,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_06b5da9f,06b5da9f,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,00011010,00111010,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_07e8cf66,07e8cf66,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,10010110,10011110,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_0b16458a,0b16458a,train,bit_manipulation,bit_adapter_exact_wrong,alice_marker_not_found,,,01110000,01100000,,,abstain,,False,False,False,False,not_equation,0,0,0,0,
v439_v435e_hard_negative_00c032a8,00c032a8,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,))!\),\^?,))\ ),,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_017a871e,017a871e,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,"#!-""^",\:,"#!""^",,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_01b2aa67,01b2aa67,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,|}+@},+},|}@,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_01ef1e3e,01ef1e3e,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,''+`!,[](,''`!,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_02664ad5,02664ad5,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,!}-(!,:}',!}(!,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_02c15453,02c15453,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,>'-]',(,>']',,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_02e871e4,02e871e4,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,\]-]#,$',]\]#,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_035c4c40,035c4c40,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,?<-'#,??,?<'#,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_042f1e53,042f1e53,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,&&-&?,-},&&&?,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_0454705a,0454705a,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,(}'}|,%}|,(}||,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_05109055,05109055,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,\(:|/,`>%/,\(|/,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_053f4545,053f4545,train,equation_transform,equation_numeric_operator_to_number,ok,equation_numeric_operator,06@77,731,71,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_055a8b01,055a8b01,train,equation_transform,equation_symbolic_short,ok,equation_symbolic_punct,//-/$,',///$,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_06083e68,06083e68,train,equation_transform,equation_symbolic_sequence,ok,equation_symbolic_punct,>\*:!,:::,>\!:,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
v439_v435e_hard_negative_065f9dea,065f9dea,train,equation_transform,equation_numeric_operator_to_symbolic,ok,equation_numeric_operator,43*96,*53,53,,,abstain,,False,False,False,False,no_candidate,0,0,0,0,
