id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,already_known_v414,status,reason,proof
e518256e,84,84,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
09d5ee68,!?'!,|:>>,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
00457d26,@&,\boxed[[!'},False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
518deb39,$,{}>{,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
82109e34,-@>,'^^^',False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
5e67b1a1,63,63,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
e1728524,1089,0,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
e3bf0c2c,"""`",@`',False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
fdbdf50c,"-\""",|?|,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
47c1d8f5,]%],/`%`,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
f9a33aa1,/((`,@($/,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
9f2fae58,7272,7272,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
f9799a68,&:/?,:^?\,False,?\:^,False,False,candidate,unique_structural_template,"{""loo_checked"": 3, ""loo_passed"": 3, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 3, ""top_programs"": [""all_examples::pos:3,pos:4,pos:0,pos:1""], ""top_score"": [-3, 0, 0, -3]}"
c24074a8,&/,]]]%,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
893ffb06,-@',@``:,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
cf4c04c0,-[,@|#|,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
8e411cc7,]]],$&&,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
41e6cbfc,9318,9318,True,9318,True,False,candidate,unique_structural_template,"{""loo_checked"": 4, ""loo_passed"": 4, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 4, ""top_programs"": [""all_examples::pos:3,pos:4,pos:0,pos:1""], ""top_score"": [-4, 0, 0, -4]}"
dea42835,['[/,['[/,True,['[/,True,False,candidate,unique_structural_template,"{""loo_checked"": 3, ""loo_passed"": 3, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 3, ""top_programs"": [""all_examples::pos:3,pos:4,pos:0,pos:1"", ""same_operator_examples::pos:3,pos:4,pos:0,pos:1""], ""top_score"": [-3, 0, 0, -3]}"
48c25e0e,53,32,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
7ef4d5d6,>42,>42,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
3ee36e0a,-51,-51,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
39c237c7,{]``,{]``,True,{]``,True,False,candidate,unique_structural_template,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""same_operator_examples::pos:0,pos:1,pos:3,pos:4""], ""top_score"": [0, 0, 0, -2]}"
963e85bb,76,76,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
a98d4d53,-),!$$[,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
59733f94,/,$/>/,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
b1bc3731,63,63,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
a1523a63,87,87,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
3383d4ec,66,66,True,7239,False,False,candidate,unique_structural_template,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::pos:3,pos:4,pos:0,pos:1""], ""top_score"": [0, 0, 0, -2]}"
9dae880f,))[,:<`\,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
2af7134e,20,20,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
ae6be599,#`,$?]$,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
b26d8818,5983,5983,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
8494aad3,"""`#&","])<""",False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
8df3daad,34,34,True,4511,False,False,candidate,unique_structural_template,"{""loo_checked"": 3, ""loo_passed"": 3, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 3, ""top_programs"": [""all_examples::pos:0,pos:1,pos:3,pos:4""], ""top_score"": [-3, 0, 0, -3]}"
791056ce,4922,4922,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
3c12aeb9,321,321,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
69aa57b3,4472,4472,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
e3890bf7,{@%],(^@{,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
d204b9cc,231,231,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
d29e19a4,?|,|''>,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
b06625c4,^&/,"""$ $]""",False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
84030b0b,24,24,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
52be4988,'!,&&&`,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
99d6a3b5,?()<,(<)),False,,False,True,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
2d3547af,))^),\${,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
28b0ff48,'],|^^^,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
3fa49035,696,696,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
61557701,|&,'{),False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
56343b77,711,711,True,7417,False,False,candidate,unique_structural_template,"{""loo_checked"": 0, ""loo_passed"": 0, ""reason"": ""unique_structural_template"", ""status"": ""candidate"", ""support_rows"": 2, ""top_programs"": [""all_examples::pos:3,pos:4,pos:0,pos:1""], ""top_score"": [0, 0, 0, -2]}"
7ac90433,-23,-23,True,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
02902eb3,>/,!!$>,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
0d90736f,:,::)[,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
294453b5,&(,##!),False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
386b6d03,671,18,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
57f6878e,%{{,|@(!,False,,False,False,abstain,no_structural_template,"{""reason"": ""no_structural_template"", ""status"": ""abstain""}"
