id,expected,reference_answer,current_answer,reference_correct,current_correct
004ef7c7,11111111,11111111,11101110,True,False
009a74b6,11111011,11111011,11000011,True,False
02a66bcb,00011110,00011110,00001000,True,False
04d8c3e6,10000000,00000000,10000000,False,True
0528d502,00011111,00011111,00010100,True,False
05b5ffe1,01011111,01011111,01010000,True,False
05d58fb3,01011101,01011101,01010111,True,False
06b5da9f,00011010,00111010,00011010,False,True
080b44aa,00111111,00111111,00010111,True,False
08b2b48d,10101011,10101011,10101010,True,False
0a6d48aa,11100011,11100011,11100001,True,False
0abfab8b,01100101,01100101,01100000,True,False
0b16458a,01110000,01110000,11101000,True,False
0b404f15,00000100,00000100,00000000,True,False
0e7a6920,00101111,00101111,00001000,True,False
0f56374e,10101111,10101111,10101110,True,False
1282c5c5,00001110,00001110,00001000,True,False
1298c980,00011010,00011010,10011010,True,False
12e0ac8c,10101001,10101001,10101000,True,False
143627c4,11001001,11001001,11001011,True,False
16db2c74,00000110,00001110,00000110,False,True
1f1292d6,10001000,10001000,10001110,True,False
1f6c2fd9,00000000,00000000,01000000,True,False
1f7407ed,00101101,00101101,00101100,True,False
20924dd4,10110000,10110000,00110100,True,False
21245d76,01111111,01111111,01110110,True,False
214d0570,10111111,01111111,10111111,False,True
236034b4,00100011,00100011,00100001,True,False
24b60af3,00000010,00000010,10001010,True,False
24f44584,11111011,11111011,11110011,True,False
25a8aeb1,00111111,00111111,00000001,True,False
264b2118,00010100,00110100,00010100,False,True
28e3bbd3,00000101,00000101,00000100,True,False
2a253b6c,00000111,00000111,00000100,True,False
2bb09a3e,11001111,11001111,10001111,True,False
2dc6056a,11000001,11000001,10000001,True,False
30ce5200,00000010,00000010,00100010,True,False
31a4c9ef,10110110,10110110,10010011,True,False
3370302a,00000010,00001110,00000010,False,True
3456da40,00001111,01001111,00001111,False,True
36a33623,00000000,00000110,00000000,False,True
37a00064,00000001,00000001,00000000,True,False
39d3d49f,11011101,11011101,00011001,True,False
3a148f6a,00100111,00100111,00100110,True,False
3abe72f4,01111111,01111111,10001000,True,False
3bda588a,10111111,10111111,10110100,True,False
3c9b8e0e,00111101,00111101,00111110,True,False
3e953bd6,00100111,00100111,01100111,True,False
4059e1a5,00000111,00000111,10000111,True,False
4510a429,11111111,11111110,11111111,False,True
45378f59,11000010,11000010,11000011,True,False
47720c17,10001110,10001110,11001110,True,False
47a5c4f4,11100001,11100001,11100000,True,False
491e3793,10110011,10110011,10110001,True,False
4b8f6727,11010110,11010110,11010011,True,False
4bff6780,11001111,11000111,11001111,False,True
4c06f388,00100110,00100110,00100000,True,False
4c327b55,11011100,11011110,11011100,False,True
4ccf511a,00000011,00000011,00001101,True,False
4e4424d5,00101111,10101111,00101111,False,True
4fb6838e,10000101,11000101,10000101,False,True
5088b475,00010111,00010111,00001101,True,False
50e57462,11100111,11101111,11100111,False,True
512e1118,11111110,11111110,10011010,True,False
522058b9,11010000,11010001,11010000,False,True
52862572,00000010,00000010,00000000,True,False
54b895c1,10111011,10111011,10011001,True,False
5570b0a1,10011101,10011101,11011101,True,False
55d834d1,00111111,10111111,00111111,False,True
567e3da4,10000100,00000100,10000100,False,True
57256dec,01010011,01010011,01000010,True,False
574d1901,00111001,00111001,00001001,True,False
59c78e51,00000000,00000000,00100001,True,False
5a1179ee,10000101,11000101,10000101,False,True
5a7c5b0a,00111111,00111111,00000110,True,False
5d77eff6,00011100,00011100,00011000,True,False
5e0b85b0,01001111,01001111,01101110,True,False
5f66eb60,11111111,11111111,10011101,True,False
632444af,10000100,10000100,10100000,True,False
638224db,10000101,10000101,10000001,True,False
63d4557e,10111100,10111100,10110100,True,False
65ab9661,00000110,00000110,00000100,True,False
6689ee95,10001111,10001111,10001110,True,False
66b1c512,11000010,11000010,11000000,True,False
67ae4217,11101101,11101101,10110100,True,False
6818b555,10000000,10000000,00000000,True,False
6adef1ef,11111101,01111101,11111101,False,True
6c01f1a7,11100001,11100100,11100001,False,True
