name,path,rows,has_raw_output,label_free_correct,stored_correct,delta_label_free_minus_stored,truncated,stored_vs_label_free_diff_rows,prediction_changed_rows,metric_sources,family,decision,error
v366_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v366_bit_fullbyte_ternary_op_gate\20260514T_cpu_gate\v366_integrated_predictions.csv,315,False,222,222,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 159, 'label_free_correct': 159}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v380_reexecuted_teacher_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v380_solver_results_patch_gate\20260514T_cpu_gate\v380_reexecuted_teacher_predictions.csv,315,False,222,222,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 159, 'label_free_correct': 159}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v357_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v357_bit_global_ternary_gate\20260514T_cpu_gate\v357_integrated_predictions.csv,315,False,214,214,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 151, 'label_free_correct': 151}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v365_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v365_bit_residual_boolean_grammar_gate\20260514T_cpu_gate\v365_integrated_predictions.csv,315,False,214,214,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 151, 'label_free_correct': 151}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v301_bit_postprocessed_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v301_bit_postprocessor_gate\20260512T1130Z\v301_bit_postprocessed_predictions.csv,315,False,207,207,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 147, 'label_free_correct': 147}, 'equation_transform': {'total': 155, 'stored_correct': 60, 'label_free_correct': 60}}",not_adapter_only_reference_solver_or_postprocessor,
v350_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v350_cpu_residual_no_loss_gate\20260514T_v350_cpu_gate\v350_integrated_predictions.csv,315,False,201,201,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 138, 'label_free_correct': 138}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v355_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v355_cpu_residual_gate\20260514T_cpu_gate\v355_integrated_predictions.csv,315,False,201,201,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 138, 'label_free_correct': 138}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v363_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v363_equation_residual_operator_support\20260514T_cpu_gate\v363_integrated_predictions.csv,315,False,201,201,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 138, 'label_free_correct': 138}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v364_integrated_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v364_symbolic_pair_table_gate\20260514T_cpu_gate\v364_integrated_predictions.csv,315,False,201,201,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 138, 'label_free_correct': 138}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v336a_integrated_no_loss_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v343_equation_residual_solver_audit\20260513T_integrated_on_v290_v3\v336a_integrated_no_loss_predictions.csv,315,False,199,199,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v374_tong_bit_on_v366_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v374_cpu_residual_gate\20260514T_v374_cpu_gate\bit_v333_tong_on_v366\v374_tong_bit_on_v366_tong_bit_replace_predictions.csv,315,False,199,199,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 63, 'label_free_correct': 63}}",not_adapter_only_reference_solver_or_postprocessor,
v336a_integrated_no_loss_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v336_integrated_no_loss_solver_gate\20260513T_cpu_gate\v336a_integrated_no_loss_predictions.csv,315,False,197,197,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 61, 'label_free_correct': 61}}",not_adapter_only_reference_solver_or_postprocessor,
v274_numeric_override_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\hf_cpu_runs\v274_numeric_operator_override_audit_20260511T1115Z\v274_numeric_override_predictions.csv,315,False,196,196,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 60, 'label_free_correct': 60}}",not_adapter_only_reference_solver_or_postprocessor,
v275_postprocessed_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\hf_cpu_runs\v275_deployable_postprocessor_gate_20260511T1210Z\v275_postprocessed_predictions.csv,315,False,196,196,0,0,0,0,{'stored_prediction_only': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 60, 'label_free_correct': 60}}",not_adapter_only_reference_solver_or_postprocessor,
v333_tong_bit_reasoner_gate_tong_bit_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,315,True,191,192,-1,0,1,12,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 55}}",do_not_promote_weak315,
v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,315,True,191,192,-1,0,1,9,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 55}}",do_not_promote_weak315,
v290_checkpoint6_baseline_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,315,True,191,192,-1,0,1,9,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 55}}",do_not_promote_weak315,
v346_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,315,True,191,191,0,0,2,9,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 135, 'label_free_correct': 135}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 56}}",do_not_promote_weak315,
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,315,True,191,191,0,0,2,10,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 135, 'label_free_correct': 135}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 56}}",do_not_promote_weak315,
v405_integrated_solver_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,315,True,191,192,-1,0,1,9,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 136, 'label_free_correct': 136}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 55}}",do_not_promote_weak315,
v341_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,315,True,190,190,0,1,2,9,{'raw_output_label_free': 315},"{'bit_manipulation': {'total': 160, 'stored_correct': 134, 'label_free_correct': 134}, 'equation_transform': {'total': 155, 'stored_correct': 56, 'label_free_correct': 56}}",do_not_promote_weak315,
