source_csv,id,family,answer,stored_prediction,label_free_prediction,metric_source,stored_correct,stored_prediction_correct,label_free_correct,stored_vs_label_free_diff,prediction_changed,truncated
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,f9799a68,equation_transform,&:/?,:^?\,:^?\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,9dae880f,equation_transform,))[,:<`\,:<`\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,d911e8e1,equation_transform,:\:,@}<',@,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,03a3437f,equation_transform,-!,'}/>,',raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,58c099d2,equation_transform,-)\,^!#\,^!#\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,4bb8c6cd,equation_transform,]}\!,]}\!,],raw_output_label_free,True,True,False,True,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,cdec898a,equation_transform,<?/,>}][?,>,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v293_gap_mining\inputs\v291_full_predictions.csv,f7d26b8d,equation_transform,/@,[}}\,[},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,1abaffca,bit_manipulation,01000000,01000000,01011000,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,f9799a68,equation_transform,&:/?,:^?\,:^?\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,0e70c867,bit_manipulation,01000000,01000000,01001100,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,9dae880f,equation_transform,))[,:<`\,:<`\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,b8722d19,bit_manipulation,00100100,00100100,11110100,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,d911e8e1,equation_transform,:\:,@}<',@,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,7688e06e,equation_transform,-55,-55,55,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,7192535b,bit_manipulation,00000010,00000010,00001010,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,274def88,equation_transform,92,92,-92,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,03a3437f,equation_transform,-!,'}/>,',raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,8740ed31,bit_manipulation,01101000,01101000,01111000,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,58c099d2,equation_transform,-)\,^!#\,^!#\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,1a7c8520,bit_manipulation,01100000,01100000,01100110,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,4bb8c6cd,equation_transform,]}\!,]}\!,],raw_output_label_free,True,True,False,True,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,d1bd7478,equation_transform,30,30,03,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,c5b058d6,equation_transform,134,134,35,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,a6192d29,bit_manipulation,00001000,00001000,01111110,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,048cc279,bit_manipulation,01010000,01010000,01111000,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,cdec898a,equation_transform,<?/,>}][?,>,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,4c327b55,bit_manipulation,11011100,11011100,11011110,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,b8aa3072,bit_manipulation,00000011,00000011,00000111,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,f7d26b8d,equation_transform,/@,[}}\,[},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v302_combined_postprocessor_gate\20260512T1200Z\v302_combined_postprocessed_predictions.csv,5ba26f21,bit_manipulation,01011100,01011100,01111110,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,f9799a68,equation_transform,&:/?,:^?\,:^?\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,0e70c867,bit_manipulation,01000000,01001000,01001100,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,9dae880f,equation_transform,))[,:<`\,:<`\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,d911e8e1,equation_transform,:\:,@}<',@,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,03a3437f,equation_transform,-!,'}>/,',raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,8740ed31,bit_manipulation,01101000,01101000,01111000,raw_output_label_free,False,True,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,58c099d2,equation_transform,-)\,^!#\,^!#\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,4bb8c6cd,equation_transform,]}\!,]}\!,],raw_output_label_free,True,True,False,True,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,ef2fe526,bit_manipulation,01011010,01011011,01011010,raw_output_label_free,True,False,True,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,cdec898a,equation_transform,<?/,>}][?,>,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,b8aa3072,bit_manipulation,00000011,00001111,00000111,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v333_tong_bit_reasoner_gate\20260513T171304Z\v333_tong_bit_reasoner_gate_tong_bit_replace_predictions.csv,f7d26b8d,equation_transform,/@,[}}\,[},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,f9799a68,equation_transform,&:/?,:^?\,:^?\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,9dae880f,equation_transform,))[,:<`\,:<`\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,d911e8e1,equation_transform,:\:,@}<',@,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,03a3437f,equation_transform,-!,'}>/,',raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,58c099d2,equation_transform,-)\,^!#\,^!#\},raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,4bb8c6cd,equation_transform,]}\!,]}\!,],raw_output_label_free,True,True,False,True,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,d1bd7478,equation_transform,30,3,03,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,cdec898a,equation_transform,<?/,>}][?,>,raw_output_label_free,False,False,False,False,True,False
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v334_tong_equation_numeric_reasoner_gate\20260513T172300Z\v334_tong_equation_numeric_reasoner_gate_tong_equation_replace_predictions.csv,f7d26b8d,equation_transform,/@,[}}\,[},raw_output_label_free,False,False,False,False,True,False
