author,body_len,comment_count,comment_id,id,title
Jamil C Semaan,4638,16,,681745,How to Get Started + Nemotron Model Reasoning Challenge Resources
,1417,,3428335,681745,COMMENT
,321,,3433361,681745,COMMENT
,380,,3432904,681745,COMMENT
,73,,3429639,681745,COMMENT
,83,,3424394,681745,COMMENT
,52,,3422126,681745,COMMENT
,111,,3424040,681745,COMMENT
,303,,3422150,681745,COMMENT
,347,,3422338,681745,COMMENT
,950,,3453107,681745,COMMENT
,397,,3453015,681745,COMMENT
,128,,3444741,681745,COMMENT
,51,,3432684,681745,COMMENT
,421,,3429087,681745,COMMENT
,134,,3428195,681745,COMMENT
,0,,3424976,681745,COMMENT
Ryan Holbrook,479,8,,698106,Metric Update
,903,,3455975,698106,COMMENT
,243,,3455463,698106,COMMENT
,103,,3455257,698106,COMMENT
,101,,3455146,698106,COMMENT
,256,,3455287,698106,COMMENT
,104,,3455194,698106,COMMENT
,0,,3455623,698106,COMMENT
,15,,3455133,698106,COMMENT
Ryan Holbrook,1260,9,,687798,Rescore After Metric Update
,24,,3438100,687798,COMMENT
,473,,3436872,687798,COMMENT
,1046,,3435391,687798,COMMENT
,47,,3440013,687798,COMMENT
,305,,3443140,687798,COMMENT
,445,,3435384,687798,COMMENT
,1507,,3454461,687798,COMMENT
,234,,3439246,687798,COMMENT
,882,,3436215,687798,COMMENT
Ashley Oldacre,2366,3,,681714,How to get started + Competition's Official Discord
,489,,3422190,681714,COMMENT
,471,,3446227,681714,COMMENT
,498,,3422173,681714,COMMENT
c-number,413,7,,688360,"[update] Read CPMP's reply. [original] Do not distill models that do not allow distillation (e.g. gemini, gpt5)"
,1025,,3439425,688360,COMMENT
,361,,3437179,688360,COMMENT
,841,,3438798,688360,COMMENT
,308,,3436211,688360,COMMENT
,321,,3436342,688360,COMMENT
,22,,3437009,688360,COMMENT
,973,,3439664,688360,COMMENT
lkevincc,2401,1,,698293,97.2% Gold-Conditioned Symbolic Solver Exposing Digit Mappings and Operators
,402,,3455478,698293,COMMENT
toolazyhhh123,10268,5,,694556,symbol_transformation class problem can have multiple valid candidate answer
,2926,,3454909,694556,COMMENT
,488,,3454841,694556,COMMENT
,706,,3454832,694556,COMMENT
,272,,3453541,694556,COMMENT
,170,,3455311,694556,COMMENT
